X,Y,Z
3282.00,103.00,72.00
4790.00,634.00,-303.00
4517.00,-217.00,-1543.00
4688.00,240.00,339.00
4080.00,1740.00,-1198.00
3466.00,2952.00,-1347.00
2208.00,2875.00,-219.00
5129.00,-970.00,2114.00
5367.00,-470.00,-726.00
4448.00,-693.00,-406.00
2125.00,2612.00,380.00
5004.00,1247.00,403.00
1531.00,2247.00,978.00
4355.00,2269.00,-535.00
3571.00,2652.00,1435.00
3268.00,-1093.00,203.00
2573.00,161.00,357.00
2691.00,346.00,399.00
2747.00,-152.00,-267.00
3186.00,-341.00,-91.00
3174.00,964.00,-1997.00
2855.00,1397.00,-955.00
3122.00,1457.00,-1152.00
3054.00,1195.00,-446.00
3038.00,764.00,-1231.00
4214.00,2886.00,-1299.00
4125.00,6526.00,337.00
4236.00,1758.00,548.00
3709.00,1174.00,3463.00
1435.00,-61.00,-985.00
4828.00,2104.00,2381.00
4251.00,2891.00,835.00
1971.00,1251.00,1886.00
5025.00,3277.00,1093.00
5723.00,285.00,2826.00
2564.00,1265.00,2600.00
3676.00,3064.00,-1939.00
1099.00,881.00,2193.00
3184.00,-1324.00,1049.00
9994.00,1991.00,435.00
2356.00,-607.00,1431.00
4740.00,969.00,979.00
7808.00,1027.00,852.00
8013.00,859.00,1884.00
7024.00,600.00,-127.00
6916.00,1046.00,-90.00
6654.00,1184.00,399.00
6937.00,1098.00,777.00
3481.00,-2024.00,1166.00
5863.00,-636.00,1055.00
2339.00,-301.00,1315.00
5839.00,-941.00,899.00
2605.00,1097.00,403.00
4866.00,593.00,721.00
4321.00,2435.00,1091.00
1812.00,-14.00,-2215.00
3980.00,2547.00,1680.00
2460.00,-474.00,-1260.00
3690.00,3214.00,-2003.00
4624.00,-1094.00,2077.00
5133.00,-104.00,1784.00
4464.00,586.00,312.00
4583.00,-746.00,1761.00
4877.00,-996.00,2521.00
4240.00,1572.00,-601.00
4855.00,1486.00,-587.00
5469.00,3221.00,-1444.00
1997.00,2560.00,-79.00
3894.00,4329.00,-4258.00
5037.00,-188.00,2929.00
3870.00,3196.00,-2831.00
5144.00,-1906.00,2080.00
3236.00,2453.00,-1696.00
3781.00,2790.00,2574.00
2097.00,4218.00,3365.00
2705.00,784.00,-1410.00
2364.00,1921.00,-1405.00
2952.00,462.00,-185.00
4906.00,1479.00,-796.00
5703.00,474.00,-749.00
4370.00,1119.00,-463.00
4145.00,-470.00,-1359.00
4047.00,1620.00,289.00
4228.00,1222.00,864.00
3701.00,-161.00,-9.00
4433.00,1257.00,431.00
4651.00,2213.00,2096.00
4583.00,2188.00,1752.00
6304.00,1147.00,1404.00
5871.00,867.00,1454.00
7514.00,711.00,3752.00
4907.00,1529.00,3124.00
4451.00,845.00,5638.00
5252.00,1805.00,2796.00
4358.00,1962.00,-709.00
6089.00,2254.00,3692.00
4127.00,57.00,-987.00
1712.00,1471.00,-49.00
5882.00,1361.00,-1992.00
1732.00,3075.00,1440.00
3690.00,3214.00,-2003.00
2184.00,2696.00,-46.00
2799.00,2175.00,-240.00
4087.00,-295.00,-1909.00
4580.00,-1804.00,1882.00
3471.00,-3390.00,1690.00
2230.00,1068.00,559.00
988.00,395.00,-732.00
2154.00,795.00,-598.00
1091.00,1542.00,-1929.00
1787.00,2102.00,-2445.00
3597.00,2028.00,8.00
2308.00,1806.00,-484.00
247.00,2747.00,-979.00
4067.00,1353.00,111.00
4597.00,2760.00,259.00
4906.00,2926.00,-94.00
5677.00,-1258.00,1002.00
5536.00,681.00,1630.00
2111.00,384.00,2244.00
