Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 4.4, 5.6, 11.2, 4.0, 5.2, 6.4, 16.6, 23.2, 200.0, 1.6, 2.0, 6.0, 1.6, 2.8, 5.4, 2.4, 3.0, 3.8, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 118.0, 1338, 580, 37988, 870, 197, 57.8, 1.75, 0.000, 0.000
638, 600, 4.6, 5.8, 13.0, 4.2, 5.4, 12.0, 16.0, 23.0, 27.4, 1.4, 1.8, 2.8, 1.8, 3.0, 3.8, 2.4, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1353, 587, 38742, 1101, 202, 59.0, 2.28, 0.000, 0.000
958, 600, 5.2, 6.0, 12.6, 4.2, 5.0, 8.4, 16.6, 22.6, 28.6, 1.8, 2.0, 3.6, 2.8, 3.6, 5.4, 3.2, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1369, 598, 39009, 1206, 206, 59.0, 2.28, 0.000, 0.000
1278, 600, 4.8, 6.0, 9.6, 4.4, 5.4, 7.0, 14.2, 17.6, 21.2, 1.6, 2.0, 3.0, 2.2, 3.2, 3.6, 2.6, 3.6, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1366, 610, 39328, 1311, 210, 57.8, 2.10, 0.000, 0.000
1598, 600, 4.4, 5.6, 10.4, 4.0, 5.0, 7.6, 15.8, 21.6, 23.6, 1.6, 2.0, 8.6, 1.8, 3.2, 8.6, 2.6, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1411, 618, 39662, 1457, 213, 57.8, 3.00, 0.000, 0.000
1918, 600, 4.8, 5.8, 9.6, 4.4, 5.4, 8.2, 13.8, 17.0, 20.0, 1.6, 2.0, 4.6, 1.6, 2.0, 2.6, 2.4, 3.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.5, 1361, 590, 38146, 1015, 199, 57.6, 1.90, 0.000, 0.000
2238, 600, 4.8, 5.6, 9.4, 4.4, 5.2, 8.0, 14.2, 16.6, 20.2, 1.4, 1.8, 2.4, 1.6, 1.8, 2.2, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1358, 599, 38406, 1113, 201, 59.0, 2.45, 0.000, 0.000
2558, 600, 4.6, 5.6, 8.4, 4.2, 5.2, 8.0, 12.4, 14.2, 16.2, 1.4, 1.6, 2.6, 1.4, 1.8, 3.4, 2.2, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1378, 658, 38688, 1217, 205, 57.2, 2.45, 0.000, 0.000
2879, 600, 4.4, 5.2, 6.2, 4.0, 4.8, 5.8, 14.8, 17.6, 20.0, 1.4, 1.6, 2.0, 1.4, 1.8, 2.6, 2.2, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1373, 664, 39057, 1334, 211, 58.8, 1.83, 0.000, 0.000
3200, 600, 4.6, 5.6, 10.0, 4.2, 5.2, 7.4, 15.4, 19.8, 23.0, 1.6, 2.0, 4.0, 1.6, 2.0, 2.4, 2.4, 3.0, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1379, 667, 39301, 1393, 215, 58.6, 2.38, 0.000, 0.000
3519, 600, 4.4, 5.4, 9.2, 4.2, 5.0, 7.6, 15.2, 20.4, 24.2, 1.4, 1.8, 2.2, 1.4, 1.8, 3.4, 2.4, 3.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1414, 709, 39634, 1606, 217, 58.8, 2.20, 0.000, 0.000
3839, 600, 4.2, 5.0, 6.0, 3.8, 4.6, 5.6, 10.8, 13.2, 16.4, 1.4, 1.6, 2.4, 1.4, 1.8, 2.4, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1376, 711, 39835, 1687, 219, 59.0, 2.25, 0.000, 0.000
4159, 600, 4.2, 5.0, 7.8, 3.8, 4.6, 7.4, 10.6, 13.8, 19.8, 1.4, 1.6, 2.0, 1.4, 1.8, 2.6, 2.2, 2.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32.0, 1347, 708, 37986, 924, 192, 59.2, 2.53, 0.000, 0.000
4479, 600, 4.2, 4.8, 8.2, 3.8, 4.4, 6.4, 9.8, 12.2, 14.2, 1.4, 1.6, 3.6, 1.4, 1.6, 2.2, 2.0, 2.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1348, 717, 38224, 1072, 194, 59.0, 2.12, 0.000, 0.000
4799, 600, 3.8, 4.6, 8.2, 3.4, 4.2, 6.4, 8.4, 9.8, 11.6, 1.2, 1.6, 2.6, 1.4, 1.8, 2.2, 2.2, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1340, 717, 38356, 1118, 194, 56.6, 2.03, 0.000, 0.000
5119, 600, 3.6, 4.2, 6.0, 3.0, 3.8, 5.4, 7.2, 8.8, 10.2, 1.0, 1.4, 2.4, 1.2, 1.6, 2.0, 2.0, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1304, 717, 38453, 1139, 194, 56.0, 1.52, 0.000, 0.000
5439, 600, 4.0, 4.6, 5.6, 3.6, 4.2, 5.2, 7.2, 9.4, 11.6, 1.2, 1.6, 2.6, 1.2, 1.6, 2.0, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1310, 717, 38692, 1238, 200, 56.4, 2.10, 0.000, 0.000
5759, 600, 4.2, 5.0, 7.6, 3.6, 4.4, 5.8, 8.8, 10.8, 13.2, 1.2, 1.4, 7.0, 1.2, 1.6, 2.4, 1.8, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1313, 720, 39032, 1334, 203, 58.4, 2.48, 0.000, 0.000
