Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1119, 600, 23.4, 56.4, 200.0, 21.8, 55.6, 200.0, 44.6, 59.6, 200.0, 4.2, 12.0, 45.0, 2.2, 3.6, 13.6, 5.4, 13.0, 27.8, 0.0, 224, 0, 2, 0, 1, 0, 6, 0, 1, 0, 2, 3, 104.5, 1621, 401, 43257, 984, 130, 222.4, 12.98, 0.000, 0.000
1439, 158, 50.8, 65.4, 86.0, 49.6, 64.6, 71.2, 50.8, 65.0, 73.0, 6.6, 16.8, 58.0, 3.4, 4.4, 19.6, 8.8, 14.0, 14.4, 0.0, 154, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1525, 433, 43723, 1205, 132, 272.6, 20.88, 0.000, 0.000
1760, 151, 53.0, 79.8, 112.6, 51.6, 78.4, 112.6, 53.0, 77.8, 100.0, 4.6, 9.8, 17.4, 3.0, 4.0, 7.8, 10.8, 13.8, 24.8, 0.0, 148, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1499, 474, 44657, 1446, 136, 280.8, 22.85, 0.000, 0.000
2082, 189, 42.6, 53.6, 71.2, 41.8, 52.8, 67.2, 42.6, 52.0, 59.6, 5.0, 10.2, 29.6, 3.2, 4.2, 5.0, 13.2, 14.6, 26.6, 0.0, 175, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1564, 493, 45474, 1637, 146, 274.2, 18.73, 0.000, 0.000
2403, 180, 44.4, 54.2, 155.2, 43.8, 53.6, 135.0, 44.0, 52.8, 72.0, 4.2, 6.4, 8.4, 3.2, 4.2, 7.6, 13.0, 14.6, 23.6, 0.0, 165, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 772.0, 1503, 471, 43400, 891, 126, 275.0, 20.73, 0.000, 0.000
2723, 189, 42.4, 54.6, 74.2, 39.8, 51.4, 59.2, 42.6, 51.0, 54.8, 6.8, 16.8, 68.4, 4.2, 7.0, 9.2, 12.4, 16.4, 22.6, 0.0, 157, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0.0, 1546, 472, 44331, 1089, 130, 278.4, 19.23, 0.000, 0.000
3044, 155, 51.8, 79.0, 92.4, 50.0, 71.2, 91.0, 51.8, 71.0, 88.6, 7.8, 32.0, 57.6, 4.0, 6.6, 8.6, 14.6, 25.4, 28.6, 0.0, 142, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1491, 484, 45191, 1174, 133, 278.2, 22.05, 0.000, 0.000
3364, 258, 31.0, 39.2, 67.4, 30.4, 38.6, 63.6, 31.2, 39.0, 49.6, 2.0, 2.2, 18.0, 1.6, 2.2, 9.6, 7.6, 13.0, 14.4, 0.0, 54, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1502, 487, 45775, 1276, 136, 270.6, 13.88, 0.000, 0.000
3685, 295, 27.2, 48.8, 55.4, 26.6, 48.2, 54.2, 31.6, 50.6, 53.2, 1.8, 2.4, 3.8, 2.0, 4.0, 10.4, 6.4, 12.6, 14.8, 0.0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1509, 491, 46208, 1436, 144, 264.8, 13.57, 0.000, 0.000
4006, 269, 29.8, 36.6, 46.0, 29.4, 36.2, 44.6, 30.0, 36.4, 42.4, 1.8, 2.2, 3.8, 1.4, 2.0, 8.4, 7.6, 12.2, 14.0, 0.0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1522, 494, 46687, 1551, 148, 266.2, 13.40, 0.000, 0.000
4327, 600, 7.0, 22.0, 28.0, 6.8, 21.8, 27.8, 25.6, 30.0, 33.6, 1.6, 2.0, 3.0, 1.4, 1.6, 2.0, 3.2, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1538, 527, 47424, 1705, 153, 256.6, 3.78, 0.000, 0.000
4647, 248, 32.4, 39.8, 46.0, 32.0, 39.0, 43.4, 32.4, 39.2, 43.6, 2.0, 2.6, 8.2, 1.4, 2.0, 3.2, 7.4, 14.2, 17.6, 0.0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1515, 497, 43964, 890, 126, 262.8, 13.90, 0.000, 0.000
4968, 292, 27.4, 34.0, 38.4, 27.0, 33.4, 38.2, 28.6, 33.8, 38.2, 2.0, 2.4, 3.8, 1.6, 2.4, 4.6, 7.0, 12.4, 15.8, 0.0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 307.0, 1486, 505, 44888, 1118, 132, 266.4, 12.78, 0.000, 0.000
5288, 348, 23.0, 33.6, 42.2, 22.6, 33.0, 41.8, 28.0, 33.4, 42.8, 1.8, 2.4, 4.4, 1.6, 2.2, 4.8, 6.4, 11.8, 14.6, 0.0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1521, 546, 45845, 1347, 141, 265.8, 11.75, 0.000, 0.000
5608, 464, 17.2, 32.2, 38.4, 16.8, 31.4, 37.8, 27.4, 32.8, 38.2, 1.8, 2.4, 4.4, 1.4, 1.8, 4.6, 3.8, 6.4, 13.8, 0.0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1524, 563, 46558, 1541, 147, 260.4, 9.32, 0.000, 0.000
5929, 420, 19.0, 29.0, 39.0, 18.6, 28.4, 32.6, 25.6, 29.2, 31.6, 1.8, 2.4, 5.0, 1.6, 2.2, 9.2, 5.2, 7.4, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1515, 584, 47228, 1678, 151, 263.8, 10.80, 0.000, 0.000
6249, 600, 8.8, 23.6, 30.4, 8.2, 23.0, 29.8, 25.0, 27.8, 31.6, 1.4, 1.8, 2.8, 1.2, 1.6, 3.0, 2.8, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1529, 596, 48093, 1908, 159, 253.8, 5.62, 0.000, 0.000
6569, 600, 13.0, 33.4, 39.4, 12.4, 32.6, 38.8, 27.4, 34.4, 39.2, 1.6, 2.0, 3.2, 1.4, 1.8, 2.4, 3.8, 7.2, 12.0, 0.0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1545, 596, 48396, 1972, 163, 255.6, 6.65, 0.000, 0.000
6889, 600, 5.8, 13.4, 25.2, 5.4, 12.6, 22.6, 25.0, 28.6, 33.4, 1.6, 2.0, 8.0, 1.4, 1.8, 9.8, 2.8, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1593, 656, 48963, 2096, 166, 254.8, 3.45, 0.000, 0.000
7211, 432, 18.6, 31.8, 37.4, 18.0, 31.4, 36.8, 26.4, 32.0, 36.8, 1.8, 2.4, 3.0, 1.4, 2.0, 7.0, 4.0, 7.2, 7.6, 0.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 180.5, 1505, 609, 45472, 961, 121, 258.4, 9.50, 0.000, 0.000
7531, 582, 13.8, 35.4, 43.2, 13.2, 34.8, 42.2, 27.8, 38.2, 43.0, 1.6, 2.0, 3.8, 1.4, 1.8, 4.4, 3.6, 6.4, 12.0, 0.0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1514, 616, 46027, 1059, 131, 261.4, 8.98, 0.000, 0.000
7828, 405, 19.8, 30.4, 52.4, 19.2, 29.8, 52.4, 26.6, 31.2, 52.0, 1.8, 2.4, 4.0, 1.8, 3.4, 6.2, 4.4, 7.2, 7.8, 0.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1522, 616, 46370, 1204, 136, 261.6, 11.85, 0.000, 0.000
8077, 600, 4.2, 4.2, 200.0, 2.6, 3.6, 200.0, 140.0, 200.0, 200.0, 0.8, 1.4, 7.4, 1.8, 2.0, 2.6, 2.4, 3.0, 3.0, 0.0, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1530, 616, 64420, 1210, 140, 250.8, 1.25, 0.000, 0.000
8468, 600, 3.0, 3.0, 4.4, 1.2, 1.6, 4.0, 17.8, 25.4, 169.2, 0.8, 0.8, 1.2, 1.8, 2.0, 2.2, 2.2, 2.2, 2.4, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1532, 616, 66196, 1210, 140, 246.8, 0.93, 0.000, 0.000
8789, 600, 3.6, 3.8, 4.8, 2.2, 2.8, 3.8, 20.0, 23.4, 26.6, 1.0, 1.2, 1.8, 1.8, 2.2, 2.6, 2.6, 2.8, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1537, 619, 66630, 1261, 144, 247.0, 1.33, 0.000, 0.000
