Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
11361, 600, 13.0, 36.6, 66.0, 12.0, 36.0, 65.2, 19.2, 48.0, 65.2, 3.0, 3.8, 7.6, 2.4, 2.8, 5.2, 7.8, 9.2, 15.8, 0.0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1814, 566, 41695, 1050, 202, 116.8, 5.10, 0.000, 0.000
11681, 161, 49.6, 90.6, 125.8, 48.8, 89.0, 121.2, 49.6, 88.8, 122.6, 3.6, 4.6, 9.2, 2.4, 3.0, 6.2, 4.2, 4.6, 5.0, 0.0, 111, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 327.5, 1959, 534, 41548, 1019, 198, 144.4, 20.40, 0.000, 0.000
12000, 205, 39.0, 57.2, 69.8, 38.2, 56.6, 68.8, 39.6, 56.2, 70.0, 3.0, 3.8, 5.2, 2.2, 2.6, 3.0, 4.4, 4.8, 5.2, 0.0, 119, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1704, 537, 41825, 1086, 204, 130.8, 16.85, 0.000, 0.000
12323, 154, 52.2, 90.6, 98.6, 51.2, 89.8, 98.2, 52.4, 90.6, 98.8, 3.6, 4.8, 5.4, 2.6, 3.2, 3.6, 5.0, 5.4, 5.8, 0.0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2163, 541, 42087, 1267, 204, 150.6, 22.40, 0.000, 0.000
12643, 219, 36.6, 48.2, 58.8, 35.8, 47.2, 55.6, 36.6, 47.2, 50.2, 3.2, 4.0, 5.6, 2.2, 2.6, 3.2, 4.4, 4.8, 5.6, 0.0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2292, 600, 42308, 1335, 206, 133.4, 15.88, 0.000, 0.000
12963, 252, 31.8, 43.6, 62.2, 30.8, 41.8, 58.8, 31.8, 42.6, 48.4, 3.4, 4.2, 6.6, 2.6, 3.0, 3.8, 4.4, 5.2, 5.6, 0.0, 57, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2291, 619, 42618, 1508, 213, 130.6, 13.88, 0.000, 0.000
13284, 330, 24.2, 41.6, 48.0, 23.4, 40.4, 46.8, 30.4, 41.2, 48.0, 3.2, 4.0, 25.2, 2.4, 3.0, 6.2, 4.2, 4.6, 5.2, 0.0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 757, 42774, 1561, 215, 129.6, 11.25, 0.000, 0.000
13605, 219, 36.6, 46.2, 52.0, 35.8, 45.2, 50.0, 36.6, 45.6, 48.0, 3.2, 4.0, 6.0, 2.4, 2.8, 3.2, 4.2, 4.8, 5.8, 0.0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2018, 771, 42975, 1603, 220, 129.2, 16.00, 0.000, 0.000
13926, 243, 33.0, 46.2, 54.2, 32.2, 45.6, 53.6, 33.0, 45.6, 53.8, 3.0, 3.6, 7.6, 2.4, 2.8, 4.4, 4.0, 4.2, 4.6, 0.0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 287.5, 1906, 747, 41772, 974, 195, 132.6, 14.75, 0.000, 0.000
14246, 190, 42.2, 67.0, 80.8, 41.4, 65.4, 80.0, 42.2, 67.0, 80.4, 3.8, 5.0, 8.0, 2.8, 3.4, 4.2, 5.0, 5.6, 6.2, 0.0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2631, 751, 42032, 1105, 198, 133.4, 17.88, 0.000, 0.000
14568, 168, 47.8, 73.2, 81.6, 46.4, 70.2, 80.6, 47.8, 72.4, 79.6, 4.0, 5.8, 6.8, 2.8, 3.6, 4.4, 4.8, 5.6, 5.6, 0.0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 4105, 760, 42322, 1233, 200, 139.6, 21.10, 0.000, 0.000
14889, 157, 51.2, 71.4, 96.6, 50.2, 70.6, 95.6, 51.2, 71.0, 92.8, 3.6, 4.8, 7.8, 2.4, 3.0, 3.2, 4.2, 4.2, 4.6, 0.0, 136, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2221, 787, 42840, 1321, 207, 144.2, 21.43, 0.000, 0.000
15210, 168, 47.8, 69.0, 85.4, 46.6, 68.0, 79.4, 47.8, 69.2, 80.6, 3.4, 4.6, 5.2, 2.4, 2.8, 3.2, 4.2, 4.2, 4.4, 0.0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2082, 787, 42979, 1380, 208, 141.4, 20.65, 0.000, 0.000
15531, 210, 38.2, 56.2, 82.2, 37.4, 55.6, 75.0, 38.2, 56.4, 68.2, 3.6, 4.8, 5.8, 2.8, 3.4, 6.0, 4.6, 5.0, 5.2, 0.0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2012, 795, 43100, 1447, 209, 131.0, 16.43, 0.000, 0.000
15851, 160, 50.4, 84.2, 106.6, 49.4, 83.2, 106.4, 50.4, 84.6, 105.0, 4.4, 5.6, 7.4, 3.2, 3.8, 4.6, 4.6, 4.8, 5.0, 0.0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3005, 799, 43350, 1606, 211, 135.2, 19.65, 0.000, 0.000
16175, 145, 55.4, 82.2, 102.6, 54.2, 80.8, 98.2, 55.8, 81.8, 98.2, 3.6, 4.8, 6.6, 2.6, 3.2, 3.8, 4.4, 4.8, 6.8, 0.0, 116, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2567, 799, 43511, 1671, 213, 150.4, 23.65, 0.000, 0.000
