Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
51943, 600, 2.8, 3.4, 5.0, 1.2, 1.6, 2.4, 2.0, 4.2, 159.8, 0.8, 1.0, 1.4, 1.2, 2.0, 2.6, 2.4, 2.8, 2.8, 0.0, 2, 0, 1, 1, 0, 0, 1, 0, 1, 0, 4, 2, 6.5, 1518, 541, 35876, 565, 102, 25.2, 1.00, 0.000, 0.000
52263, 600, 2.8, 3.4, 10.0, 1.2, 1.6, 3.6, 3.0, 5.0, 6.2, 0.8, 0.8, 1.2, 1.4, 2.2, 2.6, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1533, 541, 35908, 581, 102, 26.0, 1.05, 0.000, 0.000
52584, 600, 2.4, 2.6, 25.2, 1.0, 1.4, 2.0, 4.0, 6.0, 8.4, 0.6, 0.8, 1.4, 1.0, 1.2, 1.8, 2.0, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1537, 545, 35971, 591, 102, 26.2, 1.20, 0.000, 0.000
52903, 600, 2.4, 2.6, 3.0, 1.2, 1.4, 2.6, 4.2, 6.6, 13.6, 0.6, 0.8, 1.2, 1.0, 1.4, 1.8, 2.0, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1554, 563, 36047, 601, 103, 26.6, 1.18, 0.000, 0.000
53223, 600, 2.4, 3.0, 3.8, 1.0, 1.2, 1.8, 3.4, 5.4, 6.8, 0.6, 0.8, 1.2, 1.2, 1.8, 2.4, 2.0, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6.5, 1543, 602, 35552, 550, 101, 27.4, 0.93, 0.000, 0.000
53543, 600, 2.6, 3.2, 8.0, 1.4, 2.0, 7.4, 4.8, 8.6, 11.0, 0.8, 1.0, 1.4, 1.0, 1.8, 2.4, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 1594, 670, 36319, 616, 104, 29.8, 0.90, 0.000, 0.000
53864, 600, 2.4, 2.6, 11.2, 1.4, 1.8, 3.8, 4.6, 6.4, 7.8, 0.8, 1.0, 1.2, 1.0, 1.2, 9.6, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1559, 676, 36544, 732, 105, 27.8, 0.88, 0.000, 0.000
54184, 600, 2.8, 3.2, 4.2, 1.0, 1.4, 2.0, 4.2, 6.4, 29.4, 0.8, 0.8, 5.4, 1.4, 2.0, 2.6, 2.4, 3.0, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1599, 703, 36777, 802, 106, 27.4, 0.95, 0.000, 0.000
54504, 600, 3.0, 3.8, 12.4, 1.4, 1.6, 2.6, 4.2, 7.4, 10.0, 0.8, 1.0, 13.4, 1.4, 2.2, 11.4, 2.4, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1579, 703, 36989, 901, 110, 26.8, 1.23, 0.000, 0.000
54824, 600, 3.8, 4.4, 114.4, 1.8, 2.6, 29.6, 5.2, 7.6, 9.8, 1.0, 1.2, 1.6, 2.0, 2.6, 98.0, 3.0, 3.4, 8.2, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 0, 0.0, 1576, 703, 37069, 936, 111, 26.2, 4.47, 0.000, 0.000
55144, 600, 3.4, 4.2, 5.0, 1.4, 1.8, 2.2, 5.2, 8.2, 19.6, 1.0, 1.0, 1.4, 1.8, 2.4, 3.0, 3.0, 3.4, 3.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1582, 703, 37191, 963, 111, 29.8, 1.40, 0.000, 0.000
55464, 600, 2.8, 3.6, 17.8, 1.4, 1.8, 2.8, 5.0, 7.8, 13.0, 0.8, 1.0, 19.8, 1.4, 2.2, 2.6, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1589, 705, 37248, 991, 111, 27.0, 1.18, 0.000, 0.000
55784, 600, 3.2, 3.8, 10.2, 1.4, 1.6, 4.4, 3.4, 6.2, 9.0, 0.8, 1.0, 1.6, 1.8, 2.2, 3.4, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8.0, 1573, 705, 36309, 640, 107, 26.8, 1.25, 0.000, 0.000
56104, 600, 2.6, 3.2, 4.0, 1.2, 1.6, 3.2, 4.2, 7.2, 9.2, 0.8, 1.0, 1.4, 1.2, 1.8, 2.6, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1577, 705, 36374, 661, 107, 26.8, 1.10, 0.000, 0.000
56425, 600, 3.0, 3.8, 4.2, 1.4, 1.8, 2.8, 3.6, 5.4, 8.2, 0.8, 1.0, 1.2, 1.6, 2.4, 2.8, 2.6, 3.2, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1647, 801, 36487, 682, 110, 26.8, 1.05, 0.000, 0.000
56745, 600, 2.6, 3.4, 5.8, 1.4, 1.8, 3.0, 6.4, 9.4, 18.4, 0.8, 1.0, 1.4, 1.2, 2.0, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1577, 801, 36553, 698, 110, 26.2, 0.98, 0.000, 0.000
57065, 600, 2.4, 3.2, 4.0, 1.4, 1.8, 3.4, 5.2, 7.8, 10.0, 0.6, 0.8, 1.2, 1.0, 1.8, 2.6, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1590, 811, 36582, 712, 110, 27.4, 0.90, 0.000, 0.000
57385, 600, 2.6, 3.2, 8.0, 1.4, 1.8, 3.6, 4.2, 5.8, 8.8, 0.8, 0.8, 1.2, 1.0, 1.8, 3.2, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1588, 817, 36825, 793, 110, 26.6, 1.18, 0.000, 0.000
57704, 600, 2.6, 3.4, 20.4, 1.4, 1.8, 2.8, 4.2, 6.8, 8.2, 0.8, 0.8, 1.2, 1.2, 2.0, 2.6, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1582, 823, 36973, 835, 114, 26.2, 1.43, 0.000, 0.000
58024, 600, 2.6, 3.2, 10.6, 1.4, 2.0, 4.0, 6.0, 8.8, 18.2, 0.8, 1.0, 1.2, 1.0, 1.8, 8.6, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7.0, 1572, 827, 36412, 631, 107, 27.2, 1.33, 0.000, 0.000
58345, 600, 3.0, 3.8, 4.4, 1.4, 1.8, 2.8, 3.6, 5.8, 8.6, 0.8, 1.0, 1.4, 1.6, 2.2, 2.8, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1573, 827, 36492, 649, 107, 26.8, 1.05, 0.000, 0.000
58665, 600, 2.8, 3.6, 17.4, 1.4, 1.8, 2.8, 3.6, 6.0, 26.4, 0.8, 1.0, 1.4, 1.2, 2.0, 16.0, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1571, 830, 36639, 701, 110, 26.0, 1.40, 0.000, 0.000
58985, 600, 2.4, 2.8, 4.0, 1.4, 2.0, 3.8, 5.8, 9.0, 19.4, 0.8, 1.0, 1.2, 0.8, 1.2, 2.4, 2.0, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1642, 862, 36744, 719, 110, 26.6, 0.82, 0.000, 0.000
59304, 600, 2.8, 3.4, 14.8, 1.4, 2.0, 3.0, 3.8, 5.6, 15.0, 0.8, 1.0, 1.4, 1.2, 1.8, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1579, 862, 36846, 793, 110, 26.6, 1.10, 0.000, 0.000
59624, 600, 2.6, 3.2, 4.4, 1.4, 1.8, 2.8, 4.0, 5.8, 7.4, 0.8, 1.0, 1.2, 1.0, 1.4, 2.8, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1580, 866, 36960, 822, 112, 26.4, 0.98, 0.000, 0.000
59944, 600, 3.0, 3.8, 25.2, 1.6, 2.2, 5.4, 4.2, 6.2, 8.2, 0.8, 1.2, 1.4, 1.2, 2.2, 24.0, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1585, 866, 37071, 868, 112, 25.6, 1.45, 0.000, 0.000
60265, 600, 2.8, 3.6, 12.6, 1.6, 2.0, 9.8, 4.6, 6.4, 8.0, 0.8, 1.0, 15.0, 1.2, 2.0, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1591, 866, 37251, 979, 112, 26.8, 1.25, 0.000, 0.000
