Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
53236, 600, 2.6, 3.0, 7.2, 2.0, 2.4, 4.2, 2.4, 7.4, 10.8, 1.0, 1.2, 2.4, 1.0, 1.2, 1.6, 1.2, 1.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2126, 445, 42738, 1135, 122, 59.0, 1.25, 0.000, 0.000
53556, 600, 3.2, 4.4, 24.8, 2.2, 3.0, 23.8, 12.4, 19.4, 53.6, 1.2, 1.6, 3.0, 1.4, 2.8, 3.2, 1.6, 2.0, 3.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2159, 504, 43389, 1226, 124, 59.4, 1.27, 0.000, 0.000
53876, 600, 3.2, 4.2, 5.8, 2.0, 2.6, 4.0, 12.4, 17.2, 21.8, 1.2, 1.6, 2.0, 1.6, 2.6, 3.0, 1.8, 2.6, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2165, 515, 43809, 1368, 125, 56.8, 1.40, 0.000, 0.000
54196, 600, 3.6, 4.4, 9.2, 2.0, 2.6, 5.2, 9.8, 14.6, 18.2, 1.2, 1.6, 2.2, 2.0, 2.8, 3.2, 2.0, 2.4, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2155, 518, 44358, 1467, 132, 58.8, 1.18, 0.000, 0.000
54516, 600, 3.4, 4.6, 7.6, 2.2, 2.8, 7.8, 16.0, 22.2, 26.4, 1.2, 1.6, 2.0, 1.8, 3.0, 3.8, 1.8, 3.0, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27.5, 2114, 532, 41996, 764, 118, 58.8, 1.10, 0.000, 0.000
54836, 600, 3.8, 4.8, 10.6, 2.4, 3.0, 6.8, 10.2, 17.2, 22.4, 1.4, 1.6, 2.6, 2.2, 3.2, 4.8, 2.2, 2.8, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2146, 562, 42488, 942, 122, 58.6, 1.30, 0.000, 0.000
55156, 600, 2.6, 3.2, 4.6, 2.2, 2.8, 5.2, 8.2, 10.8, 12.8, 1.0, 1.4, 2.0, 1.0, 1.4, 1.8, 1.2, 1.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2148, 564, 42763, 1063, 130, 60.0, 1.27, 0.000, 0.000
55476, 600, 3.0, 3.8, 8.8, 2.2, 2.8, 6.2, 12.0, 16.6, 21.8, 1.2, 1.4, 2.2, 1.4, 2.2, 3.2, 1.4, 2.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2162, 564, 42949, 1151, 135, 58.6, 1.08, 0.000, 0.000
55797, 600, 3.4, 4.4, 9.0, 2.2, 2.8, 5.4, 8.8, 12.4, 19.0, 1.2, 1.4, 2.4, 1.8, 2.6, 3.0, 2.0, 2.8, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2150, 586, 43491, 1274, 143, 58.2, 1.18, 0.000, 0.000
56117, 600, 3.0, 4.0, 6.4, 2.0, 2.6, 6.2, 9.4, 12.6, 14.0, 1.2, 1.4, 2.2, 1.8, 2.6, 2.8, 1.8, 2.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2148, 589, 43648, 1326, 148, 57.2, 1.25, 0.000, 0.000
56437, 600, 3.0, 3.8, 5.6, 2.2, 2.8, 4.8, 11.6, 15.4, 18.6, 1.2, 1.4, 2.0, 1.4, 2.6, 3.0, 1.4, 2.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2152, 593, 43784, 1372, 150, 59.4, 1.25, 0.000, 0.000
56757, 600, 3.4, 4.4, 7.2, 2.2, 2.8, 6.4, 10.8, 14.4, 19.4, 1.2, 1.6, 2.8, 1.8, 2.8, 3.6, 2.0, 2.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2193, 607, 44113, 1507, 155, 59.0, 1.05, 0.000, 0.000
57077, 600, 2.8, 3.6, 6.0, 2.4, 3.0, 4.0, 11.4, 17.4, 24.2, 1.2, 1.4, 2.0, 1.2, 1.4, 3.0, 1.2, 1.4, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.5, 2197, 658, 42201, 793, 120, 58.2, 1.08, 0.000, 0.000
57397, 600, 2.6, 3.2, 5.0, 2.0, 2.6, 4.6, 7.4, 10.6, 15.2, 1.0, 1.4, 3.0, 1.0, 1.2, 1.8, 1.2, 1.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2165, 694, 42756, 905, 127, 58.8, 1.10, 0.000, 0.000
57717, 600, 3.0, 3.8, 7.4, 2.4, 3.2, 8.4, 11.2, 15.0, 19.2, 1.2, 1.6, 2.0, 1.2, 1.6, 1.8, 1.4, 1.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2142, 694, 42947, 957, 133, 57.8, 1.10, 0.000, 0.000
58037, 600, 2.8, 3.4, 6.4, 2.4, 3.0, 5.4, 9.2, 12.8, 15.4, 1.2, 1.4, 1.8, 1.2, 1.4, 2.0, 1.4, 1.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2149, 697, 43158, 1055, 137, 57.4, 1.12, 0.000, 0.000
58357, 600, 2.8, 3.4, 7.0, 2.2, 2.8, 7.4, 8.8, 12.2, 16.6, 1.2, 1.4, 2.6, 1.0, 1.2, 1.6, 1.2, 1.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2149, 704, 43552, 1131, 143, 57.6, 1.12, 0.000, 0.000
