Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
458, 600, 4.2, 5.0, 5.2, 1.2, 1.6, 2.4, 4.6, 5.8, 200.0, 0.8, 0.8, 1.2, 2.6, 3.2, 3.4, 4.0, 4.6, 4.8, 0.0, 10, 0, 1, 0, 0, 0, 6, 0, 1, 0, 6, 5, 64.0, 1246, 358, 33692, 514, 165, 124.6, 1.80, 0.000, 0.000
779, 600, 4.2, 4.8, 5.2, 1.2, 1.4, 2.2, 4.6, 6.2, 7.0, 0.8, 0.8, 1.2, 2.4, 3.2, 3.6, 3.8, 4.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1240, 368, 33719, 520, 165, 126.0, 4.15, 0.000, 0.000
1100, 600, 4.2, 5.0, 7.6, 1.2, 1.6, 2.4, 4.6, 6.8, 8.0, 0.8, 1.0, 1.4, 2.6, 3.2, 3.6, 4.0, 4.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1303, 459, 33744, 528, 165, 122.8, 1.75, 0.000, 0.000
1420, 600, 4.6, 5.2, 8.4, 1.6, 2.2, 3.4, 6.2, 9.0, 18.2, 1.0, 1.2, 6.6, 2.6, 3.4, 3.8, 4.2, 5.0, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1261, 491, 34561, 602, 170, 124.6, 3.95, 0.000, 0.000
1740, 600, 4.4, 5.2, 13.6, 1.6, 2.2, 6.2, 7.2, 9.4, 12.6, 0.8, 1.0, 4.4, 2.6, 3.4, 3.8, 4.2, 5.0, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1296, 531, 34765, 643, 173, 123.6, 3.23, 0.000, 0.000
2060, 600, 4.6, 5.4, 6.6, 1.8, 2.2, 6.4, 5.4, 7.4, 8.4, 1.0, 1.0, 4.8, 2.6, 3.4, 3.8, 4.4, 5.0, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1297, 596, 35227, 663, 176, 125.8, 2.17, 0.000, 0.000
2380, 600, 4.6, 5.2, 5.4, 1.6, 2.0, 2.4, 6.4, 7.6, 9.0, 0.8, 1.0, 1.2, 2.6, 3.4, 3.6, 4.2, 5.0, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1277, 596, 35228, 664, 176, 124.8, 3.62, 0.000, 0.000
2699, 600, 4.4, 5.0, 5.4, 1.6, 2.2, 5.0, 6.4, 8.2, 9.0, 0.8, 1.0, 1.4, 2.6, 3.2, 3.6, 4.2, 4.8, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10.0, 1255, 566, 34598, 571, 170, 125.4, 2.78, 0.000, 0.000
3020, 600, 4.2, 5.0, 12.6, 1.6, 2.0, 5.4, 7.0, 9.2, 10.6, 0.8, 1.0, 4.0, 2.4, 3.0, 3.6, 4.0, 4.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1267, 570, 34767, 616, 173, 126.4, 3.03, 0.000, 0.000
3339, 600, 4.6, 5.2, 5.8, 1.8, 2.2, 3.0, 4.8, 9.8, 26.6, 0.8, 1.0, 2.2, 2.6, 3.4, 4.0, 4.2, 5.0, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1276, 571, 35409, 649, 178, 124.8, 2.65, 0.000, 0.000
