Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
26049, 600, 16.8, 16.8, 97.2, 3.4, 4.2, 6.6, 6.4, 8.8, 197.4, 1.6, 1.8, 3.2, 1.6, 2.0, 6.8, 5.2, 6.0, 11.8, 0.0, 11, 0, 2, 3, 0, 0, 5, 0, 3, 0, 11, 12, 218.0, 1680, 369, 36617, 769, 185, 51.6, 4.33, 0.000, 0.000
26369, 481, 16.6, 16.8, 50.2, 3.6, 4.4, 7.0, 7.6, 10.4, 11.8, 1.4, 1.8, 2.6, 1.6, 1.8, 2.4, 5.8, 6.4, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34.5, 1666, 347, 36205, 760, 180, 51.8, 3.90, 0.000, 0.000
26690, 475, 16.8, 16.8, 106.4, 3.4, 4.2, 13.4, 5.8, 9.0, 12.0, 1.4, 2.0, 9.2, 1.4, 1.8, 2.2, 4.8, 6.0, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1751, 367, 36541, 844, 187, 53.8, 3.98, 0.000, 0.000
27011, 481, 16.6, 16.8, 20.2, 3.6, 4.4, 8.2, 9.4, 12.8, 14.8, 1.6, 2.0, 5.2, 2.0, 3.2, 5.0, 5.6, 7.2, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1670, 385, 36773, 886, 189, 51.6, 3.92, 0.000, 0.000
27332, 481, 16.6, 16.8, 17.4, 3.0, 4.0, 10.8, 7.6, 9.8, 11.2, 1.2, 1.6, 3.2, 1.4, 1.6, 2.0, 4.8, 5.6, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1653, 389, 37078, 951, 193, 52.4, 4.00, 0.000, 0.000
27652, 481, 16.6, 16.8, 17.4, 3.2, 3.8, 7.0, 6.6, 8.8, 18.8, 1.2, 1.6, 2.8, 1.4, 1.6, 3.0, 5.8, 6.4, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1719, 470, 37198, 979, 195, 51.4, 3.50, 0.000, 0.000
27974, 481, 16.6, 16.8, 17.2, 3.2, 4.2, 6.6, 7.8, 10.4, 14.0, 1.4, 1.8, 2.2, 2.4, 3.0, 4.0, 5.8, 6.8, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1678, 484, 37406, 1026, 196, 52.4, 2.73, 0.000, 0.000
28293, 479, 16.8, 16.8, 50.6, 3.4, 4.2, 14.0, 6.6, 8.2, 9.2, 1.4, 1.6, 3.0, 1.4, 1.6, 2.2, 5.4, 6.2, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1718, 527, 37739, 1088, 200, 51.8, 3.45, 0.000, 0.000
28613, 482, 16.6, 16.8, 50.6, 3.4, 4.4, 8.6, 7.4, 9.8, 11.6, 1.4, 1.8, 2.0, 1.6, 2.6, 5.8, 5.8, 6.6, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101.5, 1655, 516, 36250, 742, 183, 50.0, 3.67, 0.000, 0.000
28934, 478, 16.8, 16.8, 81.6, 3.6, 4.2, 80.6, 6.4, 8.4, 11.4, 1.4, 1.8, 3.8, 1.6, 2.8, 3.6, 5.8, 6.4, 8.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1667, 516, 36420, 791, 184, 50.6, 4.55, 0.000, 0.000
