Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
2322, 600, 13.2, 40.8, 69.0, 10.4, 40.8, 69.0, 17.2, 40.8, 200.0, 1.8, 2.2, 4.0, 1.8, 2.0, 3.6, 1.4, 1.6, 2.4, 0.0, 51, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 135.5, 1986, 391, 38685, 820, 189, 77.8, 14.15, 0.000, 0.000
2649, 207, 38.8, 73.6, 109.0, 38.6, 73.6, 105.2, 39.4, 73.4, 107.6, 2.4, 4.0, 9.0, 2.4, 4.2, 22.0, 3.0, 7.0, 8.4, 0.0, 91, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1993, 405, 38962, 862, 190, 244.0, 24.27, 0.000, 0.000
2970, 410, 19.6, 52.8, 68.0, 17.2, 52.0, 67.8, 32.6, 57.4, 67.6, 2.0, 2.8, 5.0, 1.8, 2.4, 3.8, 1.6, 1.8, 9.0, 0.0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1999, 429, 39258, 987, 196, 225.8, 14.35, 0.000, 0.000
3283, 442, 18.2, 45.4, 67.4, 16.0, 45.0, 67.0, 29.6, 50.2, 67.4, 1.8, 2.4, 12.0, 1.8, 2.4, 7.0, 1.6, 1.8, 9.0, 0.0, 77, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1992, 435, 39544, 1055, 204, 118.4, 24.23, 0.000, 0.000
3609, 600, 10.6, 30.8, 52.6, 8.0, 30.4, 52.2, 26.2, 41.6, 59.6, 2.0, 2.4, 4.0, 1.8, 2.2, 3.8, 1.4, 1.6, 2.0, 0.0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2003, 435, 39772, 1108, 210, 142.2, 12.98, 0.000, 0.000
3933, 322, 24.8, 58.2, 82.2, 23.2, 57.6, 83.0, 36.6, 59.6, 85.0, 2.0, 2.4, 4.2, 2.6, 4.2, 5.4, 2.2, 6.2, 6.6, 0.0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 241.5, 1984, 403, 38718, 832, 188, 219.2, 16.08, 0.000, 0.000
4250, 600, 9.8, 20.6, 38.8, 7.0, 20.4, 38.0, 20.0, 29.4, 37.0, 1.8, 2.2, 7.4, 1.8, 2.4, 5.2, 1.4, 1.6, 2.0, 0.0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2027, 488, 38920, 894, 192, 66.8, 13.75, 0.000, 0.000
4573, 510, 15.6, 34.8, 59.6, 13.8, 34.2, 56.8, 26.8, 37.2, 56.4, 2.0, 2.6, 6.2, 1.8, 2.4, 4.6, 1.4, 1.8, 2.0, 0.0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1994, 488, 39224, 1034, 195, 255.8, 15.50, 0.000, 0.000
4895, 600, 10.6, 27.0, 51.2, 7.4, 26.6, 50.4, 20.6, 32.6, 50.4, 1.8, 2.4, 5.8, 2.2, 3.8, 5.8, 1.6, 2.2, 3.4, 0.0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1997, 494, 39793, 1136, 204, 71.4, 12.25, 0.000, 0.000
5210, 297, 27.0, 57.8, 75.0, 25.6, 57.0, 74.6, 37.8, 61.6, 74.6, 2.2, 3.0, 4.4, 2.0, 2.8, 4.2, 2.0, 7.2, 9.6, 0.0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2014, 494, 40252, 1209, 207, 268.8, 19.55, 0.000, 0.000
