Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
319, 600, 24.2, 32.4, 200.0, 7.6, 30.6, 200.0, 22.4, 37.8, 200.0, 2.6, 6.2, 41.8, 15.4, 19.8, 122.8, 22.0, 24.0, 30.0, 0.0, 20, 0, 1, 12, 0, 0, 3, 0, 0, 11, 3, 3, 82.0, 1363, 635, 38627, 775, 122, 139.4, 10.12, 0.006, 0.006
640, 320, 25.0, 26.6, 131.8, 6.4, 10.0, 30.4, 14.8, 19.8, 115.6, 3.6, 7.2, 39.8, 15.8, 19.6, 120.2, 24.0, 25.8, 26.8, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 5, 0, 0.0, 1374, 644, 39618, 993, 129, 128.0, 12.12, 0.010, 0.010
961, 306, 26.2, 28.2, 124.4, 5.4, 7.4, 32.8, 12.6, 16.2, 30.4, 2.8, 5.4, 11.8, 18.2, 20.6, 117.4, 25.6, 28.0, 29.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 79.5, 1355, 614, 38826, 810, 122, 127.2, 11.15, 0.009, 0.009
1281, 325, 24.6, 27.6, 169.2, 6.6, 9.4, 111.4, 18.0, 24.0, 143.4, 3.4, 7.4, 14.6, 15.6, 20.0, 112.6, 24.0, 26.8, 29.0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0.0, 1369, 618, 39147, 883, 126, 127.2, 11.00, 0.005, 0.005
1602, 334, 24.0, 26.0, 127.4, 6.0, 8.4, 28.0, 13.8, 18.8, 49.0, 3.2, 6.4, 11.4, 15.6, 19.4, 113.2, 23.4, 25.2, 26.8, 0.0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.0, 1421, 653, 39568, 1039, 131, 127.6, 10.28, 0.010, 0.010
1922, 329, 24.4, 27.0, 164.8, 7.4, 10.8, 115.8, 15.0, 20.0, 27.0, 3.8, 7.0, 111.4, 14.4, 19.0, 112.2, 23.4, 25.8, 27.8, 0.0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 5, 0, 0.0, 1401, 689, 39831, 1127, 137, 133.6, 10.95, 0.004, 0.004
2243, 316, 25.4, 27.0, 171.8, 8.2, 11.0, 122.2, 18.8, 22.4, 126.8, 4.4, 8.0, 143.0, 14.0, 19.8, 23.2, 24.0, 25.6, 27.8, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 0.0, 1433, 779, 40192, 1287, 137, 128.2, 12.70, 0.004, 0.004
2563, 316, 25.4, 27.0, 159.2, 6.8, 10.0, 146.8, 15.0, 21.4, 148.0, 3.2, 7.4, 12.2, 16.0, 19.2, 146.4, 24.2, 26.2, 27.4, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0.0, 1439, 852, 40473, 1420, 140, 127.0, 11.80, 0.000, 0.000
2884, 336, 23.8, 26.0, 159.4, 6.0, 8.0, 145.6, 16.6, 20.6, 153.2, 3.0, 6.4, 13.6, 14.8, 18.6, 21.0, 23.2, 25.4, 28.4, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0.0, 1406, 856, 40728, 1511, 146, 125.8, 10.62, 0.004, 0.004
3205, 351, 22.8, 24.4, 147.6, 6.0, 8.2, 110.8, 12.4, 15.6, 127.0, 3.0, 6.2, 13.4, 14.2, 16.8, 113.8, 22.2, 23.8, 25.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 1411, 856, 40836, 1564, 146, 127.6, 8.82, 0.005, 0.005
3526, 332, 24.2, 27.2, 124.8, 6.0, 8.4, 13.0, 8.8, 14.6, 18.4, 3.0, 6.2, 37.6, 15.2, 18.6, 115.6, 23.4, 26.6, 28.8, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 156.5, 1360, 835, 39052, 880, 123, 127.2, 10.32, 0.003, 0.003
3845, 334, 24.0, 25.6, 163.6, 6.4, 8.4, 108.4, 11.4, 15.0, 38.6, 3.0, 5.6, 40.4, 15.0, 17.8, 121.8, 22.8, 24.6, 26.4, 0.0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 1366, 835, 39253, 908, 123, 127.2, 10.23, 0.010, 0.010
4165, 338, 23.8, 25.2, 151.0, 6.6, 9.0, 115.6, 9.8, 12.0, 114.8, 2.8, 5.0, 44.6, 15.4, 18.2, 132.4, 23.2, 24.8, 28.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 1372, 835, 39452, 1009, 123, 135.6, 10.07, 0.004, 0.004
4486, 347, 23.0, 25.0, 128.2, 5.0, 7.4, 11.6, 7.6, 12.2, 35.4, 2.4, 4.4, 11.2, 15.4, 18.0, 122.6, 22.4, 24.6, 26.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 1358, 837, 39629, 1102, 124, 128.0, 9.62, 0.013, 0.013
4806, 355, 22.6, 24.6, 151.6, 5.0, 6.0, 108.6, 3.0, 5.2, 104.0, 1.8, 3.2, 8.0, 15.8, 17.6, 120.6, 21.6, 23.8, 26.6, 0.0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.0, 1370, 857, 39843, 1102, 124, 123.4, 8.32, 0.007, 0.007
5126, 360, 22.2, 23.4, 126.2, 4.4, 5.4, 103.8, 1.2, 1.8, 2.6, 1.8, 3.0, 12.8, 16.0, 17.6, 115.4, 21.4, 22.8, 26.6, 0.0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.0, 1348, 857, 39871, 1102, 124, 125.8, 8.05, 0.009, 0.009
5447, 364, 22.0, 24.6, 123.4, 4.4, 5.6, 8.0, 1.0, 1.2, 2.0, 1.4, 2.4, 6.0, 16.4, 19.2, 118.4, 21.6, 24.2, 26.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1348, 857, 39888, 1102, 124, 131.6, 8.28, 0.007, 0.007
5768, 362, 22.2, 23.6, 129.6, 3.6, 4.6, 6.4, 1.0, 1.2, 1.6, 1.4, 2.4, 26.2, 16.4, 17.6, 123.6, 21.2, 22.8, 24.8, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 1347, 857, 39888, 1102, 124, 129.4, 8.30, 0.005, 0.005
