Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 18.8, 36.0, 200.0, 14.0, 34.6, 200.0, 24.0, 39.0, 194.2, 5.0, 9.0, 37.6, 3.2, 5.0, 10.0, 9.8, 11.4, 14.0, 0.0, 37, 0, 3, 3, 0, 0, 2, 0, 1, 3, 5, 3, 53.0, 1810, 601, 76516, 3064, 333, 89.2, 10.48, 0.000, 0.000
626, 468, 17.2, 36.0, 92.6, 15.0, 34.6, 44.0, 26.2, 38.2, 104.0, 5.2, 9.8, 32.0, 3.4, 6.2, 15.2, 10.6, 12.0, 14.6, 0.0, 29, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1829, 615, 77008, 3218, 339, 91.0, 8.88, 0.000, 0.000
946, 462, 17.4, 31.8, 37.0, 14.2, 30.6, 36.6, 24.4, 32.4, 35.8, 4.8, 8.2, 16.2, 3.2, 5.6, 8.8, 10.2, 11.8, 13.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1832, 618, 77331, 3336, 348, 88.4, 8.15, 0.000, 0.000
1266, 600, 12.4, 18.2, 33.6, 9.2, 12.4, 26.0, 19.6, 22.6, 39.4, 4.2, 7.4, 13.8, 3.2, 5.0, 8.2, 9.6, 12.6, 14.8, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1840, 619, 77759, 3504, 359, 86.6, 5.38, 0.000, 0.000
1587, 600, 13.2, 18.4, 91.2, 9.0, 13.4, 35.4, 18.6, 22.4, 26.6, 4.6, 8.2, 19.4, 3.0, 5.0, 8.2, 9.8, 11.8, 13.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 183.0, 1818, 592, 75755, 3012, 332, 81.0, 6.25, 0.000, 0.000
1907, 600, 12.6, 17.6, 98.8, 9.2, 12.4, 18.2, 17.4, 21.6, 24.2, 4.6, 8.2, 60.2, 3.2, 5.2, 9.8, 9.6, 11.2, 13.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1817, 594, 76008, 3120, 338, 84.0, 5.93, 0.000, 0.000
2227, 600, 13.2, 18.4, 98.0, 9.0, 12.6, 25.2, 18.2, 21.8, 39.2, 5.0, 8.8, 84.8, 3.8, 6.8, 13.4, 10.0, 12.2, 14.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1831, 609, 76380, 3222, 348, 83.0, 6.03, 0.000, 0.000
2547, 599, 13.4, 18.8, 106.0, 9.4, 13.6, 95.4, 19.6, 22.8, 101.6, 4.8, 8.6, 33.6, 3.2, 5.0, 29.4, 10.0, 11.6, 14.2, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1839, 612, 76626, 3291, 356, 83.8, 6.38, 0.000, 0.000
2868, 555, 14.4, 23.8, 91.2, 11.4, 20.6, 26.4, 22.4, 26.2, 30.6, 5.4, 10.0, 31.6, 3.6, 6.2, 13.8, 10.2, 12.6, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1839, 614, 77014, 3429, 363, 88.0, 7.40, 0.000, 0.000
3188, 600, 12.8, 18.8, 93.6, 10.0, 15.0, 54.0, 20.6, 24.0, 57.6, 4.4, 8.6, 16.6, 3.6, 6.8, 87.0, 8.4, 10.2, 12.4, 0.0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1841, 617, 77176, 3494, 368, 83.6, 6.53, 0.000, 0.000
3508, 600, 12.4, 18.6, 37.2, 9.0, 12.4, 23.8, 18.0, 21.8, 24.6, 4.4, 8.2, 13.4, 3.0, 4.8, 8.0, 9.2, 11.8, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1852, 620, 77439, 3556, 376, 81.2, 5.38, 0.000, 0.000
3828, 541, 14.8, 22.6, 101.8, 11.6, 20.0, 38.6, 22.2, 26.6, 37.8, 5.8, 10.0, 62.0, 4.0, 6.6, 11.8, 10.4, 12.0, 14.6, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1857, 622, 77827, 3677, 379, 87.0, 7.08, 0.000, 0.000
4149, 600, 13.2, 18.6, 92.6, 10.0, 14.0, 35.0, 19.2, 23.8, 29.0, 4.8, 8.8, 15.4, 3.2, 5.0, 29.8, 9.4, 11.0, 12.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 147.0, 1831, 598, 75902, 3081, 340, 83.8, 6.08, 0.000, 0.000
4469, 600, 12.4, 18.0, 88.8, 9.6, 13.4, 23.2, 20.6, 23.2, 26.4, 4.4, 8.4, 30.0, 3.0, 4.6, 9.6, 8.6, 10.0, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1841, 598, 76075, 3123, 342, 86.8, 5.97, 0.000, 0.000
4790, 589, 13.6, 20.0, 93.6, 10.2, 14.0, 20.4, 19.0, 23.0, 26.4, 5.2, 9.0, 82.2, 3.4, 5.4, 82.2, 10.0, 12.2, 14.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1843, 603, 76285, 3197, 345, 82.4, 5.83, 0.000, 0.000
5110, 600, 13.2, 18.4, 36.4, 10.0, 14.6, 24.0, 20.6, 25.0, 27.8, 4.8, 8.6, 12.2, 3.6, 6.8, 11.0, 9.6, 11.8, 13.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1840, 606, 76463, 3241, 352, 85.6, 5.45, 0.000, 0.000
5430, 600, 13.2, 19.2, 91.2, 10.0, 13.4, 42.4, 17.6, 24.0, 55.2, 4.4, 7.6, 12.6, 3.2, 5.4, 10.0, 8.8, 10.6, 12.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1846, 606, 76639, 3294, 357, 84.0, 5.85, 0.000, 0.000
5750, 600, 11.8, 17.4, 90.2, 9.4, 12.0, 22.4, 18.6, 22.4, 28.8, 4.0, 7.8, 11.4, 3.0, 4.6, 9.2, 8.2, 9.8, 12.8, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1851, 609, 76843, 3347, 366, 82.2, 5.55, 0.000, 0.000
6071, 600, 13.4, 21.0, 92.6, 9.2, 13.8, 21.6, 19.0, 22.0, 42.8, 4.8, 8.4, 81.2, 3.8, 7.2, 12.2, 9.6, 11.8, 13.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1849, 612, 77120, 3425, 374, 82.4, 5.83, 0.000, 0.000
6391, 572, 14.0, 19.8, 95.2, 10.4, 14.8, 21.2, 19.2, 22.2, 24.2, 5.0, 9.4, 16.2, 3.6, 6.2, 9.2, 9.6, 11.4, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1861, 612, 77334, 3485, 377, 85.4, 6.43, 0.002, 0.002
6711, 583, 13.8, 19.4, 108.0, 10.0, 13.8, 31.6, 18.4, 21.6, 25.4, 5.0, 8.8, 16.6, 3.2, 5.2, 10.8, 9.6, 11.8, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 110.0, 1825, 603, 76072, 3131, 343, 85.0, 6.43, 0.000, 0.000
7031, 600, 12.8, 18.8, 103.0, 9.6, 12.8, 33.4, 19.2, 21.4, 41.6, 4.6, 8.2, 13.2, 3.2, 5.4, 8.0, 9.6, 11.2, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1834, 603, 76268, 3184, 345, 85.4, 6.60, 0.000, 0.000
7352, 600, 12.8, 18.8, 93.4, 9.2, 12.4, 18.6, 18.8, 22.0, 24.8, 4.4, 8.8, 15.6, 3.4, 5.6, 85.0, 10.2, 13.0, 14.2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1841, 606, 76521, 3254, 351, 81.0, 5.85, 0.000, 0.000
7672, 576, 14.0, 22.2, 40.2, 10.4, 17.6, 24.2, 20.4, 24.6, 29.8, 4.8, 8.6, 18.8, 3.2, 5.0, 7.4, 10.0, 12.0, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1838, 606, 76704, 3306, 354, 85.0, 5.97, 0.000, 0.000
7993, 600, 12.8, 18.6, 32.4, 9.8, 15.4, 23.2, 22.6, 25.6, 33.8, 4.6, 8.6, 33.6, 3.2, 5.6, 9.6, 9.8, 12.2, 14.4, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1847, 609, 76876, 3350, 360, 83.6, 6.22, 0.000, 0.000
8313, 600, 12.8, 19.6, 94.4, 10.0, 16.2, 22.2, 21.0, 25.8, 34.0, 4.6, 8.4, 15.4, 3.2, 5.2, 51.8, 9.4, 11.0, 13.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1847, 612, 77102, 3410, 363, 82.4, 6.05, 0.000, 0.000
8633, 600, 13.2, 18.2, 101.2, 9.4, 12.6, 22.6, 18.0, 22.2, 26.4, 4.6, 8.2, 16.6, 4.0, 7.2, 11.6, 9.6, 11.8, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1859, 616, 77366, 3470, 370, 84.2, 5.58, 0.000, 0.000
8953, 600, 12.6, 17.6, 37.2, 9.2, 12.4, 28.6, 18.6, 21.8, 24.8, 4.4, 8.2, 13.2, 3.4, 6.0, 9.4, 9.8, 11.6, 14.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 131.0, 1821, 603, 75774, 3017, 332, 83.0, 5.78, 0.000, 0.000
9274, 600, 13.0, 18.6, 96.4, 9.6, 12.4, 30.8, 17.2, 20.0, 27.2, 4.4, 7.8, 37.6, 3.0, 4.4, 8.0, 9.4, 11.0, 13.2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1827, 607, 76393, 3118, 341, 81.8, 5.72, 0.000, 0.000
9593, 600, 13.0, 17.8, 100.6, 9.8, 12.8, 22.8, 18.8, 23.6, 30.6, 4.4, 8.8, 12.2, 3.4, 5.2, 12.0, 10.2, 11.6, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1827, 608, 76792, 3233, 352, 83.0, 5.88, 0.000, 0.000
9914, 563, 14.2, 20.4, 35.2, 10.4, 14.6, 23.4, 19.4, 24.4, 28.8, 5.4, 9.2, 15.2, 4.0, 6.8, 11.2, 10.4, 12.0, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1839, 611, 77054, 3315, 359, 82.4, 6.00, 0.000, 0.000
10234, 542, 14.8, 22.0, 106.0, 11.8, 20.0, 26.2, 22.4, 26.2, 28.6, 5.2, 9.4, 14.6, 3.8, 7.0, 11.4, 10.6, 13.6, 15.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1844, 614, 77278, 3426, 362, 85.8, 7.50, 0.000, 0.000
10554, 585, 13.6, 18.8, 92.2, 10.2, 14.6, 22.8, 19.0, 22.0, 26.4, 5.4, 10.4, 15.2, 3.4, 5.0, 28.4, 9.6, 11.0, 12.8, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1849, 620, 77504, 3493, 369, 86.4, 5.75, 0.000, 0.000
10875, 578, 13.8, 19.2, 100.8, 10.6, 16.2, 21.4, 19.8, 23.2, 46.6, 5.0, 9.2, 17.4, 3.6, 5.8, 14.6, 9.8, 11.4, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1854, 620, 77749, 3557, 376, 91.2, 6.18, 0.000, 0.000
11195, 570, 14.0, 19.6, 103.4, 10.2, 15.8, 37.0, 20.0, 23.4, 30.0, 5.0, 9.0, 12.4, 3.8, 6.4, 11.6, 9.6, 11.2, 12.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1865, 629, 78004, 3620, 383, 86.2, 6.70, 0.000, 0.000
11515, 515, 15.6, 23.2, 50.2, 12.4, 20.4, 49.8, 22.8, 26.8, 30.2, 6.2, 10.8, 15.0, 3.8, 5.6, 7.2, 11.0, 13.4, 16.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 248.0, 1826, 610, 76380, 3141, 340, 90.2, 7.15, 0.000, 0.000
11836, 540, 14.8, 22.4, 95.6, 11.6, 20.2, 30.8, 21.6, 26.0, 45.6, 5.6, 9.6, 85.6, 3.6, 5.8, 7.8, 10.2, 12.0, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1837, 614, 76617, 3235, 349, 82.6, 7.18, 0.000, 0.000
12156, 544, 14.8, 21.6, 103.2, 11.2, 18.4, 35.2, 19.6, 24.2, 98.0, 5.6, 9.8, 29.4, 3.6, 5.4, 83.0, 9.8, 11.4, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1858, 619, 77171, 3339, 355, 82.4, 7.62, 0.000, 0.000
12476, 531, 15.0, 21.8, 44.0, 11.2, 16.8, 25.2, 18.6, 23.2, 29.0, 5.6, 9.6, 14.4, 4.6, 8.2, 12.8, 10.2, 12.6, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1864, 619, 77474, 3425, 360, 86.8, 6.85, 0.001, 0.001
12797, 546, 14.6, 20.2, 94.8, 10.6, 16.2, 25.6, 18.6, 22.2, 27.8, 5.4, 9.6, 17.2, 4.0, 6.8, 22.4, 9.4, 10.8, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1865, 623, 77796, 3490, 367, 84.4, 6.95, 0.001, 0.001
13117, 519, 15.4, 23.0, 97.4, 11.6, 20.0, 64.4, 21.0, 25.2, 65.0, 5.8, 9.6, 16.2, 3.6, 5.6, 9.6, 9.4, 11.2, 12.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1868, 623, 78098, 3689, 370, 89.8, 7.38, 0.000, 0.000
