Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
262676, 600, 8.8, 14.4, 37.6, 4.0, 6.4, 19.6, 11.4, 21.2, 200.0, 3.2, 6.0, 16.2, 3.4, 5.2, 20.0, 7.6, 9.2, 23.6, 0.0, 17, 0, 20, 11, 1, 0, 13, 0, 18, 14, 21, 13, 168.5, 1589, 507, 71983, 2630, 304, 76.4, 3.42, 0.000, 0.000
262996, 600, 8.2, 11.0, 104.4, 3.8, 5.6, 12.2, 9.0, 11.0, 86.6, 3.0, 4.8, 35.8, 3.4, 4.8, 91.0, 7.2, 8.8, 20.0, 0.0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.0, 1601, 525, 71999, 2642, 308, 75.6, 3.38, 0.000, 0.000
263316, 600, 9.2, 12.8, 24.0, 3.8, 6.2, 12.6, 8.8, 11.0, 14.4, 3.2, 5.8, 9.4, 3.8, 5.8, 20.4, 8.2, 10.2, 24.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1593, 531, 72011, 2651, 311, 75.2, 3.35, 0.000, 0.000
263635, 600, 7.2, 11.8, 86.4, 4.0, 6.0, 80.4, 9.4, 12.0, 69.2, 2.6, 4.8, 11.2, 3.0, 4.4, 80.4, 6.0, 7.6, 20.8, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.0, 1592, 534, 72046, 2659, 313, 75.4, 3.30, 0.000, 0.000
263956, 600, 7.0, 11.0, 19.2, 3.4, 5.4, 8.6, 8.2, 10.0, 12.4, 2.6, 5.0, 9.6, 2.6, 3.6, 14.8, 6.0, 8.2, 17.0, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 44.5, 1588, 534, 71931, 2653, 310, 75.2, 2.78, 0.000, 0.000
264277, 600, 9.6, 13.0, 23.8, 3.6, 5.4, 9.8, 8.6, 10.6, 12.6, 3.6, 6.4, 9.4, 3.6, 5.0, 19.0, 8.8, 10.0, 23.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1588, 534, 71939, 2659, 312, 76.8, 3.30, 0.000, 0.000
264597, 600, 8.8, 12.4, 79.2, 4.0, 6.4, 22.6, 8.6, 10.8, 13.2, 3.0, 5.2, 72.4, 3.8, 5.6, 73.0, 7.6, 9.4, 19.8, 0.0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0.0, 1584, 534, 71960, 2669, 315, 78.2, 3.48, 0.000, 0.000
264917, 600, 8.4, 12.0, 25.6, 3.8, 6.2, 8.6, 8.8, 10.8, 12.0, 3.2, 5.4, 11.6, 3.2, 4.6, 19.6, 7.4, 9.0, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1585, 534, 71968, 2675, 317, 75.2, 2.98, 0.000, 0.000
265237, 600, 8.8, 12.2, 78.4, 3.8, 5.8, 18.6, 8.6, 10.8, 14.8, 3.4, 5.4, 65.0, 3.0, 4.4, 11.6, 7.6, 8.8, 21.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0.0, 1585, 535, 71976, 2681, 319, 77.0, 3.75, 0.000, 0.000
265556, 600, 6.6, 10.4, 68.4, 3.8, 5.8, 8.2, 8.6, 10.4, 13.2, 2.4, 4.2, 16.0, 2.8, 4.4, 63.2, 5.2, 6.0, 21.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1589, 535, 71990, 2693, 321, 76.4, 3.33, 0.000, 0.000
