Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
22422, 600, 7.0, 7.0, 25.6, 4.2, 5.2, 22.8, 4.8, 11.8, 180.8, 1.4, 1.8, 5.8, 1.2, 1.8, 5.2, 5.8, 6.4, 8.4, 0.0, 3, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 4.5, 1493, 506, 39961, 1062, 205, 48.6, 2.48, 0.000, 0.000
22743, 600, 7.6, 8.8, 9.6, 4.4, 5.4, 7.2, 13.0, 16.2, 18.8, 1.6, 2.0, 3.0, 4.6, 6.6, 7.4, 7.0, 8.4, 9.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1592, 593, 40314, 1153, 207, 48.4, 2.17, 0.000, 0.000
23064, 600, 7.4, 8.6, 21.4, 4.4, 5.6, 9.0, 12.2, 16.4, 18.0, 1.6, 2.0, 3.2, 4.0, 6.2, 7.2, 6.8, 8.2, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1554, 618, 40798, 1295, 214, 49.0, 2.35, 0.000, 0.000
23383, 600, 7.0, 7.0, 9.4, 4.0, 4.8, 8.6, 9.4, 12.2, 15.2, 1.4, 1.8, 2.0, 1.8, 5.0, 5.8, 6.2, 6.8, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1558, 627, 41502, 1423, 222, 48.0, 2.60, 0.000, 0.000
23704, 600, 7.2, 7.0, 117.4, 4.6, 5.2, 116.6, 12.2, 15.6, 20.4, 1.4, 1.8, 3.0, 1.6, 5.0, 6.6, 6.2, 7.0, 8.2, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 39.5, 1581, 649, 39874, 940, 198, 51.8, 8.50, 0.000, 0.000
24023, 600, 7.4, 7.0, 200.0, 4.8, 5.4, 200.0, 12.6, 17.0, 28.8, 1.4, 1.8, 2.2, 1.6, 3.2, 5.4, 6.0, 6.8, 7.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1541, 662, 40280, 1086, 199, 48.6, 8.10, 0.000, 0.000
24343, 600, 7.0, 7.0, 11.2, 4.4, 5.2, 8.0, 13.0, 17.2, 20.0, 1.4, 1.6, 2.4, 1.2, 1.8, 3.2, 6.0, 6.6, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1564, 720, 40671, 1249, 204, 48.4, 2.42, 0.000, 0.000
24664, 600, 7.0, 7.0, 17.6, 4.4, 5.6, 8.6, 11.4, 14.4, 16.2, 1.4, 1.8, 2.8, 2.2, 5.2, 5.8, 6.2, 7.0, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1568, 748, 41073, 1376, 210, 48.6, 2.35, 0.000, 0.000
24983, 600, 7.4, 8.8, 25.2, 4.6, 5.4, 10.6, 11.2, 14.0, 16.8, 1.4, 1.8, 3.0, 4.8, 6.6, 6.8, 6.8, 8.2, 9.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1565, 783, 41623, 1473, 216, 49.8, 2.50, 0.000, 0.000
25304, 600, 7.2, 8.0, 22.8, 5.0, 6.2, 8.8, 13.0, 16.8, 23.4, 1.6, 2.0, 5.0, 4.2, 5.4, 6.0, 6.8, 7.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1576, 783, 42018, 1673, 218, 49.0, 2.78, 0.000, 0.000
26323, 600, 7.0, 7.4, 21.8, 4.2, 5.2, 7.8, 14.0, 20.4, 200.0, 1.4, 1.8, 3.0, 3.8, 5.4, 9.6, 6.4, 7.2, 8.0, 0.0, 7, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 3, 43.0, 1630, 595, 45437, 1036, 197, 49.8, 2.38, 0.003, 0.003
26643, 600, 7.2, 8.4, 9.4, 4.0, 4.8, 8.4, 10.4, 14.2, 15.8, 1.4, 1.8, 2.8, 3.4, 6.2, 7.2, 6.6, 8.0, 9.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1598, 646, 45895, 1216, 203, 49.0, 2.15, 0.000, 0.000
26964, 600, 7.2, 8.2, 20.2, 4.0, 5.0, 7.0, 11.0, 15.6, 18.6, 1.4, 1.6, 2.6, 2.8, 6.0, 6.8, 6.4, 7.8, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1624, 665, 46314, 1403, 204, 48.8, 2.48, 0.000, 0.000
