Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 16.2, 22.2, 200.0, 3.6, 4.6, 200.0, 5.6, 10.0, 200.0, 1.6, 2.2, 22.0, 12.8, 19.2, 20.6, 14.4, 21.0, 22.2, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 32.0, 1012, 392, 35112, 563, 170, 46.8, 6.62, 0.000, 0.000
640, 490, 16.4, 24.8, 26.0, 3.2, 4.4, 5.8, 3.8, 5.0, 6.4, 1.8, 2.2, 2.6, 13.6, 22.2, 23.2, 15.2, 23.4, 25.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1037, 412, 35157, 568, 170, 41.2, 6.58, 0.000, 0.000
959, 510, 15.8, 25.8, 26.6, 3.2, 4.6, 6.4, 4.0, 5.4, 6.2, 1.6, 2.2, 2.6, 13.0, 22.8, 23.8, 14.8, 24.6, 25.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1027, 416, 35192, 574, 170, 41.4, 7.08, 0.000, 0.000
1280, 498, 16.0, 26.6, 28.0, 3.4, 4.8, 6.4, 4.0, 5.0, 7.0, 1.8, 2.2, 2.8, 13.2, 23.6, 25.4, 15.2, 25.6, 27.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1018, 419, 35263, 581, 170, 41.2, 7.18, 0.000, 0.000
1599, 536, 15.0, 26.4, 30.0, 3.0, 4.4, 8.2, 3.6, 5.2, 14.0, 1.8, 2.4, 3.2, 12.4, 23.6, 27.2, 14.2, 25.2, 29.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1028, 428, 35571, 658, 175, 41.0, 6.65, 0.000, 0.000
1920, 509, 15.8, 26.8, 27.8, 3.6, 5.0, 6.6, 4.8, 6.2, 7.2, 1.8, 2.2, 2.8, 12.8, 23.6, 25.0, 15.0, 25.8, 26.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1090, 476, 35623, 668, 175, 39.0, 6.12, 0.000, 0.000
2240, 511, 15.6, 25.8, 26.6, 3.4, 4.8, 8.6, 5.0, 6.8, 24.0, 1.6, 2.0, 2.6, 13.0, 23.0, 23.8, 14.6, 24.4, 25.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50.5, 1073, 488, 35061, 587, 169, 42.8, 6.50, 0.000, 0.000
2561, 475, 16.8, 26.4, 35.0, 3.6, 5.0, 7.2, 6.6, 8.2, 9.6, 1.6, 2.2, 4.6, 14.0, 23.4, 31.4, 16.0, 25.2, 33.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1046, 490, 35122, 607, 171, 43.4, 6.68, 0.000, 0.000
2881, 503, 16.0, 26.8, 30.6, 3.8, 4.8, 9.2, 6.0, 7.6, 10.2, 1.8, 2.4, 3.4, 13.2, 23.8, 27.8, 15.2, 25.4, 29.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1094, 551, 35246, 673, 174, 42.0, 6.15, 0.000, 0.000
3201, 466, 17.2, 26.8, 30.6, 3.0, 4.2, 10.6, 4.2, 5.4, 28.8, 1.8, 2.2, 2.8, 14.6, 23.8, 28.0, 16.2, 26.0, 29.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1015, 551, 35351, 696, 177, 43.0, 6.30, 0.000, 0.000
3523, 509, 15.8, 17.4, 18.6, 3.4, 4.6, 5.8, 5.6, 6.8, 8.0, 1.6, 2.0, 2.4, 13.0, 14.6, 16.8, 14.8, 16.6, 18.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1022, 555, 35376, 706, 177, 43.4, 3.08, 0.000, 0.000
3842, 504, 15.8, 17.6, 19.4, 3.4, 4.6, 6.2, 5.6, 7.2, 7.8, 1.6, 2.2, 2.4, 13.2, 15.0, 16.8, 14.8, 16.8, 19.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1033, 561, 35416, 716, 177, 43.2, 3.15, 0.000, 0.000
4164, 483, 16.6, 18.4, 20.6, 3.6, 4.8, 8.6, 6.0, 7.8, 10.4, 1.6, 2.2, 8.4, 13.8, 15.6, 17.8, 15.6, 17.4, 19.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1100, 605, 35468, 731, 178, 39.0, 2.38, 0.000, 0.000
