Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 7.2, 8.6, 28.8, 5.6, 7.2, 25.4, 19.6, 27.0, 200.0, 2.0, 2.8, 4.8, 4.6, 6.0, 6.8, 5.8, 6.8, 8.2, 0.0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 3, 61.0, 965, 426, 37461, 832, 194, 77.0, 3.62, 0.000, 0.000
638, 600, 7.2, 9.2, 10.6, 5.8, 7.0, 10.0, 17.0, 21.0, 26.0, 2.2, 2.8, 3.8, 4.8, 6.8, 7.8, 6.0, 7.6, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16.0, 972, 399, 37130, 860, 191, 73.4, 2.95, 0.000, 0.000
957, 600, 7.4, 8.6, 21.4, 5.4, 6.4, 21.2, 17.8, 25.2, 42.0, 2.0, 2.6, 3.8, 5.0, 6.4, 10.2, 6.0, 6.8, 7.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 984, 415, 37324, 901, 193, 77.2, 6.70, 0.000, 0.000
1278, 600, 7.4, 8.8, 23.2, 5.8, 7.2, 13.0, 18.2, 23.4, 28.2, 2.2, 2.8, 5.4, 5.0, 6.4, 7.0, 6.0, 6.8, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 978, 417, 37614, 1016, 198, 83.0, 3.73, 0.000, 0.000
1599, 600, 7.8, 9.8, 24.8, 6.2, 7.6, 20.4, 15.4, 20.4, 24.4, 2.4, 3.0, 21.8, 5.0, 7.2, 22.4, 6.4, 7.8, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 986, 510, 38099, 1080, 201, 75.2, 3.58, 0.000, 0.000
1918, 600, 7.0, 8.6, 13.2, 5.8, 6.8, 12.0, 16.0, 20.4, 24.2, 2.0, 2.6, 5.8, 4.6, 6.2, 7.2, 5.8, 6.8, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 994, 519, 38308, 1134, 206, 74.4, 6.03, 0.000, 0.000
2239, 600, 7.0, 8.0, 16.4, 6.0, 7.2, 15.6, 17.4, 24.4, 30.8, 2.0, 2.6, 4.2, 4.4, 5.4, 6.0, 5.6, 5.8, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1002, 554, 38387, 1147, 206, 73.8, 2.98, 0.000, 0.000
2559, 600, 7.2, 8.6, 17.4, 6.0, 7.2, 16.4, 15.6, 20.8, 27.6, 2.2, 2.8, 4.0, 4.6, 6.2, 6.6, 5.8, 6.6, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1001, 556, 38595, 1204, 210, 76.6, 3.73, 0.000, 0.000
2878, 600, 7.2, 8.8, 18.2, 6.4, 8.2, 15.8, 18.6, 23.8, 28.4, 2.2, 3.0, 5.4, 4.0, 5.4, 6.2, 5.6, 6.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1009, 566, 38777, 1237, 210, 75.2, 3.38, 0.000, 0.000
3198, 600, 7.2, 8.4, 20.4, 6.0, 7.4, 14.0, 14.6, 20.8, 24.4, 2.2, 2.8, 4.4, 4.4, 5.6, 16.4, 6.0, 6.8, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59.0, 986, 570, 37625, 889, 196, 76.0, 3.67, 0.000, 0.000
