Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 3.0, 4.2, 4.8, 1.6, 2.2, 2.6, 5.8, 10.0, 152.6, 1.4, 1.8, 2.2, 1.4, 2.6, 3.0, 2.6, 3.2, 3.6, 0.0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 3, 93.5, 1529, 498, 71898, 2706, 316, 24.2, 2.62, 0.000, 0.000
639, 600, 3.4, 3.8, 4.6, 2.2, 2.6, 4.0, 5.8, 7.6, 10.0, 1.6, 1.8, 2.2, 1.2, 1.6, 1.8, 2.8, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1545, 503, 72005, 2722, 318, 23.8, 13.30, 0.000, 0.000
958, 600, 3.0, 3.4, 4.8, 1.8, 2.2, 4.0, 5.2, 6.6, 8.6, 1.4, 1.8, 2.0, 1.2, 1.4, 1.6, 2.6, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1546, 507, 72066, 2746, 320, 24.0, 2.83, 0.000, 0.000
1278, 600, 2.8, 3.2, 8.2, 1.4, 1.8, 6.2, 4.8, 6.4, 8.2, 1.2, 1.6, 2.4, 1.0, 1.4, 1.8, 2.2, 2.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17.0, 1584, 515, 71739, 2716, 313, 23.8, 2.35, 0.000, 0.000
1598, 600, 2.2, 2.6, 3.2, 1.6, 2.0, 2.6, 4.6, 5.8, 7.2, 1.0, 1.2, 1.4, 0.8, 1.2, 1.4, 1.8, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1562, 539, 72199, 2743, 320, 24.8, 2.50, 0.000, 0.000
1919, 600, 3.2, 4.4, 8.4, 1.8, 2.4, 3.6, 4.6, 5.8, 9.0, 1.4, 1.6, 2.0, 1.4, 2.6, 3.0, 2.8, 3.2, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1547, 539, 72549, 2771, 324, 23.8, 2.70, 0.000, 0.000
2239, 600, 3.0, 3.4, 5.2, 1.8, 2.4, 4.0, 4.4, 5.8, 8.0, 1.4, 1.6, 2.2, 1.2, 1.4, 1.8, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1547, 542, 72938, 2809, 331, 22.6, 2.75, 0.000, 0.000
2559, 600, 2.8, 3.2, 9.8, 1.8, 2.4, 4.2, 7.0, 10.0, 12.0, 1.2, 1.6, 1.8, 1.0, 1.4, 1.6, 2.4, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1550, 544, 73122, 2963, 333, 24.8, 3.17, 0.000, 0.000
2879, 600, 2.8, 3.4, 4.0, 1.8, 2.6, 3.8, 5.0, 6.4, 8.0, 1.2, 1.6, 1.8, 1.2, 1.6, 2.2, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1554, 546, 73438, 2987, 337, 23.4, 2.62, 0.000, 0.000
3198, 600, 3.2, 3.6, 4.0, 2.0, 2.6, 3.4, 5.2, 7.0, 9.2, 1.4, 1.6, 2.0, 1.2, 1.4, 1.8, 2.6, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1561, 550, 73635, 3015, 343, 24.0, 2.53, 0.000, 0.000
