Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
6310, 600, 4.2, 4.6, 6.0, 3.6, 4.2, 6.0, 6.2, 9.8, 40.2, 1.6, 2.0, 3.0, 2.6, 3.0, 4.6, 3.4, 3.8, 4.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 11.0, 1548, 573, 41453, 760, 181, 64.4, 1.75, 0.001, 0.001
6630, 600, 4.0, 4.4, 11.8, 3.2, 3.8, 9.6, 5.4, 8.0, 25.6, 1.6, 2.0, 6.2, 2.2, 2.6, 5.0, 3.2, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1573, 641, 41709, 822, 186, 65.6, 1.80, 0.000, 0.000
6951, 600, 4.0, 4.8, 26.8, 3.6, 4.4, 26.4, 4.4, 5.8, 8.2, 1.6, 2.0, 5.2, 2.0, 2.6, 3.0, 3.2, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1564, 646, 41779, 836, 188, 63.4, 1.75, 0.000, 0.000
7271, 600, 4.6, 5.6, 10.0, 3.8, 5.0, 9.0, 4.6, 6.0, 10.2, 2.0, 2.6, 6.6, 2.6, 3.0, 5.4, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1578, 669, 41990, 938, 189, 65.4, 2.00, 0.000, 0.000
7591, 600, 4.2, 5.2, 9.8, 3.6, 4.6, 9.8, 5.4, 7.2, 7.8, 1.6, 2.2, 3.8, 2.2, 2.8, 6.0, 3.4, 3.6, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1599, 692, 42327, 1019, 191, 64.4, 1.80, 0.000, 0.000
7911, 600, 4.2, 5.0, 6.6, 3.6, 4.6, 6.0, 6.2, 8.2, 9.8, 1.6, 2.0, 5.2, 2.4, 2.8, 3.0, 3.4, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1594, 820, 42447, 1038, 191, 63.8, 1.65, 0.000, 0.000
8231, 600, 4.6, 5.2, 7.6, 4.0, 4.8, 7.2, 6.4, 8.0, 9.0, 1.8, 2.4, 4.8, 2.6, 3.0, 3.6, 3.6, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1599, 824, 42573, 1088, 191, 61.8, 1.93, 0.000, 0.000
8551, 600, 4.4, 5.6, 19.2, 3.8, 5.0, 19.0, 5.4, 8.6, 9.8, 1.8, 2.2, 4.8, 2.0, 3.0, 16.6, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37.5, 1580, 801, 41526, 845, 182, 66.0, 2.00, 0.000, 0.000
8871, 600, 4.6, 5.4, 16.8, 3.8, 4.6, 24.2, 5.8, 7.8, 8.8, 1.8, 2.4, 3.2, 2.6, 3.2, 3.8, 3.6, 4.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1583, 801, 41690, 901, 184, 65.4, 1.95, 0.000, 0.000
9191, 600, 4.4, 5.2, 6.8, 3.8, 4.6, 6.2, 6.0, 7.2, 10.6, 1.8, 2.2, 5.0, 2.4, 3.0, 4.8, 3.4, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1611, 915, 41821, 934, 184, 62.8, 1.75, 0.000, 0.000
