Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 4.8, 5.8, 14.4, 4.0, 5.0, 8.8, 16.0, 20.6, 145.4, 1.6, 2.0, 3.0, 2.6, 3.4, 4.0, 2.6, 2.6, 5.0, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 134.5, 1534, 526, 37698, 802, 119, 109.2, 2.92, 0.000, 0.000
637, 600, 4.0, 5.2, 6.4, 3.6, 4.8, 6.0, 14.6, 19.0, 20.8, 1.4, 1.8, 2.6, 1.2, 1.6, 1.8, 1.8, 1.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1546, 537, 38175, 936, 126, 109.4, 3.03, 0.000, 0.000
957, 600, 4.4, 5.8, 9.0, 4.0, 5.4, 8.2, 18.0, 24.2, 42.0, 1.4, 2.0, 2.6, 1.4, 1.6, 2.8, 2.0, 2.0, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1562, 548, 39971, 1226, 132, 111.2, 2.78, 0.000, 0.000
1277, 600, 3.8, 4.8, 10.0, 3.4, 4.6, 8.6, 15.0, 19.2, 20.4, 1.4, 1.8, 3.6, 1.4, 1.8, 2.4, 2.0, 2.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1577, 566, 40525, 1418, 139, 109.4, 2.00, 0.000, 0.000
1597, 600, 4.4, 5.8, 8.6, 4.0, 5.4, 7.8, 14.8, 20.0, 24.0, 1.6, 2.2, 4.2, 1.6, 2.0, 2.8, 2.0, 2.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1597, 584, 40866, 1543, 145, 110.2, 2.20, 0.000, 0.000
1918, 600, 5.0, 6.2, 10.2, 4.6, 6.0, 9.4, 16.6, 23.6, 26.2, 1.6, 2.2, 2.8, 1.6, 1.8, 2.6, 2.0, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1594, 593, 41683, 1705, 156, 107.8, 2.03, 0.000, 0.000
2238, 600, 4.8, 6.0, 10.8, 4.2, 5.6, 8.6, 18.0, 22.2, 25.6, 1.4, 1.8, 4.2, 1.6, 2.8, 4.6, 2.0, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62.0, 1546, 557, 39233, 900, 122, 108.6, 1.98, 0.000, 0.000
2558, 600, 5.0, 6.0, 13.2, 4.4, 5.6, 12.8, 21.0, 25.6, 30.4, 1.6, 2.0, 3.6, 1.6, 2.2, 3.0, 2.0, 2.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1553, 569, 39741, 987, 130, 116.6, 5.80, 0.000, 0.000
2878, 600, 4.8, 5.8, 12.6, 4.2, 5.4, 11.8, 16.0, 22.4, 26.0, 1.4, 2.0, 3.0, 1.4, 1.6, 2.4, 2.0, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1555, 592, 40281, 1226, 136, 110.6, 1.98, 0.000, 0.000
3199, 600, 6.6, 21.6, 31.4, 6.0, 21.4, 31.0, 19.8, 28.0, 31.2, 1.6, 2.2, 2.8, 1.8, 3.0, 4.0, 2.2, 2.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1561, 598, 40738, 1458, 141, 114.4, 6.22, 0.000, 0.000
3518, 600, 4.8, 6.0, 9.4, 4.4, 5.6, 9.2, 21.2, 26.8, 29.6, 1.4, 2.0, 2.2, 1.4, 1.6, 2.0, 1.8, 2.0, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1581, 723, 41217, 1693, 143, 113.4, 2.05, 0.000, 0.000
3836, 600, 4.4, 5.6, 8.4, 3.8, 4.8, 6.2, 19.4, 25.8, 31.2, 1.2, 1.6, 2.4, 1.2, 1.6, 2.2, 2.0, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1579, 726, 41568, 1849, 150, 108.8, 1.77, 0.000, 0.000
4155, 600, 5.0, 6.4, 28.2, 4.4, 5.8, 47.8, 17.0, 20.2, 22.4, 1.6, 2.0, 2.4, 1.6, 2.0, 3.2, 2.0, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1582, 736, 42025, 1957, 158, 108.0, 2.50, 0.000, 0.000
4475, 600, 4.4, 5.6, 7.6, 4.0, 5.0, 6.0, 17.0, 25.4, 30.8, 1.4, 1.8, 8.4, 1.4, 1.6, 11.4, 1.8, 2.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1659, 768, 42274, 2065, 160, 109.0, 1.90, 0.000, 0.000
4796, 600, 4.6, 5.8, 25.4, 4.2, 5.2, 25.0, 14.8, 20.2, 29.6, 1.4, 1.8, 2.6, 1.6, 3.0, 4.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67.0, 1548, 728, 39304, 902, 124, 108.0, 1.98, 0.000, 0.000
5116, 600, 4.6, 5.8, 13.6, 4.2, 5.2, 12.8, 17.0, 23.6, 26.2, 1.4, 2.0, 2.8, 1.6, 3.0, 4.6, 2.0, 2.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1542, 730, 39816, 983, 126, 111.4, 4.43, 0.000, 0.000
