Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
32239, 600, 3.4, 4.6, 14.8, 2.0, 3.2, 5.0, 8.4, 13.2, 200.0, 1.4, 4.0, 16.0, 1.2, 1.4, 2.2, 2.0, 2.2, 3.0, 0.0, 4, 0, 3, 0, 0, 0, 5, 0, 2, 0, 6, 2, 38.5, 1139, 358, 34234, 527, 170, 113.4, 1.45, 0.000, 0.000
32559, 600, 3.6, 5.4, 11.6, 2.2, 3.4, 8.0, 7.0, 9.2, 12.4, 1.6, 5.8, 12.0, 1.2, 1.4, 6.0, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1361, 487, 34275, 528, 170, 113.0, 1.35, 0.000, 0.000
32879, 600, 3.6, 4.6, 11.2, 2.2, 3.0, 5.6, 6.0, 7.6, 10.4, 1.6, 4.4, 9.8, 1.2, 1.4, 3.0, 2.0, 2.2, 2.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5.0, 1215, 490, 34216, 519, 167, 113.6, 1.27, 0.000, 0.000
33199, 600, 3.6, 4.8, 39.8, 2.2, 3.0, 4.8, 7.4, 9.8, 11.8, 1.6, 4.4, 40.6, 1.2, 1.4, 4.2, 2.0, 2.2, 2.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1219, 490, 34230, 521, 167, 112.0, 1.83, 0.000, 0.000
33519, 600, 3.6, 4.8, 16.6, 2.2, 3.4, 8.6, 6.0, 7.6, 21.8, 1.6, 5.4, 16.6, 1.2, 1.4, 2.4, 2.0, 2.2, 2.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1219, 498, 34255, 527, 167, 113.6, 1.80, 0.000, 0.000
33840, 600, 3.2, 4.6, 8.4, 1.8, 2.6, 5.4, 6.0, 8.6, 10.6, 1.4, 4.8, 10.2, 1.2, 1.4, 5.2, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1173, 501, 34275, 531, 167, 113.0, 1.33, 0.000, 0.000
34160, 600, 3.6, 5.0, 80.4, 2.2, 3.0, 80.0, 7.6, 14.0, 85.2, 1.6, 4.6, 11.4, 1.2, 1.4, 30.4, 2.0, 2.2, 2.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1180, 502, 34293, 535, 167, 113.4, 2.23, 0.000, 0.000
34480, 600, 3.2, 4.6, 11.2, 2.2, 3.4, 7.0, 7.6, 12.6, 15.4, 1.4, 4.2, 11.8, 1.0, 1.4, 2.4, 1.8, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1188, 503, 34314, 537, 167, 112.2, 1.58, 0.000, 0.000
34800, 600, 3.6, 4.6, 11.6, 2.2, 3.0, 5.2, 5.4, 9.0, 15.0, 1.6, 4.6, 12.0, 1.2, 1.4, 3.2, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1230, 505, 34328, 537, 167, 112.6, 1.52, 0.000, 0.000
35120, 600, 3.6, 4.6, 29.4, 2.2, 3.2, 6.8, 5.0, 6.0, 8.4, 1.6, 4.8, 30.2, 1.2, 1.4, 5.0, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1176, 505, 34328, 537, 167, 113.6, 1.93, 0.000, 0.000
