Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 5.6, 6.6, 15.8, 3.6, 4.6, 6.4, 10.6, 15.6, 142.2, 1.8, 2.2, 8.0, 2.8, 3.4, 5.8, 4.8, 5.2, 5.4, 0.0, 5, 0, 0, 2, 0, 0, 3, 0, 1, 4, 5, 3, 128.0, 2037, 466, 37587, 801, 119, 44.6, 2.00, 0.000, 0.000
638, 600, 4.6, 5.4, 13.2, 3.6, 4.6, 9.6, 8.8, 12.8, 16.8, 1.2, 2.0, 6.4, 1.2, 1.4, 2.4, 3.4, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2057, 653, 38050, 935, 126, 43.6, 1.80, 0.000, 0.000
957, 600, 4.6, 6.0, 13.8, 3.8, 5.0, 7.6, 10.4, 16.8, 23.8, 1.4, 2.2, 4.8, 1.2, 1.6, 3.0, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2049, 664, 39716, 1219, 133, 43.6, 2.03, 0.000, 0.000
1278, 600, 4.8, 5.6, 10.0, 3.8, 4.6, 8.6, 8.8, 14.0, 23.6, 1.4, 1.8, 7.0, 1.2, 1.6, 4.0, 3.6, 4.2, 4.4, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2078, 695, 40231, 1403, 139, 43.4, 1.73, 0.000, 0.000
1598, 600, 4.8, 6.0, 14.4, 3.8, 4.6, 7.6, 8.4, 12.6, 16.4, 1.4, 1.8, 4.6, 1.4, 1.8, 8.0, 3.6, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2090, 706, 40504, 1518, 144, 43.8, 2.03, 0.000, 0.000
1918, 600, 4.8, 5.8, 13.4, 4.0, 5.2, 8.2, 9.8, 16.6, 20.4, 1.6, 3.4, 6.0, 1.2, 1.6, 3.2, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2098, 750, 41027, 1678, 154, 43.2, 1.93, 0.000, 0.000
2238, 600, 4.8, 6.0, 13.4, 4.0, 5.2, 7.0, 10.8, 16.6, 22.2, 1.4, 2.2, 6.2, 1.4, 2.6, 5.2, 3.8, 4.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47.0, 2034, 704, 38611, 943, 124, 42.8, 1.83, 0.000, 0.000
2558, 600, 5.2, 6.4, 11.2, 4.2, 5.2, 10.0, 12.4, 18.8, 43.6, 1.6, 3.2, 6.4, 1.6, 2.6, 6.0, 4.0, 4.8, 5.4, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2045, 717, 39067, 1031, 131, 43.6, 1.85, 0.000, 0.000
2879, 600, 4.6, 5.6, 14.6, 3.8, 5.0, 11.0, 9.2, 14.6, 22.0, 1.4, 2.8, 6.2, 1.2, 1.6, 3.4, 3.6, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2062, 727, 39663, 1273, 138, 44.8, 1.83, 0.000, 0.000
3199, 600, 5.4, 7.0, 12.6, 4.4, 5.6, 7.4, 12.0, 19.2, 79.0, 1.8, 3.4, 7.2, 1.6, 3.0, 4.0, 4.0, 5.2, 5.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2078, 734, 40090, 1508, 142, 44.0, 2.08, 0.000, 0.000
