Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
528, 600, 17.2, 20.6, 52.4, 9.0, 19.4, 51.2, 22.4, 31.4, 172.6, 2.4, 3.8, 6.0, 3.0, 5.4, 9.4, 4.0, 5.6, 7.4, 0.0, 27, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 217.5, 1236, 448, 37880, 1007, 201, 116.0, 4.72, 0.000, 0.000
848, 478, 16.8, 16.8, 36.0, 8.8, 12.4, 34.8, 14.6, 18.8, 32.6, 3.4, 5.2, 9.6, 3.8, 6.4, 15.4, 4.4, 5.8, 6.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1243, 469, 38763, 1220, 206, 97.2, 3.23, 0.000, 0.000
1169, 471, 17.0, 17.8, 38.0, 10.4, 16.8, 26.6, 18.6, 23.0, 35.0, 3.8, 5.6, 36.8, 4.2, 7.2, 11.0, 4.4, 6.0, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1261, 484, 39102, 1383, 210, 96.4, 3.42, 0.000, 0.000
1488, 478, 16.8, 16.8, 25.4, 9.6, 13.8, 20.0, 17.4, 21.4, 33.2, 3.2, 5.0, 7.0, 3.2, 5.6, 8.6, 4.0, 5.0, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98.0, 1199, 459, 38027, 982, 191, 96.8, 3.85, 0.000, 0.000
1809, 469, 17.0, 18.8, 41.0, 10.2, 16.6, 34.6, 19.0, 23.2, 44.0, 4.2, 7.4, 47.8, 4.2, 7.0, 13.0, 4.6, 6.0, 7.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1192, 466, 38629, 1083, 193, 95.6, 2.60, 0.000, 0.000
2129, 475, 16.8, 17.2, 28.0, 10.8, 15.2, 23.2, 16.0, 20.4, 24.4, 3.6, 5.6, 11.8, 3.6, 5.8, 11.2, 4.2, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1194, 471, 39283, 1210, 198, 96.2, 2.08, 0.000, 0.000
2450, 476, 16.8, 17.6, 24.0, 9.8, 16.4, 22.0, 17.6, 22.4, 25.2, 3.6, 5.4, 12.6, 3.6, 7.2, 11.6, 4.2, 5.6, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1196, 474, 39969, 1391, 203, 97.0, 4.38, 0.000, 0.000
2770, 470, 17.0, 17.8, 103.8, 9.8, 15.2, 21.2, 17.0, 22.4, 44.0, 3.6, 5.2, 20.0, 3.2, 4.6, 11.4, 4.6, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1287, 524, 40301, 1508, 207, 99.2, 3.98, 0.000, 0.000
3091, 463, 17.2, 21.6, 36.4, 12.0, 21.0, 27.0, 20.8, 24.6, 28.4, 3.6, 5.8, 8.4, 3.0, 4.8, 10.0, 4.0, 5.0, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1234, 570, 40602, 1647, 208, 93.0, 3.00, 0.000, 0.000
3411, 472, 17.0, 16.8, 119.6, 9.0, 11.8, 113.6, 13.0, 18.2, 30.6, 3.2, 4.8, 98.0, 2.6, 3.6, 97.4, 4.0, 5.0, 6.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1240, 589, 41735, 1746, 217, 96.2, 1.85, 0.000, 0.000
