Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1435, 600, 38.0, 58.2, 200.0, 26.0, 57.6, 200.0, 23.8, 56.6, 200.0, 4.0, 5.4, 150.2, 3.4, 4.6, 21.0, 10.6, 17.6, 19.2, 0.0, 348, 0, 4, 3, 1, 0, 39, 0, 4, 3, 21, 12, 843.5, 2744, 379, 39726, 811, 110, 130.6, 18.18, 0.000, 0.000
1757, 184, 43.6, 70.4, 82.6, 42.8, 68.4, 82.2, 43.6, 68.0, 83.6, 3.8, 4.8, 9.0, 3.8, 5.0, 11.0, 7.8, 9.2, 10.8, 0.0, 147, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 6011, 384, 39921, 902, 114, 231.4, 19.80, 0.000, 0.000
2079, 149, 53.8, 97.0, 122.4, 52.2, 92.8, 110.6, 54.0, 94.2, 110.4, 4.4, 5.6, 11.2, 4.4, 7.2, 28.4, 7.8, 9.2, 9.8, 0.0, 106, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 4105, 427, 40318, 1103, 116, 252.6, 22.43, 0.000, 0.000
2399, 291, 27.6, 37.8, 81.0, 26.4, 35.6, 74.2, 28.4, 36.0, 60.2, 4.0, 6.6, 13.0, 4.0, 6.2, 13.4, 8.4, 9.8, 10.8, 0.0, 25, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1993, 434, 40952, 1184, 121, 229.4, 14.62, 0.000, 0.000
2719, 167, 48.2, 69.2, 200.0, 44.8, 66.2, 79.8, 46.8, 68.0, 90.8, 4.2, 5.4, 9.4, 4.2, 5.8, 22.4, 8.6, 10.2, 11.4, 0.0, 125, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 599.5, 3079, 406, 39321, 676, 110, 220.4, 19.52, 0.000, 0.000
3041, 303, 26.4, 47.8, 144.4, 20.2, 47.0, 73.0, 27.2, 58.4, 72.6, 3.0, 4.4, 6.2, 4.2, 11.0, 22.6, 6.6, 10.0, 11.2, 0.0, 67, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2611, 406, 39378, 683, 110, 224.8, 10.53, 0.000, 0.000
3361, 447, 18.0, 28.4, 43.0, 11.4, 28.0, 42.6, 21.6, 29.8, 49.4, 2.6, 3.4, 7.4, 2.6, 3.8, 7.6, 5.0, 5.4, 5.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2361, 407, 40231, 832, 114, 213.2, 4.83, 0.000, 0.000
3680, 479, 16.8, 17.0, 50.6, 8.8, 13.4, 18.8, 17.4, 23.6, 28.4, 2.6, 3.2, 4.4, 2.4, 3.0, 4.6, 4.8, 5.2, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2383, 412, 40454, 909, 119, 211.2, 2.15, 0.000, 0.000
4002, 473, 17.0, 17.4, 39.8, 9.0, 13.8, 39.4, 19.0, 23.2, 32.0, 2.4, 3.6, 6.4, 2.6, 3.8, 6.2, 4.6, 5.2, 5.4, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2369, 419, 40835, 999, 122, 211.2, 2.08, 0.000, 0.000
4322, 361, 22.2, 37.6, 50.6, 17.4, 36.8, 41.8, 24.4, 38.0, 41.8, 2.6, 3.2, 4.8, 2.4, 3.0, 3.8, 4.6, 5.0, 5.2, 0.0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2428, 419, 41204, 1176, 123, 216.2, 9.35, 0.000, 0.000
4643, 476, 16.8, 17.2, 50.6, 8.6, 12.4, 29.4, 17.4, 22.0, 31.2, 2.6, 3.6, 4.8, 2.4, 2.8, 5.0, 4.8, 5.2, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2767, 428, 41419, 1259, 127, 211.0, 3.23, 0.000, 0.000
4963, 479, 16.8, 17.0, 50.4, 9.4, 14.4, 24.6, 19.4, 23.8, 25.4, 2.6, 3.2, 5.2, 2.4, 3.0, 4.0, 5.0, 5.6, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 300.0, 2660, 406, 39733, 700, 110, 211.4, 2.23, 0.000, 0.000
5282, 479, 16.8, 17.0, 50.8, 7.8, 12.6, 25.8, 17.8, 23.0, 26.0, 2.4, 3.2, 6.0, 2.4, 3.4, 5.6, 5.0, 5.4, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2619, 409, 40050, 806, 117, 211.8, 3.60, 0.000, 0.000
5604, 478, 16.8, 17.2, 50.4, 9.0, 13.8, 20.4, 20.0, 24.0, 26.6, 2.4, 3.2, 6.4, 3.0, 4.0, 6.4, 5.2, 5.6, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3166, 409, 40153, 824, 118, 210.2, 1.77, 0.000, 0.000
5922, 432, 18.6, 31.8, 39.8, 12.2, 30.8, 39.4, 23.2, 33.2, 39.8, 2.4, 3.4, 6.2, 3.0, 4.0, 7.0, 5.0, 5.4, 5.6, 0.0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2128, 413, 40318, 891, 118, 210.6, 4.18, 0.000, 0.000
6243, 475, 16.8, 17.4, 50.2, 9.6, 16.2, 26.6, 20.6, 25.4, 28.6, 2.8, 3.4, 5.6, 2.4, 3.0, 4.8, 5.6, 9.2, 10.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2172, 417, 40433, 913, 120, 211.6, 2.53, 0.000, 0.000
6564, 479, 16.8, 17.2, 30.2, 9.4, 14.4, 26.4, 20.8, 24.2, 25.4, 2.6, 3.2, 5.0, 2.6, 3.2, 4.8, 5.0, 5.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2004, 425, 40571, 956, 121, 209.8, 1.90, 0.000, 0.000
6885, 478, 16.8, 18.2, 35.2, 6.0, 7.2, 16.4, 11.4, 13.4, 19.6, 1.6, 1.8, 3.4, 2.4, 3.2, 5.4, 5.8, 6.6, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2012, 428, 40726, 985, 126, 206.2, 3.15, 0.000, 0.000
