Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
571, 600, 2.4, 2.8, 3.4, 2.0, 2.4, 3.2, 15.4, 25.4, 130.2, 0.8, 1.0, 1.4, 1.2, 1.4, 1.8, 2.0, 2.0, 2.4, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 23.0, 2600, 619, 74320, 3037, 340, 175.6, 3.88, 0.000, 0.000
890, 600, 2.8, 3.0, 5.4, 2.4, 2.8, 5.6, 17.8, 20.2, 21.8, 1.0, 1.2, 1.6, 1.2, 1.6, 2.0, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2610, 629, 75062, 3166, 350, 184.8, 2.40, 0.000, 0.000
1210, 600, 3.0, 3.6, 8.0, 2.2, 2.6, 6.4, 16.6, 21.0, 25.8, 1.0, 1.2, 1.6, 1.6, 2.2, 2.6, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13.5, 2589, 618, 74504, 3047, 333, 180.0, 3.42, 0.000, 0.000
1531, 600, 3.2, 3.6, 5.4, 2.2, 3.0, 4.2, 18.8, 23.0, 27.8, 1.0, 1.2, 1.8, 1.6, 2.2, 2.6, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2569, 646, 74737, 3174, 335, 171.4, 3.15, 0.000, 0.000
1851, 600, 3.0, 3.4, 9.8, 2.2, 3.0, 5.0, 16.8, 19.8, 23.0, 1.0, 1.4, 1.8, 1.4, 1.6, 2.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2586, 664, 75385, 3271, 342, 168.6, 3.15, 0.000, 0.000
2170, 600, 3.0, 3.4, 5.8, 2.4, 3.0, 4.0, 18.4, 22.6, 27.6, 1.2, 1.4, 1.8, 1.6, 1.8, 4.6, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2610, 674, 75954, 3384, 350, 171.0, 3.53, 0.000, 0.000
2490, 600, 3.2, 3.6, 5.8, 2.6, 3.2, 5.4, 17.4, 20.0, 25.4, 1.4, 1.6, 2.0, 1.2, 1.6, 2.0, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2614, 690, 76402, 3498, 366, 189.8, 2.90, 0.000, 0.000
2812, 600, 3.2, 3.6, 5.4, 2.4, 3.0, 4.6, 19.4, 22.8, 26.2, 1.4, 1.6, 2.2, 1.4, 1.6, 2.0, 2.6, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2619, 690, 76904, 3642, 373, 183.8, 3.00, 0.000, 0.000
3132, 600, 3.4, 3.6, 4.8, 2.4, 3.0, 4.4, 16.2, 20.6, 23.8, 1.2, 1.4, 1.8, 1.8, 2.0, 3.0, 2.8, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2643, 710, 78136, 3806, 389, 186.0, 2.35, 0.000, 0.000
3452, 600, 3.4, 3.8, 9.2, 2.8, 3.6, 8.8, 20.2, 24.0, 27.6, 1.4, 1.6, 2.0, 1.8, 2.0, 2.2, 2.8, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2660, 715, 78669, 3926, 399, 185.6, 2.73, 0.000, 0.000
3771, 600, 3.0, 3.4, 9.4, 2.6, 3.0, 9.0, 15.8, 18.8, 21.2, 1.4, 1.8, 2.2, 1.2, 1.6, 2.0, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.0, 2609, 672, 76287, 3194, 343, 187.4, 2.80, 0.000, 0.000
4092, 600, 3.2, 3.6, 5.0, 2.6, 3.2, 4.4, 18.6, 21.4, 25.6, 1.4, 1.8, 2.2, 1.4, 1.8, 2.2, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2618, 683, 76641, 3335, 352, 174.0, 3.40, 0.000, 0.000
4411, 600, 3.4, 3.8, 9.8, 2.6, 3.4, 5.4, 18.6, 21.8, 23.2, 1.2, 1.6, 2.2, 1.6, 1.8, 2.2, 2.6, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2639, 689, 77021, 3494, 361, 183.6, 2.78, 0.000, 0.000
