Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
3195, 600, 4.4, 5.4, 9.4, 3.8, 4.8, 8.4, 6.6, 8.6, 163.2, 1.8, 2.6, 3.2, 2.0, 3.0, 3.6, 4.0, 4.4, 4.8, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 38.0, 1993, 495, 77351, 3085, 329, 30.6, 1.48, 0.000, 0.000
3515, 600, 4.0, 5.2, 9.0, 3.6, 4.6, 8.6, 6.8, 8.4, 10.8, 1.2, 1.6, 2.6, 1.2, 1.4, 1.8, 2.4, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1999, 505, 77631, 3149, 337, 30.4, 1.55, 0.000, 0.000
3835, 600, 4.6, 6.2, 10.8, 4.2, 5.4, 7.4, 8.4, 9.8, 12.0, 1.6, 2.0, 3.2, 1.8, 2.8, 3.4, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2012, 514, 78110, 3271, 342, 32.6, 1.83, 0.000, 0.000
4155, 600, 5.2, 6.4, 12.0, 4.8, 6.0, 10.2, 7.4, 9.4, 11.8, 2.2, 3.2, 4.8, 1.8, 2.2, 3.4, 3.8, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2018, 521, 78382, 3331, 352, 32.6, 2.03, 0.000, 0.000
4475, 600, 4.4, 5.6, 7.0, 4.2, 5.2, 6.6, 7.6, 8.6, 9.2, 1.6, 2.2, 3.2, 1.4, 1.8, 2.4, 3.2, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2030, 521, 78556, 3371, 354, 31.0, 1.58, 0.000, 0.000
4795, 600, 4.0, 5.0, 9.6, 3.6, 4.6, 6.2, 7.0, 8.6, 10.6, 1.4, 1.8, 3.0, 1.2, 1.6, 2.2, 2.8, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 521, 78760, 3446, 358, 31.8, 1.70, 0.000, 0.000
5115, 600, 4.6, 5.6, 7.2, 4.0, 5.2, 6.6, 7.8, 9.8, 11.4, 1.8, 2.4, 3.6, 1.6, 2.6, 5.2, 3.2, 4.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2042, 525, 78919, 3488, 364, 33.6, 1.75, 0.000, 0.000
5435, 600, 4.8, 6.2, 16.8, 4.2, 5.8, 16.6, 6.6, 9.0, 10.2, 1.6, 2.6, 4.0, 1.4, 1.8, 2.4, 3.0, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50.5, 2003, 515, 77532, 3070, 335, 30.8, 1.90, 0.000, 0.000
5756, 600, 4.6, 5.8, 11.2, 4.2, 5.4, 10.6, 7.0, 8.4, 11.2, 1.6, 2.2, 8.2, 1.4, 1.8, 4.8, 3.4, 4.0, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2008, 540, 77765, 3123, 342, 32.8, 1.52, 0.000, 0.000
6076, 600, 4.8, 5.8, 8.8, 4.2, 5.2, 7.0, 7.2, 8.6, 9.8, 1.8, 2.8, 3.8, 1.8, 3.0, 5.4, 3.4, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2021, 550, 78067, 3191, 349, 33.0, 1.75, 0.000, 0.000
6396, 600, 3.8, 4.6, 9.0, 3.4, 4.2, 5.4, 7.0, 8.4, 9.8, 1.2, 1.6, 2.8, 1.4, 2.4, 3.0, 2.4, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2021, 555, 78258, 3253, 352, 30.4, 1.55, 0.000, 0.000
