Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
585, 600, 26.0, 31.0, 200.0, 4.8, 5.4, 200.0, 6.0, 7.6, 200.0, 2.2, 2.6, 18.2, 20.6, 22.2, 200.0, 24.4, 26.6, 200.0, 0.0, 2, 0, 0, 161, 1, 0, 1, 0, 0, 0, 4, 3, 66.5, 1441, 368, 34857, 492, 96, 112.0, 11.05, 0.000, 0.000
905, 333, 24.0, 25.2, 26.2, 3.8, 4.8, 6.0, 6.2, 7.6, 8.4, 2.0, 2.4, 3.4, 19.8, 20.8, 22.4, 23.2, 24.2, 25.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1446, 375, 34898, 502, 96, 118.8, 9.95, 0.000, 0.000
1225, 334, 24.0, 25.0, 27.2, 3.8, 4.8, 7.0, 6.6, 8.0, 9.2, 2.0, 2.4, 3.6, 19.6, 20.6, 22.4, 23.0, 24.0, 26.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1443, 382, 34938, 510, 96, 117.8, 10.30, 0.000, 0.000
1547, 318, 25.2, 27.6, 77.6, 4.6, 6.2, 8.0, 7.6, 11.4, 13.2, 2.4, 3.0, 3.4, 20.2, 22.6, 27.6, 24.2, 26.6, 29.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0.0, 1457, 405, 35098, 607, 96, 119.0, 11.43, 0.000, 0.000
1867, 314, 25.6, 28.0, 81.2, 4.2, 5.8, 10.6, 6.6, 8.0, 28.6, 2.0, 2.6, 3.6, 21.0, 23.2, 24.8, 24.6, 27.0, 28.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0.0, 1452, 407, 35288, 628, 98, 122.2, 11.12, 0.000, 0.000
2188, 331, 24.2, 26.8, 59.6, 3.4, 4.4, 23.8, 4.2, 5.8, 7.8, 1.8, 2.2, 10.6, 20.4, 22.2, 55.6, 23.4, 26.0, 58.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1445, 435, 35602, 637, 100, 119.8, 10.43, 0.000, 0.000
2508, 344, 23.4, 24.0, 24.6, 3.0, 4.0, 6.0, 3.8, 4.8, 5.4, 1.6, 1.8, 2.4, 19.6, 20.6, 21.0, 22.6, 23.2, 23.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1438, 435, 35604, 639, 100, 115.0, 9.18, 0.000, 0.000
2830, 342, 23.4, 24.2, 24.8, 2.8, 3.8, 6.0, 5.0, 7.4, 9.6, 1.6, 1.8, 2.4, 19.8, 20.8, 21.4, 22.6, 23.4, 23.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1438, 435, 35607, 642, 100, 115.2, 9.28, 0.000, 0.000
3150, 339, 23.6, 24.2, 24.8, 3.0, 4.2, 5.4, 6.0, 8.0, 13.6, 1.6, 2.0, 3.2, 19.8, 20.6, 21.2, 22.8, 23.4, 24.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71.5, 1414, 402, 34475, 442, 93, 118.6, 9.82, 0.000, 0.000
3471, 349, 23.0, 23.4, 24.0, 3.2, 4.4, 8.6, 8.0, 11.0, 25.8, 1.8, 2.2, 3.8, 19.0, 19.6, 20.4, 22.2, 22.6, 23.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1356, 402, 34522, 446, 93, 126.8, 10.57, 0.000, 0.000
