Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
601, 600, 20.6, 51.2, 200.0, 16.4, 47.6, 200.0, 26.0, 50.2, 200.0, 8.2, 30.8, 62.4, 2.8, 4.2, 27.8, 4.2, 4.8, 8.0, 0.0, 105, 0, 12, 2, 0, 0, 8, 0, 1, 0, 0, 3, 105.5, 2089, 521, 75348, 3036, 337, 30.6, 11.40, 0.000, 0.000
921, 387, 20.6, 37.6, 67.0, 15.2, 31.0, 65.6, 22.8, 40.4, 66.4, 12.4, 32.4, 63.2, 3.4, 4.8, 25.4, 4.4, 5.0, 5.8, 0.0, 17, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2310, 551, 76185, 3160, 344, 54.0, 13.18, 0.000, 0.000
1242, 426, 18.8, 34.8, 68.4, 12.6, 24.6, 64.0, 20.6, 37.0, 65.6, 11.2, 28.0, 68.8, 3.4, 5.2, 29.2, 4.6, 5.4, 6.4, 0.0, 11, 0, 4, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0.0, 2373, 555, 76573, 3251, 349, 86.4, 11.05, 0.000, 0.000
1558, 415, 19.2, 31.8, 67.0, 12.8, 19.8, 64.4, 20.0, 28.0, 64.8, 13.6, 27.6, 53.0, 3.4, 4.8, 27.4, 4.6, 5.2, 5.4, 0.0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2323, 558, 76804, 3388, 351, 43.2, 10.20, 0.000, 0.000
1883, 369, 21.6, 36.6, 77.6, 14.4, 29.0, 68.8, 20.2, 34.6, 66.2, 15.4, 30.4, 60.6, 3.6, 5.2, 43.6, 4.6, 5.4, 6.2, 0.0, 13, 0, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2511, 574, 77422, 3491, 358, 74.4, 12.55, 0.000, 0.000
2203, 339, 23.6, 39.8, 100.4, 15.0, 31.8, 96.6, 21.6, 38.8, 75.2, 17.0, 32.0, 59.0, 4.0, 5.4, 26.2, 4.8, 5.2, 5.6, 0.0, 13, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 1, 195.5, 2224, 548, 77016, 3097, 337, 94.6, 13.20, 0.000, 0.000
2523, 373, 21.4, 33.8, 61.6, 13.0, 21.6, 60.0, 18.4, 23.8, 60.2, 16.2, 28.8, 43.8, 4.0, 5.4, 21.0, 4.0, 5.0, 5.6, 0.0, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2251, 566, 77694, 3227, 353, 69.8, 11.07, 0.000, 0.000
2844, 339, 23.6, 36.8, 62.6, 14.6, 23.0, 59.0, 20.4, 28.0, 61.6, 16.8, 33.2, 47.4, 3.8, 5.2, 20.2, 4.8, 5.4, 5.6, 0.0, 2, 0, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2161, 574, 78033, 3380, 358, 65.0, 12.32, 0.000, 0.000
3166, 412, 19.4, 31.0, 54.8, 12.2, 18.4, 53.2, 16.4, 22.4, 59.6, 13.6, 28.2, 38.4, 3.2, 4.4, 13.6, 4.2, 4.8, 4.8, 0.0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2517, 598, 79136, 3488, 371, 31.6, 8.98, 0.000, 0.000
3486, 309, 26.0, 42.4, 69.4, 16.4, 29.4, 68.4, 22.0, 35.4, 76.8, 19.0, 35.2, 71.2, 4.2, 5.2, 27.4, 4.8, 5.6, 6.0, 0.0, 12, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2220, 602, 79736, 3635, 381, 75.6, 13.65, 0.000, 0.000
3806, 377, 21.2, 35.0, 58.4, 13.0, 20.0, 46.6, 17.4, 27.2, 51.0, 14.8, 29.6, 55.0, 3.4, 5.0, 21.6, 4.4, 5.4, 5.4, 0.0, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2194, 606, 80155, 3729, 390, 64.8, 10.28, 0.000, 0.000
4126, 324, 24.8, 37.4, 73.0, 14.8, 22.2, 54.0, 19.6, 25.2, 33.6, 17.4, 33.0, 49.0, 4.0, 5.6, 28.4, 5.0, 5.4, 5.6, 0.0, 1, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2896, 615, 80424, 3847, 395, 31.6, 11.95, 0.000, 0.000
4447, 370, 21.6, 34.2, 48.4, 13.0, 20.4, 38.0, 18.6, 22.8, 28.4, 15.8, 30.4, 49.8, 3.6, 4.8, 37.8, 4.6, 5.0, 5.4, 0.0, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2957, 627, 80814, 4007, 405, 34.6, 9.85, 0.000, 0.000
4767, 351, 22.8, 36.2, 66.4, 14.8, 27.0, 62.0, 19.2, 28.0, 62.8, 15.4, 31.6, 48.4, 3.6, 4.8, 23.4, 4.8, 5.2, 6.0, 0.0, 7, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 1, 446.5, 2845, 568, 78059, 3227, 345, 73.2, 11.98, 0.000, 0.000
5087, 366, 21.8, 36.0, 62.8, 12.8, 18.6, 48.0, 17.8, 23.4, 57.8, 15.0, 29.0, 62.4, 3.2, 4.6, 15.2, 4.8, 5.4, 5.6, 0.0, 3, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2235, 568, 78340, 3370, 353, 47.2, 10.70, 0.000, 0.000
5408, 420, 19.0, 29.0, 69.8, 12.6, 18.6, 65.8, 17.2, 22.0, 63.4, 13.2, 27.4, 51.2, 3.2, 4.6, 23.6, 3.8, 4.6, 5.2, 0.0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2363, 572, 78985, 3435, 360, 51.8, 9.45, 0.000, 0.000
5729, 320, 25.2, 43.8, 62.2, 16.4, 32.6, 53.6, 22.0, 39.4, 54.4, 17.2, 35.8, 67.8, 3.4, 4.8, 23.8, 4.6, 6.0, 6.2, 0.0, 14, 0, 15, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2549, 572, 80831, 3618, 365, 35.0, 11.95, 0.000, 0.000
6049, 325, 24.6, 38.4, 65.4, 17.0, 32.8, 39.8, 23.8, 37.8, 49.8, 15.4, 35.0, 48.0, 3.2, 4.6, 20.0, 4.8, 6.6, 7.6, 0.0, 12, 0, 12, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2340, 572, 81017, 3698, 370, 56.2, 12.10, 0.000, 0.000
6371, 405, 19.8, 30.6, 43.6, 12.6, 19.2, 28.8, 15.8, 19.8, 25.0, 14.4, 28.2, 44.8, 3.6, 5.0, 19.2, 4.4, 5.4, 5.4, 0.0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2291, 578, 81372, 3890, 379, 31.8, 9.23, 0.000, 0.000
6692, 376, 21.4, 32.4, 61.0, 13.0, 22.8, 47.8, 16.6, 23.8, 49.2, 14.8, 29.2, 62.8, 3.4, 4.6, 19.6, 4.8, 5.4, 5.6, 0.0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2508, 582, 81650, 4007, 393, 55.6, 11.18, 0.000, 0.000
7012, 353, 22.6, 34.6, 138.4, 14.2, 23.0, 131.6, 18.2, 26.2, 45.6, 15.8, 29.4, 41.2, 3.4, 4.8, 16.2, 4.6, 5.2, 5.2, 0.0, 4, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 1, 417.5, 2502, 566, 79939, 3235, 337, 34.0, 11.30, 0.000, 0.000
7332, 443, 18.0, 27.0, 51.4, 12.2, 16.8, 51.0, 15.2, 20.0, 29.4, 12.0, 26.2, 35.4, 3.2, 4.6, 21.4, 3.8, 4.8, 5.2, 0.0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2245, 567, 80521, 3333, 347, 35.2, 8.53, 0.000, 0.000
7652, 451, 17.8, 28.6, 54.0, 12.2, 17.2, 53.2, 15.8, 21.0, 58.4, 12.8, 26.2, 47.8, 3.2, 4.4, 24.4, 3.4, 3.6, 3.8, 0.0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2211, 584, 80909, 3414, 357, 44.2, 9.15, 0.000, 0.000
7973, 393, 20.4, 32.6, 60.2, 12.6, 19.2, 49.2, 15.0, 22.6, 54.4, 14.8, 29.8, 60.8, 3.6, 4.6, 33.4, 4.2, 5.0, 5.2, 0.0, 2, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 2212, 584, 81043, 3487, 363, 58.0, 9.70, 0.000, 0.000
8294, 382, 21.0, 32.4, 64.8, 13.0, 19.2, 55.8, 15.2, 20.0, 59.8, 15.2, 28.6, 41.2, 3.6, 5.0, 20.6, 4.8, 5.4, 6.6, 0.0, 3, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2237, 616, 81313, 3573, 371, 47.2, 10.48, 0.000, 0.000
