Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
10534, 600, 11.6, 22.8, 74.0, 10.6, 22.0, 71.4, 7.6, 24.2, 199.0, 4.0, 7.4, 18.0, 3.8, 8.4, 16.8, 5.2, 9.2, 10.6, 0.0, 19, 0, 21, 5, 1, 0, 10, 0, 6, 3, 13, 12, 828.5, 1735, 445, 74542, 2921, 315, 165.4, 5.70, 0.000, 0.000
10854, 479, 16.8, 25.8, 34.8, 14.4, 24.8, 33.6, 22.8, 28.4, 36.8, 5.8, 8.6, 11.8, 6.8, 10.4, 13.8, 7.4, 8.8, 9.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1733, 479, 74947, 3031, 322, 171.4, 7.28, 0.000, 0.000
11174, 428, 18.8, 26.6, 33.4, 18.2, 26.4, 33.0, 25.0, 30.2, 36.2, 4.6, 7.0, 8.8, 3.6, 6.8, 10.2, 6.8, 8.6, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1741, 496, 75042, 3059, 325, 169.4, 9.35, 0.000, 0.000
11495, 495, 16.2, 25.4, 34.0, 15.4, 25.0, 31.0, 25.0, 29.6, 32.8, 4.4, 6.2, 9.8, 3.0, 4.0, 5.2, 6.8, 8.0, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1730, 497, 75284, 3115, 332, 172.6, 8.68, 0.000, 0.000
11815, 335, 24.0, 32.8, 40.6, 23.2, 31.6, 36.8, 26.4, 32.6, 37.6, 5.4, 7.2, 8.8, 3.6, 4.8, 6.2, 7.8, 8.8, 9.2, 0.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1736, 497, 75844, 3289, 336, 175.4, 11.23, 0.000, 0.000
12137, 472, 17.0, 25.0, 35.2, 15.8, 24.0, 27.2, 24.8, 30.6, 36.2, 5.4, 7.6, 11.6, 3.6, 5.0, 7.4, 7.2, 8.2, 9.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1745, 507, 76050, 3369, 343, 174.4, 7.28, 0.000, 0.000
12456, 389, 20.6, 33.0, 38.0, 19.8, 31.8, 37.6, 26.2, 34.4, 37.4, 5.0, 7.0, 10.0, 3.4, 4.4, 5.8, 7.2, 8.4, 9.0, 0.0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 519, 76414, 3625, 346, 181.6, 9.75, 0.000, 0.000
12777, 484, 16.6, 24.4, 89.0, 15.4, 23.6, 37.0, 24.8, 29.8, 33.4, 5.0, 7.0, 10.2, 4.0, 7.2, 11.0, 7.0, 8.2, 9.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 96.5, 1718, 492, 74603, 2896, 323, 178.6, 7.72, 0.000, 0.000
13097, 488, 16.4, 24.8, 43.6, 15.4, 23.8, 29.0, 24.6, 30.0, 33.8, 4.4, 6.4, 8.2, 4.4, 8.2, 67.6, 6.2, 7.4, 8.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1737, 494, 74756, 2954, 326, 172.0, 8.12, 0.000, 0.000
13417, 581, 13.8, 22.2, 48.4, 12.6, 21.0, 43.8, 24.8, 30.6, 38.4, 4.4, 6.4, 8.6, 3.4, 4.6, 6.6, 5.8, 6.6, 7.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1738, 495, 75277, 3086, 335, 167.4, 7.18, 0.000, 0.000
13738, 416, 19.2, 28.0, 39.4, 18.6, 27.0, 38.0, 25.0, 29.4, 34.2, 4.8, 6.4, 7.8, 3.4, 4.4, 5.2, 6.8, 7.6, 8.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1739, 498, 75522, 3210, 339, 171.0, 9.55, 0.000, 0.000
14059, 393, 20.4, 31.0, 37.2, 19.4, 30.2, 37.0, 25.8, 32.4, 37.6, 5.2, 7.0, 10.2, 4.2, 7.6, 9.0, 7.6, 8.8, 9.4, 0.0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1749, 498, 75738, 3341, 341, 177.2, 10.18, 0.000, 0.000
14380, 573, 14.0, 25.2, 45.0, 12.2, 23.8, 40.8, 24.0, 29.8, 36.6, 4.6, 7.8, 26.0, 4.2, 8.4, 17.0, 6.2, 9.4, 12.8, 0.0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 519, 76222, 3431, 353, 170.8, 7.65, 0.000, 0.000
14699, 417, 19.2, 27.4, 32.8, 18.4, 26.6, 32.4, 25.2, 30.0, 34.4, 5.2, 7.2, 8.8, 3.4, 4.4, 5.6, 7.4, 8.4, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1761, 519, 76362, 3501, 355, 174.4, 8.78, 0.000, 0.000
15020, 442, 18.2, 25.2, 29.8, 17.0, 24.6, 29.0, 24.8, 30.2, 34.2, 5.4, 7.6, 14.8, 3.6, 5.2, 7.2, 7.4, 8.6, 10.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1768, 526, 76472, 3554, 360, 171.6, 8.55, 0.000, 0.000
