Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
316, 600, 9.4, 10.6, 21.2, 2.4, 3.2, 4.8, 6.2, 9.4, 200.0, 1.8, 2.4, 3.2, 6.6, 8.4, 9.4, 8.8, 10.0, 10.8, 0.0, 3, 0, 2, 0, 0, 0, 1, 0, 1, 1, 2, 3, 38.0, 1132, 373, 34088, 524, 170, 61.8, 3.78, 0.000, 0.000
637, 600, 8.8, 10.2, 11.0, 2.0, 2.6, 6.4, 2.6, 4.0, 4.6, 1.4, 1.6, 6.6, 6.6, 8.2, 9.0, 8.2, 9.8, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11.5, 1103, 355, 33743, 516, 167, 45.6, 2.28, 0.000, 0.000
957, 600, 8.6, 10.4, 10.8, 2.0, 2.4, 3.4, 2.4, 3.8, 4.2, 1.2, 1.6, 4.6, 6.4, 8.4, 9.0, 8.0, 9.8, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1108, 355, 33754, 522, 167, 44.2, 2.10, 0.000, 0.000
1277, 600, 8.0, 9.0, 18.8, 2.2, 2.8, 18.8, 2.6, 4.4, 5.4, 1.4, 1.6, 4.8, 5.6, 6.8, 7.6, 7.6, 8.6, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1124, 358, 33807, 536, 167, 47.0, 1.70, 0.000, 0.000
1597, 600, 8.4, 10.0, 10.8, 2.0, 2.4, 3.4, 2.8, 4.0, 4.4, 1.2, 1.6, 5.4, 6.2, 8.0, 8.8, 7.8, 9.6, 10.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1120, 358, 33831, 540, 167, 46.2, 2.17, 0.000, 0.000
1917, 600, 8.4, 10.2, 11.0, 2.0, 2.6, 3.4, 3.2, 4.8, 6.2, 1.4, 1.6, 5.6, 6.2, 8.0, 9.0, 8.0, 9.4, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1124, 359, 33842, 546, 167, 45.4, 2.00, 0.000, 0.000
2237, 600, 9.2, 10.6, 11.6, 2.0, 2.4, 3.8, 2.8, 4.8, 5.0, 1.4, 1.8, 2.2, 7.0, 8.6, 9.4, 8.8, 10.2, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1206, 557, 33849, 548, 167, 46.8, 3.00, 0.000, 0.000
2557, 600, 8.4, 9.2, 9.8, 2.2, 2.6, 3.2, 3.6, 5.0, 5.4, 1.4, 1.6, 4.8, 6.0, 6.8, 7.2, 7.8, 8.8, 9.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1183, 572, 33855, 549, 167, 46.4, 1.95, 0.000, 0.000
2878, 600, 8.2, 9.2, 9.6, 2.2, 2.6, 3.4, 3.6, 4.6, 5.4, 1.2, 1.4, 3.0, 6.0, 7.0, 7.4, 7.8, 8.8, 9.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1152, 594, 33888, 557, 167, 45.6, 1.65, 0.000, 0.000
3198, 600, 9.0, 10.4, 18.6, 2.0, 2.6, 4.8, 2.4, 3.8, 4.6, 1.4, 1.8, 5.6, 7.0, 8.4, 16.6, 8.6, 10.0, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.5, 1126, 609, 33748, 518, 167, 44.8, 2.70, 0.000, 0.000
3518, 600, 8.6, 10.2, 10.8, 2.0, 2.4, 3.2, 2.2, 3.8, 4.4, 1.2, 1.6, 3.8, 6.6, 8.2, 8.8, 8.2, 9.6, 10.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1115, 609, 33768, 523, 167, 46.2, 2.40, 0.000, 0.000
