Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
563, 600, 3.4, 4.4, 10.8, 3.0, 3.8, 10.4, 9.0, 14.4, 140.4, 1.2, 1.6, 2.6, 1.4, 2.6, 3.2, 1.8, 2.4, 2.6, 0.0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 92.5, 1381, 458, 38111, 1016, 142, 25.6, 2.60, 0.000, 0.000
882, 600, 3.2, 4.0, 6.0, 2.8, 3.4, 4.6, 9.0, 12.0, 14.0, 1.2, 1.6, 2.0, 1.0, 1.4, 2.6, 1.4, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1411, 476, 38497, 1152, 149, 25.4, 2.62, 0.000, 0.000
1204, 600, 3.2, 4.2, 5.6, 2.8, 3.6, 4.6, 8.4, 11.2, 15.2, 1.0, 1.4, 2.0, 1.0, 1.4, 1.8, 1.4, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1406, 498, 38915, 1291, 155, 27.4, 2.83, 0.000, 0.000
1523, 600, 3.6, 4.6, 11.4, 3.0, 3.8, 8.0, 9.4, 13.0, 16.8, 1.4, 1.8, 2.8, 1.4, 2.8, 3.4, 1.8, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1432, 513, 39920, 1453, 163, 24.8, 2.20, 0.000, 0.000
1843, 600, 3.2, 4.0, 7.8, 2.8, 3.6, 7.4, 8.0, 10.4, 13.6, 1.2, 1.6, 2.0, 1.0, 1.2, 1.6, 1.4, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1417, 522, 40682, 1710, 171, 24.8, 3.20, 0.000, 0.000
2164, 600, 3.4, 4.4, 8.0, 3.0, 4.0, 7.0, 10.2, 14.4, 16.4, 1.0, 1.4, 4.4, 1.2, 1.4, 5.4, 1.4, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1471, 572, 41058, 1942, 175, 26.2, 2.33, 0.000, 0.000
2484, 600, 3.2, 3.8, 6.6, 2.6, 3.2, 6.0, 8.8, 12.2, 14.8, 1.0, 1.4, 2.2, 1.0, 1.2, 1.8, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30.5, 1335, 513, 38599, 1152, 128, 24.4, 2.53, 0.000, 0.000
2803, 600, 3.0, 3.8, 6.4, 2.6, 3.4, 5.6, 8.6, 12.0, 17.0, 1.2, 1.6, 2.8, 1.0, 1.2, 3.2, 1.4, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1329, 523, 39509, 1370, 132, 23.8, 2.92, 0.000, 0.000
3123, 600, 3.2, 4.2, 5.4, 2.8, 3.6, 5.0, 9.4, 11.8, 12.4, 1.2, 1.6, 2.0, 1.0, 1.4, 1.8, 1.4, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1336, 524, 39771, 1508, 136, 27.2, 2.50, 0.000, 0.000
3443, 600, 3.2, 3.8, 9.6, 2.6, 3.4, 6.8, 8.0, 11.6, 13.4, 1.0, 1.4, 2.6, 1.0, 1.2, 1.4, 1.4, 1.6, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1347, 534, 40283, 1699, 148, 22.8, 2.70, 0.000, 0.000
