Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 14.6, 32.6, 200.0, 13.6, 32.0, 200.0, 19.8, 33.2, 199.4, 1.6, 2.0, 6.4, 1.0, 1.4, 2.2, 2.4, 3.0, 3.6, 0.0, 19, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 77.5, 2501, 513, 75300, 2995, 328, 137.8, 8.30, 0.000, 0.000
638, 600, 8.0, 24.4, 32.2, 7.6, 23.8, 32.2, 24.4, 27.8, 32.2, 1.4, 2.4, 5.2, 1.2, 1.6, 2.8, 1.8, 3.6, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2518, 534, 75958, 3223, 339, 128.4, 4.55, 0.000, 0.000
958, 600, 5.4, 6.4, 13.6, 4.8, 6.0, 11.8, 22.4, 26.2, 30.2, 2.0, 2.8, 4.8, 1.4, 2.0, 3.0, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2534, 537, 76510, 3368, 349, 126.8, 1.95, 0.000, 0.000
1278, 600, 5.8, 7.8, 14.8, 5.4, 7.2, 14.2, 23.8, 27.0, 30.8, 1.8, 2.2, 3.0, 1.4, 1.6, 2.2, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2546, 547, 76832, 3454, 361, 129.4, 2.35, 0.000, 0.000
1599, 600, 5.0, 6.0, 8.6, 4.4, 5.6, 7.0, 22.2, 27.0, 29.2, 2.0, 2.8, 5.6, 1.2, 1.8, 2.6, 1.8, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2555, 547, 77011, 3540, 364, 128.4, 1.93, 0.000, 0.000
1918, 600, 9.0, 24.0, 30.6, 8.4, 23.6, 30.4, 24.0, 27.6, 30.6, 2.0, 2.6, 3.4, 1.4, 1.8, 2.2, 2.2, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2564, 551, 77395, 3649, 372, 132.0, 4.47, 0.000, 0.000
2239, 600, 7.0, 20.2, 30.6, 6.4, 19.8, 29.4, 24.2, 27.4, 30.6, 2.4, 3.2, 4.8, 1.6, 2.0, 2.8, 2.2, 3.6, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2574, 560, 77890, 3807, 379, 127.4, 3.48, 0.000, 0.000
2559, 600, 5.6, 8.8, 17.6, 5.2, 8.4, 17.2, 23.2, 26.4, 31.6, 1.8, 2.2, 5.4, 1.4, 1.8, 2.4, 1.6, 2.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2582, 560, 78156, 3926, 385, 126.8, 2.48, 0.000, 0.000
2880, 600, 5.4, 6.8, 24.6, 5.0, 6.2, 24.2, 21.2, 24.4, 27.0, 1.8, 2.6, 3.4, 1.2, 1.6, 2.2, 1.8, 2.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94.5, 2544, 536, 76065, 3121, 342, 126.4, 2.48, 0.000, 0.000
3199, 600, 4.8, 5.8, 9.0, 4.2, 5.2, 8.0, 19.4, 22.8, 24.4, 1.8, 2.6, 3.0, 1.4, 1.6, 2.6, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2544, 540, 76319, 3218, 347, 126.8, 1.83, 0.000, 0.000
