Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
2659, 600, 7.0, 7.0, 13.4, 3.4, 4.2, 10.6, 5.6, 12.4, 200.0, 1.8, 2.2, 3.0, 1.4, 1.8, 3.0, 2.2, 2.4, 2.6, 0.0, 7, 0, 1, 1, 1, 0, 5, 0, 1, 0, 3, 6, 48.0, 1570, 465, 39641, 830, 124, 45.6, 2.75, 0.000, 0.000
2978, 600, 7.0, 7.0, 10.6, 3.6, 4.4, 8.8, 14.6, 17.8, 22.6, 1.8, 2.2, 2.8, 1.4, 1.6, 2.0, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1597, 485, 40094, 1022, 127, 45.2, 2.53, 0.000, 0.000
3299, 600, 7.0, 7.0, 9.6, 3.2, 3.8, 8.4, 14.4, 19.0, 21.8, 1.6, 1.8, 2.4, 1.2, 1.6, 2.0, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1596, 488, 40454, 1175, 134, 47.2, 2.73, 0.000, 0.000
3619, 600, 7.0, 7.0, 8.2, 3.6, 4.2, 7.8, 11.8, 14.2, 17.4, 1.6, 2.0, 2.4, 1.2, 1.6, 2.6, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.5, 1569, 451, 39267, 809, 121, 44.8, 2.88, 0.000, 0.000
3939, 600, 7.0, 7.0, 10.0, 3.6, 4.2, 7.4, 12.8, 16.8, 19.8, 1.6, 2.0, 2.4, 1.4, 1.6, 1.8, 2.2, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1564, 458, 39502, 855, 123, 45.4, 2.78, 0.000, 0.000
4258, 600, 7.0, 7.0, 9.6, 3.6, 4.4, 8.0, 10.0, 12.2, 15.6, 1.8, 2.0, 9.4, 1.4, 1.8, 6.0, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1587, 488, 39764, 922, 123, 44.6, 3.00, 0.000, 0.000
4579, 600, 7.0, 7.0, 8.2, 3.0, 3.6, 6.2, 9.8, 15.0, 18.4, 1.6, 2.0, 2.4, 1.4, 2.2, 3.8, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1563, 497, 39943, 1013, 125, 45.6, 2.90, 0.000, 0.000
4899, 600, 7.0, 7.0, 12.0, 3.2, 3.8, 7.6, 8.0, 10.2, 12.0, 1.6, 2.0, 2.8, 1.2, 1.6, 2.0, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1569, 500, 40201, 1044, 128, 45.6, 3.10, 0.000, 0.000
5220, 600, 7.0, 7.0, 7.0, 3.4, 4.0, 4.8, 9.4, 12.8, 18.6, 1.8, 2.2, 2.6, 2.0, 3.2, 4.0, 2.4, 2.8, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1572, 504, 40279, 1060, 129, 45.6, 2.98, 0.000, 0.000
5540, 600, 7.0, 7.0, 7.0, 3.2, 3.6, 4.8, 6.6, 10.8, 12.8, 1.6, 2.0, 3.6, 1.2, 1.6, 2.4, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1651, 578, 40369, 1094, 129, 44.6, 3.17, 0.000, 0.000
5860, 600, 7.0, 7.0, 7.0, 3.2, 3.6, 5.0, 5.6, 7.0, 9.8, 1.6, 2.0, 2.4, 1.2, 1.4, 3.6, 2.0, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1652, 712, 40425, 1105, 129, 45.8, 3.20, 0.000, 0.000
6180, 600, 7.0, 7.0, 7.0, 3.2, 3.8, 6.6, 5.0, 6.4, 7.2, 1.6, 2.0, 3.8, 1.2, 1.6, 2.0, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29.5, 1541, 702, 39387, 782, 116, 45.8, 3.20, 0.000, 0.000
6499, 600, 7.0, 7.0, 7.6, 3.0, 3.6, 6.2, 6.6, 11.4, 13.4, 1.6, 2.0, 2.2, 1.2, 1.4, 2.0, 2.0, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1546, 702, 39449, 789, 116, 45.4, 3.12, 0.000, 0.000
6820, 600, 7.0, 7.0, 7.8, 3.0, 3.6, 6.2, 5.8, 7.2, 9.2, 1.6, 2.0, 2.2, 1.2, 1.4, 1.8, 2.0, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1553, 706, 39527, 800, 116, 45.0, 3.15, 0.000, 0.000
7140, 600, 7.0, 7.0, 21.2, 3.2, 3.6, 6.6, 6.2, 9.8, 11.8, 1.6, 2.0, 2.2, 1.2, 1.4, 2.0, 2.0, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1555, 706, 39589, 811, 116, 45.2, 3.35, 0.000, 0.000
7460, 600, 7.0, 7.0, 10.2, 3.2, 3.8, 6.8, 4.0, 5.6, 6.6, 1.6, 2.0, 2.4, 1.2, 1.6, 2.0, 2.0, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1561, 706, 39628, 830, 116, 44.6, 3.15, 0.000, 0.000
7780, 600, 7.0, 7.0, 8.2, 3.0, 3.6, 7.0, 4.2, 6.4, 8.8, 1.6, 1.8, 2.6, 1.2, 1.6, 1.8, 2.0, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1565, 714, 39704, 840, 117, 45.0, 3.25, 0.000, 0.000
8100, 600, 7.0, 7.0, 7.0, 3.2, 3.8, 4.2, 5.4, 10.0, 13.6, 1.6, 2.0, 2.4, 1.2, 1.6, 1.8, 2.0, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1562, 717, 39738, 848, 117, 44.6, 3.15, 0.000, 0.000
8420, 600, 7.0, 7.0, 10.4, 3.2, 4.0, 6.6, 5.0, 6.4, 7.8, 1.6, 2.0, 2.4, 1.2, 1.6, 2.2, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1570, 717, 39847, 872, 117, 45.0, 3.17, 0.000, 0.000
8741, 600, 7.0, 7.0, 9.6, 2.8, 3.6, 9.6, 3.6, 6.0, 8.0, 1.4, 1.8, 2.4, 1.0, 1.4, 1.8, 2.0, 2.0, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15.5, 1565, 737, 39610, 797, 117, 44.6, 3.23, 0.000, 0.000
9061, 600, 7.0, 7.0, 7.0, 2.6, 3.0, 4.2, 1.0, 1.2, 1.6, 1.2, 1.6, 2.2, 1.0, 1.2, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1563, 737, 39623, 797, 117, 44.4, 3.25, 0.000, 0.000
9381, 600, 7.0, 7.0, 11.4, 2.6, 3.0, 11.0, 0.8, 1.2, 1.6, 1.2, 1.6, 2.0, 0.8, 1.2, 1.4, 1.8, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1562, 737, 39631, 797, 117, 45.4, 3.25, 0.000, 0.000
9701, 600, 7.0, 7.0, 7.0, 2.4, 2.8, 3.6, 0.8, 1.2, 1.6, 1.2, 1.6, 1.8, 1.0, 1.2, 1.6, 1.8, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1562, 737, 39640, 797, 117, 44.6, 3.30, 0.000, 0.000
10021, 600, 7.0, 7.0, 13.4, 4.0, 5.2, 13.0, 10.0, 22.4, 87.2, 1.6, 2.2, 3.2, 1.6, 3.2, 4.4, 2.4, 3.0, 3.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1586, 752, 40719, 994, 134, 45.2, 3.00, 0.000, 0.000
10341, 600, 7.0, 7.0, 10.0, 3.8, 4.4, 8.8, 16.0, 21.2, 24.4, 1.6, 2.0, 2.4, 1.4, 2.4, 3.8, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1576, 752, 41145, 1251, 134, 46.0, 2.58, 0.000, 0.000
10660, 600, 7.0, 7.0, 9.2, 3.6, 4.4, 8.8, 15.4, 21.0, 26.6, 1.6, 2.0, 2.4, 1.6, 2.8, 3.8, 2.2, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1586, 754, 41317, 1316, 137, 45.4, 2.45, 0.000, 0.000
