Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 8.6, 9.8, 14.8, 3.6, 4.8, 7.6, 11.2, 20.8, 176.0, 1.2, 1.6, 8.8, 6.0, 7.4, 10.0, 8.4, 9.6, 12.0, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 150.0, 1213, 469, 38129, 822, 116, 52.2, 3.33, 0.000, 0.000
637, 600, 8.6, 10.0, 27.6, 3.8, 4.8, 9.0, 9.8, 12.2, 21.6, 1.2, 1.6, 3.0, 5.8, 7.2, 8.6, 8.4, 9.6, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1263, 529, 38426, 909, 119, 50.2, 3.38, 0.000, 0.000
958, 600, 9.0, 10.2, 27.4, 3.8, 4.8, 8.2, 13.0, 16.8, 21.8, 1.2, 1.6, 6.8, 6.0, 7.2, 11.8, 8.6, 10.0, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1212, 529, 38800, 1081, 121, 52.0, 3.55, 0.000, 0.000
1278, 600, 9.2, 10.6, 16.0, 4.0, 5.2, 10.0, 10.0, 13.2, 14.2, 1.2, 1.8, 5.6, 6.4, 7.6, 13.4, 8.8, 10.2, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1213, 548, 39157, 1272, 126, 54.6, 3.88, 0.000, 0.000
1599, 600, 9.0, 10.4, 14.4, 3.8, 4.8, 8.0, 8.6, 11.2, 15.4, 1.2, 1.6, 3.4, 6.4, 7.6, 11.8, 8.8, 10.0, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1230, 570, 39487, 1426, 131, 52.8, 3.50, 0.000, 0.000
1919, 600, 9.8, 11.8, 31.4, 3.8, 4.8, 12.6, 9.4, 13.2, 15.8, 1.4, 1.8, 3.4, 7.0, 9.2, 10.4, 9.6, 11.4, 12.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1240, 578, 39748, 1538, 134, 51.0, 4.28, 0.000, 0.000
2239, 600, 9.8, 11.2, 15.2, 3.4, 4.4, 7.4, 9.2, 14.2, 24.2, 1.2, 1.6, 3.0, 7.2, 8.6, 12.2, 9.6, 10.8, 12.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1232, 578, 39976, 1636, 138, 51.2, 4.05, 0.000, 0.000
2559, 600, 8.8, 10.2, 16.4, 3.6, 4.4, 7.6, 8.4, 12.8, 17.6, 1.2, 1.4, 2.8, 6.4, 7.6, 12.8, 8.6, 10.0, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1236, 581, 40168, 1714, 140, 49.8, 3.17, 0.000, 0.000
2880, 600, 9.0, 10.2, 13.4, 3.6, 4.4, 7.0, 8.6, 11.0, 13.2, 1.2, 1.4, 3.0, 6.4, 7.4, 10.2, 8.8, 10.0, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47.0, 1202, 575, 38440, 799, 116, 53.2, 3.28, 0.000, 0.000
3199, 600, 9.6, 11.0, 31.6, 4.0, 5.0, 9.2, 9.2, 12.0, 16.4, 1.2, 1.6, 10.0, 6.6, 8.0, 10.0, 9.2, 10.6, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1220, 596, 38738, 952, 118, 50.4, 3.92, 0.000, 0.000
3520, 600, 9.4, 10.6, 27.8, 3.2, 4.2, 13.0, 6.2, 8.2, 9.8, 1.2, 1.6, 6.2, 6.8, 8.0, 10.6, 9.2, 10.4, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1239, 606, 38981, 1053, 120, 51.4, 4.12, 0.000, 0.000
3840, 600, 8.8, 10.2, 26.2, 3.6, 4.6, 9.4, 6.6, 9.8, 12.0, 1.2, 1.4, 3.4, 6.0, 7.4, 11.4, 8.6, 9.8, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1229, 624, 39183, 1161, 122, 50.6, 3.28, 0.000, 0.000
4161, 600, 8.8, 10.2, 15.0, 3.4, 4.2, 10.4, 7.8, 13.2, 16.6, 1.0, 1.4, 5.4, 6.2, 7.4, 8.8, 8.6, 10.0, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1290, 656, 39331, 1255, 123, 52.8, 3.42, 0.000, 0.000
4481, 600, 8.8, 9.8, 11.4, 3.4, 4.2, 5.0, 6.4, 9.2, 12.4, 1.0, 1.2, 2.4, 6.2, 7.2, 8.6, 8.4, 9.6, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1223, 656, 39449, 1303, 123, 53.2, 2.70, 0.000, 0.000
4801, 600, 8.8, 10.0, 15.6, 3.4, 4.2, 9.2, 4.0, 5.0, 6.0, 1.2, 1.4, 5.4, 6.2, 7.0, 9.8, 8.6, 9.8, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1227, 664, 39568, 1333, 126, 50.6, 3.03, 0.000, 0.000
5121, 600, 8.6, 9.8, 13.2, 3.0, 3.8, 5.8, 5.0, 6.4, 13.0, 1.0, 1.4, 5.8, 6.2, 7.2, 10.2, 8.4, 9.4, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.5, 1190, 656, 38310, 757, 111, 52.6, 2.58, 0.000, 0.000
5442, 600, 8.8, 10.0, 22.6, 3.0, 3.8, 7.0, 4.6, 5.8, 9.6, 1.0, 1.4, 2.8, 6.4, 7.6, 9.4, 8.6, 9.8, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1197, 656, 39274, 764, 112, 53.4, 3.00, 0.000, 0.000
5762, 600, 8.4, 9.4, 11.8, 3.0, 3.6, 5.4, 3.8, 4.6, 5.4, 1.0, 1.2, 1.8, 6.0, 7.0, 10.0, 8.2, 9.2, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1198, 656, 39315, 774, 113, 53.0, 2.35, 0.000, 0.000
6082, 600, 8.6, 9.8, 11.8, 3.0, 3.8, 5.2, 4.0, 5.2, 11.0, 1.0, 1.4, 6.8, 6.2, 7.2, 9.4, 8.4, 9.6, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1223, 698, 39374, 782, 113, 51.6, 2.67, 0.000, 0.000
6402, 600, 8.6, 9.8, 11.4, 2.8, 3.4, 4.6, 4.0, 4.8, 5.6, 1.0, 1.2, 1.8, 6.2, 7.2, 8.4, 8.4, 9.6, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1195, 698, 39424, 796, 115, 51.0, 2.62, 0.000, 0.000
6722, 600, 8.6, 9.8, 12.0, 2.8, 3.4, 4.8, 4.2, 5.4, 6.6, 1.0, 1.2, 2.0, 6.2, 7.2, 8.8, 8.4, 9.4, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1191, 698, 39520, 864, 117, 52.0, 2.67, 0.000, 0.000
7042, 600, 8.6, 9.6, 11.0, 2.8, 3.6, 5.4, 5.2, 8.2, 10.4, 1.0, 1.2, 2.6, 6.2, 7.2, 8.4, 8.2, 9.4, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1199, 698, 39634, 954, 117, 51.6, 2.58, 0.000, 0.000
7362, 600, 8.6, 9.6, 11.2, 2.8, 3.6, 4.2, 3.8, 5.6, 7.0, 1.0, 1.4, 6.0, 6.0, 7.0, 8.2, 8.4, 9.4, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1272, 731, 39727, 1015, 117, 54.2, 2.85, 0.000, 0.000
7682, 600, 8.4, 9.6, 10.8, 2.8, 3.2, 7.4, 1.6, 2.6, 3.2, 1.0, 1.2, 3.2, 6.2, 7.2, 8.6, 8.2, 9.4, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20.5, 1173, 752, 39447, 749, 109, 50.4, 2.62, 0.000, 0.000
8002, 600, 8.2, 9.4, 48.8, 2.6, 3.2, 47.0, 1.2, 1.8, 31.4, 1.0, 1.2, 3.0, 5.6, 6.8, 8.6, 7.8, 9.0, 10.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1188, 759, 40586, 864, 123, 49.0, 2.50, 0.000, 0.000
8323, 600, 9.2, 10.4, 29.6, 4.2, 5.2, 7.6, 11.4, 14.8, 47.6, 1.4, 1.8, 11.2, 6.2, 7.4, 14.8, 8.8, 10.0, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1202, 759, 40757, 937, 124, 52.0, 3.65, 0.000, 0.000
8643, 600, 9.0, 10.4, 16.4, 4.0, 5.0, 13.8, 11.0, 15.4, 20.6, 1.2, 1.6, 7.0, 6.2, 7.4, 13.6, 8.6, 9.8, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1207, 759, 40893, 1009, 126, 51.8, 3.50, 0.000, 0.000
8963, 600, 10.0, 11.8, 27.2, 4.2, 5.0, 12.4, 11.0, 15.2, 20.0, 1.4, 1.8, 3.0, 7.2, 9.8, 11.4, 9.8, 11.6, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1220, 766, 41232, 1239, 130, 54.2, 4.15, 0.000, 0.000
9283, 600, 10.4, 11.8, 15.2, 3.6, 4.4, 7.0, 11.2, 15.6, 24.2, 1.2, 1.6, 3.6, 7.8, 9.6, 11.2, 10.2, 11.6, 13.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1224, 766, 41336, 1267, 133, 52.4, 4.58, 0.000, 0.000
9603, 600, 9.2, 10.6, 17.2, 4.0, 5.0, 9.4, 10.6, 13.2, 17.6, 1.2, 1.6, 3.2, 6.2, 7.6, 13.0, 8.8, 10.2, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1223, 769, 41588, 1327, 137, 51.4, 3.15, 0.000, 0.000
9924, 600, 9.2, 10.6, 28.0, 4.0, 5.2, 13.0, 9.0, 13.6, 18.2, 1.2, 1.6, 3.8, 6.2, 7.4, 12.2, 9.0, 10.4, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1231, 769, 41831, 1455, 139, 52.0, 3.75, 0.000, 0.000
10245, 600, 9.2, 10.4, 26.6, 3.8, 4.8, 8.6, 9.8, 13.4, 21.6, 1.2, 1.6, 10.0, 6.2, 7.4, 9.4, 9.0, 10.2, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52.0, 1222, 747, 39703, 853, 124, 66.8, 9.80, 0.000, 0.000
10564, 600, 10.0, 11.2, 31.4, 3.8, 5.0, 9.6, 10.4, 15.6, 25.8, 1.4, 1.8, 5.6, 7.0, 8.0, 10.0, 9.6, 10.8, 12.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1220, 747, 39835, 930, 124, 51.2, 4.35, 0.000, 0.000
