Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 17.2, 16.6, 200.0, 4.8, 6.2, 200.0, 7.4, 12.2, 200.0, 1.6, 2.0, 5.0, 1.0, 1.8, 2.6, 1.6, 1.8, 3.6, 0.0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 180.0, 802, 421, 38106, 838, 122, 49.0, 3.15, 0.000, 0.000
638, 480, 16.6, 16.6, 16.8, 5.0, 6.2, 14.8, 8.6, 12.2, 19.0, 1.6, 2.0, 4.4, 1.2, 1.8, 3.0, 1.6, 1.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 806, 439, 38601, 950, 128, 49.6, 2.70, 0.000, 0.000
958, 480, 16.6, 16.6, 16.6, 5.0, 6.8, 9.4, 13.6, 18.2, 21.0, 1.6, 2.0, 3.4, 1.2, 2.2, 2.8, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 813, 443, 38883, 1007, 132, 48.6, 2.80, 0.000, 0.000
1278, 480, 16.6, 16.6, 16.6, 5.4, 6.6, 12.0, 12.4, 16.8, 23.4, 1.6, 2.0, 2.6, 1.2, 1.8, 2.4, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 829, 450, 39146, 1104, 133, 48.8, 3.17, 0.000, 0.000
1598, 480, 16.6, 16.6, 16.6, 5.0, 6.2, 8.6, 9.6, 12.2, 13.4, 1.4, 1.8, 2.6, 1.0, 1.2, 1.8, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 825, 450, 39559, 1182, 134, 47.2, 2.95, 0.000, 0.000
1918, 480, 16.6, 16.6, 16.8, 4.4, 5.2, 9.8, 7.2, 10.0, 13.8, 1.4, 1.6, 2.8, 1.0, 1.6, 2.2, 1.4, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 829, 459, 39744, 1218, 139, 48.4, 2.28, 0.000, 0.000
2238, 480, 16.6, 16.6, 16.6, 5.2, 6.4, 9.8, 10.2, 13.4, 16.2, 1.6, 1.8, 4.2, 1.0, 1.6, 2.8, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118.0, 809, 425, 37884, 756, 118, 50.0, 2.45, 0.000, 0.000
2558, 480, 16.6, 16.6, 16.6, 5.2, 6.2, 8.0, 10.4, 14.2, 16.4, 1.6, 1.8, 2.4, 1.2, 1.8, 3.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 812, 431, 38079, 840, 119, 48.0, 2.73, 0.000, 0.000
2878, 480, 16.6, 16.6, 16.8, 5.2, 6.2, 10.6, 9.0, 12.0, 14.2, 1.6, 2.0, 3.0, 1.2, 1.8, 3.2, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 807, 431, 38272, 925, 120, 49.0, 2.08, 0.000, 0.000
3198, 480, 16.6, 16.6, 16.6, 4.6, 5.4, 9.4, 7.8, 10.8, 12.2, 1.4, 1.8, 4.0, 1.2, 1.8, 2.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 813, 434, 38466, 958, 122, 48.8, 2.23, 0.000, 0.000
