Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 2.8, 3.6, 4.6, 2.6, 3.4, 4.2, 13.8, 20.6, 177.8, 1.2, 1.4, 1.8, 1.0, 1.2, 1.6, 1.8, 2.0, 2.2, 0.0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 29.5, 1984, 519, 73606, 2824, 323, 35.0, 1.73, 0.000, 0.000
637, 600, 3.2, 3.8, 5.0, 2.8, 3.6, 4.2, 8.8, 11.6, 13.0, 1.4, 1.8, 2.6, 1.2, 1.4, 1.8, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1993, 527, 73902, 2863, 325, 33.6, 1.27, 0.000, 0.000
957, 600, 3.6, 4.4, 8.0, 3.4, 4.0, 7.2, 8.6, 11.4, 14.0, 1.4, 1.8, 3.0, 1.2, 1.4, 1.8, 2.0, 2.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1998, 533, 74100, 2938, 331, 35.0, 1.35, 0.000, 0.000
1277, 600, 3.8, 4.8, 6.6, 3.0, 3.6, 5.4, 8.4, 10.6, 13.4, 1.6, 2.0, 4.2, 1.6, 2.8, 3.2, 2.6, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15.5, 1995, 501, 73505, 2855, 322, 34.6, 1.65, 0.000, 0.000
1597, 600, 2.8, 3.4, 3.8, 2.4, 3.0, 4.0, 7.8, 10.4, 13.8, 1.2, 1.4, 1.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1998, 501, 73652, 2922, 327, 34.6, 1.48, 0.000, 0.000
1918, 600, 3.4, 4.2, 5.2, 2.6, 3.4, 4.4, 8.0, 10.6, 12.4, 1.4, 1.8, 2.2, 1.6, 2.6, 3.2, 2.4, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1994, 504, 73748, 2950, 332, 33.8, 1.40, 0.000, 0.000
2238, 600, 3.4, 4.0, 5.8, 2.8, 3.6, 4.8, 8.4, 10.6, 13.4, 1.4, 1.8, 2.2, 1.2, 1.4, 3.2, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2000, 504, 73817, 2983, 335, 36.2, 1.45, 0.000, 0.000
2558, 600, 3.0, 3.6, 4.8, 2.6, 3.4, 3.8, 7.4, 9.8, 15.6, 1.2, 1.6, 2.4, 1.0, 1.2, 1.6, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1999, 504, 73860, 2991, 337, 34.6, 1.27, 0.000, 0.000
2878, 600, 3.0, 3.8, 5.4, 2.8, 3.6, 4.2, 8.0, 10.4, 13.2, 1.2, 1.6, 1.8, 1.0, 1.2, 1.6, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2015, 512, 73918, 3007, 341, 36.2, 1.50, 0.000, 0.000
3198, 600, 3.0, 4.2, 5.8, 2.6, 3.4, 5.2, 6.2, 8.2, 9.0, 1.4, 1.8, 2.2, 1.2, 2.0, 3.6, 2.0, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2000, 512, 73941, 3017, 343, 33.0, 1.18, 0.000, 0.000
3518, 600, 3.8, 4.8, 8.0, 2.8, 3.4, 7.6, 6.4, 8.8, 12.8, 1.6, 2.0, 3.2, 1.8, 2.8, 5.2, 2.6, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1998, 512, 74042, 3053, 348, 33.2, 1.70, 0.000, 0.000
3838, 600, 2.6, 3.0, 3.6, 2.2, 2.8, 3.4, 6.0, 8.2, 11.2, 1.0, 1.4, 2.2, 1.0, 1.2, 1.4, 1.4, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21.0, 1983, 506, 73512, 2871, 320, 34.2, 1.02, 0.000, 0.000
