Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 17.0, 16.8, 200.0, 3.0, 3.8, 200.0, 11.8, 17.6, 168.6, 2.2, 13.2, 14.0, 2.2, 3.2, 4.8, 5.8, 6.2, 11.6, 0.0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 4, 167.5, 1093, 418, 37539, 768, 120, 109.8, 3.17, 0.000, 0.000
640, 481, 16.8, 16.8, 50.2, 3.0, 3.6, 17.0, 9.4, 11.6, 25.8, 2.6, 13.6, 14.0, 2.0, 2.4, 2.6, 5.8, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1104, 430, 38234, 1005, 126, 107.4, 3.08, 0.000, 0.000
961, 483, 16.6, 16.8, 18.2, 3.0, 3.6, 6.8, 8.8, 11.2, 18.0, 2.6, 13.2, 13.8, 2.2, 2.6, 5.2, 5.4, 6.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1184, 635, 38482, 1055, 134, 107.4, 2.75, 0.000, 0.000
1282, 481, 16.6, 16.8, 50.2, 3.4, 4.4, 6.0, 11.8, 16.0, 19.6, 3.2, 13.0, 13.4, 2.4, 3.4, 4.8, 5.4, 6.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1107, 636, 38868, 1133, 135, 106.8, 3.33, 0.000, 0.000
1600, 479, 16.8, 16.8, 50.2, 3.2, 3.6, 13.8, 9.4, 13.0, 14.2, 2.8, 13.2, 13.8, 2.2, 3.2, 4.2, 5.2, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1106, 642, 39287, 1292, 141, 107.0, 2.85, 0.000, 0.000
1922, 482, 16.6, 16.8, 50.2, 3.4, 4.2, 6.8, 10.0, 13.2, 15.4, 2.4, 12.8, 13.6, 2.2, 2.6, 3.2, 5.4, 6.0, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1109, 651, 39790, 1386, 150, 108.2, 3.50, 0.000, 0.000
2243, 481, 16.6, 16.8, 50.2, 3.6, 4.2, 6.0, 11.6, 14.8, 16.0, 4.2, 13.0, 13.4, 2.2, 3.0, 4.0, 5.4, 6.4, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1128, 659, 40080, 1554, 150, 108.0, 3.73, 0.000, 0.000
2563, 481, 16.6, 16.8, 50.2, 3.2, 4.0, 5.0, 9.4, 14.8, 17.6, 4.2, 13.4, 14.0, 2.0, 2.4, 3.4, 5.4, 6.2, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1119, 683, 40350, 1684, 153, 106.8, 2.67, 0.000, 0.000
2885, 481, 16.6, 16.8, 50.2, 3.0, 3.6, 6.8, 11.0, 13.6, 14.6, 2.8, 13.2, 14.0, 2.0, 2.2, 7.8, 5.6, 6.0, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68.0, 1088, 674, 38499, 931, 124, 106.6, 3.15, 0.000, 0.000
3206, 481, 16.6, 16.8, 50.2, 2.8, 3.2, 5.0, 8.0, 10.4, 12.0, 3.6, 13.4, 14.0, 2.0, 2.2, 8.2, 5.4, 6.0, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1088, 674, 38598, 984, 124, 106.8, 2.95, 0.000, 0.000
3526, 481, 16.6, 16.8, 50.0, 2.8, 3.4, 4.6, 5.8, 9.6, 11.0, 3.0, 13.2, 14.2, 2.0, 2.2, 2.8, 5.4, 6.2, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1089, 674, 38716, 1051, 124, 108.0, 2.45, 0.000, 0.000
3847, 481, 16.6, 16.8, 17.0, 2.8, 3.2, 4.2, 7.4, 9.8, 11.4, 1.2, 1.2, 14.2, 2.0, 2.2, 7.4, 5.4, 6.2, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1085, 674, 38881, 1078, 124, 106.4, 2.70, 0.000, 0.000
4167, 481, 16.6, 16.8, 50.0, 2.6, 3.0, 4.4, 6.0, 7.6, 8.8, 0.8, 1.0, 1.2, 1.8, 2.2, 2.8, 5.2, 5.2, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1087, 674, 39046, 1179, 124, 107.0, 2.42, 0.000, 0.000
4488, 481, 16.6, 16.8, 17.0, 2.6, 3.0, 4.0, 5.2, 8.6, 9.6, 0.8, 1.0, 14.0, 1.8, 2.2, 7.2, 5.2, 5.2, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1085, 674, 39190, 1268, 124, 106.2, 2.28, 0.000, 0.000
4808, 480, 16.6, 17.4, 18.2, 2.2, 2.4, 8.6, 2.0, 3.6, 4.2, 1.0, 1.0, 13.4, 2.4, 3.0, 4.0, 5.2, 5.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1121, 695, 39407, 1268, 124, 106.2, 1.65, 0.000, 0.000
5129, 481, 16.6, 17.0, 17.8, 2.4, 2.6, 4.6, 1.0, 1.6, 2.0, 0.8, 1.0, 1.4, 2.6, 3.2, 3.6, 5.2, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50.5, 1062, 689, 38458, 819, 115, 106.8, 1.48, 0.000, 0.000
5449, 481, 16.6, 16.8, 17.8, 2.2, 2.4, 2.8, 0.6, 1.2, 2.0, 0.8, 1.0, 1.4, 2.8, 3.2, 4.0, 5.2, 6.2, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1063, 690, 38474, 819, 115, 108.8, 1.23, 0.000, 0.000
5769, 481, 16.6, 16.8, 17.0, 2.2, 2.6, 2.8, 0.6, 1.4, 2.0, 0.8, 1.0, 1.2, 2.8, 3.0, 4.0, 5.4, 6.2, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1064, 690, 38474, 819, 115, 110.2, 1.08, 0.000, 0.000
6090, 481, 16.6, 16.8, 60.8, 3.4, 4.0, 45.8, 9.2, 11.4, 52.0, 2.8, 13.4, 14.0, 2.4, 3.2, 4.4, 5.4, 6.2, 9.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1100, 710, 39792, 975, 129, 109.8, 3.28, 0.000, 0.000
6412, 481, 16.6, 16.8, 17.0, 3.0, 3.4, 4.4, 8.8, 11.0, 18.4, 2.6, 13.4, 13.8, 2.0, 2.2, 2.6, 5.2, 5.8, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1094, 710, 39960, 1009, 132, 112.2, 2.55, 0.000, 0.000
6731, 481, 16.6, 16.8, 51.4, 3.4, 4.4, 10.6, 10.4, 12.6, 20.0, 2.4, 13.2, 14.0, 2.4, 3.4, 4.8, 5.4, 6.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1110, 723, 40370, 1109, 143, 112.0, 4.12, 0.000, 0.000
7053, 481, 16.6, 16.8, 50.6, 3.0, 3.6, 5.4, 7.8, 10.6, 12.4, 3.4, 13.4, 13.8, 2.0, 2.4, 3.2, 5.6, 6.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1116, 724, 40483, 1141, 144, 110.6, 3.08, 0.000, 0.000
7373, 481, 16.6, 16.8, 18.4, 3.2, 3.8, 8.0, 9.2, 11.2, 12.0, 2.0, 12.2, 13.4, 2.4, 3.6, 4.0, 5.4, 6.4, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1109, 734, 40892, 1255, 152, 110.8, 2.90, 0.000, 0.000
7694, 481, 16.6, 16.8, 50.2, 3.4, 4.2, 8.2, 10.2, 12.2, 14.4, 3.4, 13.2, 13.6, 2.2, 2.6, 3.0, 5.4, 6.0, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66.5, 1091, 688, 39201, 1006, 125, 111.6, 3.45, 0.000, 0.000
