Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
16630, 600, 7.0, 7.6, 13.6, 4.4, 5.2, 13.2, 2.6, 4.4, 41.2, 2.2, 2.4, 3.2, 4.6, 5.2, 6.8, 6.2, 6.6, 8.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1481, 661, 37176, 674, 177, 22.6, 3.20, 0.000, 0.000
16951, 600, 6.8, 7.2, 10.4, 4.2, 5.0, 7.6, 3.6, 4.8, 5.4, 2.0, 2.4, 3.6, 4.4, 5.0, 8.0, 5.8, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1436, 750, 37233, 684, 177, 23.0, 4.05, 0.000, 0.000
17271, 600, 6.8, 7.4, 12.4, 4.2, 5.0, 6.8, 2.8, 3.6, 5.2, 2.0, 2.4, 3.2, 4.4, 4.8, 5.2, 6.0, 6.4, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1404, 754, 37367, 695, 177, 21.8, 3.23, 0.000, 0.000
17592, 600, 7.2, 7.6, 14.2, 4.2, 5.0, 7.6, 3.2, 4.2, 4.8, 2.0, 2.4, 4.4, 4.8, 5.6, 9.6, 6.2, 6.6, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1420, 762, 37445, 714, 179, 23.8, 4.43, 0.000, 0.000
17911, 600, 7.4, 7.6, 175.0, 4.0, 4.8, 7.4, 3.8, 5.6, 7.2, 2.0, 2.2, 3.2, 4.8, 5.4, 9.2, 6.2, 6.6, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30.0, 1468, 759, 36779, 630, 172, 24.6, 5.80, 0.000, 0.000
18232, 600, 6.8, 7.4, 10.4, 4.6, 5.6, 8.4, 3.4, 4.8, 9.0, 2.0, 2.4, 4.4, 4.4, 5.0, 7.8, 6.0, 6.4, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1561, 897, 36874, 701, 172, 27.6, 5.83, 0.000, 0.000
18551, 600, 6.6, 7.2, 7.8, 3.6, 4.4, 5.4, 3.0, 4.0, 5.6, 1.6, 1.8, 3.0, 4.8, 5.4, 6.0, 5.8, 6.4, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1567, 959, 36899, 708, 172, 22.0, 2.85, 0.000, 0.000
18871, 600, 6.8, 7.2, 9.8, 3.2, 3.8, 4.8, 3.0, 3.8, 4.4, 1.4, 1.6, 2.8, 5.2, 5.6, 7.4, 6.2, 6.6, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1520, 959, 36941, 716, 173, 21.8, 3.10, 0.000, 0.000
19192, 600, 7.0, 7.8, 8.4, 3.8, 4.8, 7.0, 4.2, 5.8, 14.2, 1.6, 2.0, 3.0, 5.4, 6.2, 6.4, 6.4, 7.0, 7.4, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1540, 1011, 37618, 793, 176, 22.0, 2.48, 0.000, 0.000
19512, 600, 7.6, 8.8, 20.2, 3.8, 4.6, 6.6, 3.8, 5.4, 7.8, 1.8, 2.0, 2.4, 5.8, 7.0, 7.4, 6.8, 8.0, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1543, 1015, 37671, 806, 176, 21.4, 2.23, 0.000, 0.000
19832, 600, 7.0, 7.4, 9.2, 3.2, 3.8, 5.4, 3.4, 4.8, 7.0, 1.6, 1.8, 2.0, 5.0, 5.4, 7.0, 6.2, 6.6, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1547, 1028, 38006, 859, 177, 23.0, 3.03, 0.000, 0.000
20152, 600, 8.0, 8.6, 10.2, 4.0, 4.8, 6.0, 3.8, 5.0, 6.6, 2.2, 2.4, 3.6, 6.2, 6.6, 7.6, 7.2, 7.8, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1547, 1036, 38185, 902, 180, 22.4, 2.50, 0.000, 0.000
