Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
7071, 600, 16.6, 16.6, 16.8, 3.8, 5.0, 9.2, 9.0, 12.8, 128.8, 1.4, 1.8, 10.0, 1.0, 1.4, 2.4, 1.6, 1.6, 1.8, 0.0, 11, 0, 1, 0, 0, 0, 8, 0, 1, 0, 5, 8, 143.5, 1162, 635, 40458, 989, 193, 179.2, 3.75, 0.000, 0.000
7391, 480, 16.6, 16.6, 17.2, 3.6, 4.6, 8.2, 10.0, 14.8, 19.4, 1.4, 1.6, 8.2, 1.0, 1.2, 3.0, 1.6, 1.6, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1164, 643, 40733, 1155, 195, 176.4, 4.40, 0.000, 0.000
7710, 480, 16.6, 16.6, 16.8, 3.6, 4.8, 10.4, 8.8, 10.2, 17.8, 1.2, 1.6, 5.8, 1.0, 1.2, 2.8, 1.4, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35.0, 1166, 615, 39826, 817, 184, 176.2, 2.67, 0.000, 0.000
8031, 480, 16.6, 16.6, 16.8, 3.4, 4.4, 6.8, 9.6, 11.0, 18.2, 1.2, 1.4, 3.6, 0.8, 1.2, 2.2, 1.4, 1.4, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1157, 615, 39920, 839, 184, 179.4, 2.88, 0.000, 0.000
8351, 480, 16.6, 16.6, 17.0, 3.6, 4.8, 7.0, 11.0, 14.4, 18.6, 1.4, 1.6, 5.2, 1.0, 1.4, 2.6, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1160, 618, 40046, 913, 184, 190.4, 6.85, 0.000, 0.000
8665, 480, 16.6, 16.6, 19.4, 3.6, 4.8, 16.6, 10.4, 18.0, 29.8, 1.4, 1.8, 3.2, 1.0, 1.4, 2.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1197, 656, 40235, 942, 187, 180.8, 17.68, 0.000, 0.000
8991, 480, 16.6, 16.6, 16.8, 3.8, 5.0, 23.4, 11.8, 18.4, 27.0, 1.4, 1.8, 12.0, 1.0, 1.4, 9.4, 1.6, 1.6, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1183, 695, 40310, 961, 187, 276.6, 20.58, 0.000, 0.000
9310, 480, 16.6, 16.6, 17.2, 4.0, 5.0, 9.2, 10.4, 13.8, 17.6, 1.4, 1.8, 5.0, 1.0, 1.4, 3.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1182, 761, 40471, 1013, 187, 192.4, 4.20, 0.000, 0.000
9629, 480, 16.6, 16.6, 16.8, 3.6, 4.8, 7.4, 8.2, 10.2, 11.4, 1.4, 1.8, 4.2, 1.0, 1.4, 2.6, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1183, 796, 40645, 1114, 189, 179.2, 4.38, 0.000, 0.000
9951, 480, 16.6, 16.6, 16.8, 3.6, 4.8, 7.6, 8.0, 10.2, 13.4, 1.4, 1.6, 2.8, 1.0, 1.2, 6.2, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52.0, 1165, 796, 39931, 870, 185, 175.8, 4.43, 0.000, 0.000
