Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 2.6, 3.4, 4.4, 2.2, 3.0, 4.0, 2.6, 5.8, 71.4, 1.2, 1.8, 2.8, 1.2, 1.6, 2.4, 1.2, 1.6, 2.2, 0.0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 28.0, 1740, 703, 37650, 915, 190, 60.0, 3.28, 0.000, 0.000
637, 600, 2.4, 2.8, 6.6, 2.2, 2.6, 4.4, 5.4, 7.4, 8.8, 1.0, 1.2, 1.6, 1.0, 1.4, 2.0, 1.2, 1.4, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1774, 805, 38165, 1006, 191, 59.0, 3.23, 0.000, 0.000
957, 600, 2.6, 3.0, 6.6, 2.2, 2.8, 4.0, 5.6, 7.4, 9.0, 1.2, 1.4, 2.0, 1.2, 1.4, 2.4, 1.2, 1.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1742, 811, 38398, 1092, 193, 57.8, 2.62, 0.000, 0.000
1277, 600, 2.8, 3.4, 8.0, 2.4, 3.2, 4.4, 5.4, 6.4, 28.4, 1.2, 1.8, 2.6, 1.4, 1.8, 2.4, 1.2, 1.6, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1820, 872, 38860, 1184, 196, 59.6, 2.95, 0.000, 0.000
1597, 600, 2.6, 3.2, 4.4, 2.2, 3.0, 4.2, 4.8, 6.0, 7.0, 1.0, 1.4, 2.2, 1.2, 1.6, 3.6, 1.2, 1.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15.5, 1740, 834, 37864, 972, 189, 56.4, 2.55, 0.000, 0.000
1917, 600, 3.0, 3.6, 7.8, 2.2, 3.0, 5.2, 4.8, 5.6, 7.0, 1.6, 2.0, 2.8, 1.6, 2.0, 2.6, 1.2, 1.2, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1751, 840, 38094, 1038, 190, 58.4, 3.48, 0.000, 0.000
2237, 600, 3.0, 3.8, 6.6, 2.8, 3.6, 4.6, 5.0, 6.8, 8.4, 1.4, 2.0, 2.4, 1.4, 1.8, 3.0, 1.2, 1.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1745, 840, 38319, 1105, 193, 58.8, 5.53, 0.000, 0.000
2557, 600, 3.2, 3.6, 6.2, 2.6, 3.2, 5.2, 5.8, 7.8, 10.0, 1.4, 1.8, 2.0, 1.8, 2.4, 2.6, 1.6, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1750, 844, 38544, 1193, 193, 60.4, 3.53, 0.000, 0.000
2878, 600, 2.6, 3.2, 3.8, 2.4, 2.8, 3.6, 5.4, 8.0, 11.0, 1.2, 1.6, 2.2, 1.2, 1.4, 4.6, 1.2, 1.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1753, 844, 38798, 1276, 193, 65.2, 4.20, 0.000, 0.000
3198, 600, 3.0, 3.6, 6.6, 2.2, 2.8, 4.0, 5.2, 6.4, 9.0, 1.2, 1.4, 2.0, 1.8, 2.2, 5.4, 1.6, 2.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1814, 915, 39078, 1329, 195, 61.8, 3.55, 0.000, 0.000
3518, 600, 2.8, 3.2, 7.0, 2.2, 2.8, 6.6, 5.0, 7.0, 9.6, 1.4, 1.8, 2.2, 1.4, 1.6, 2.2, 1.2, 1.2, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 918, 39277, 1397, 197, 62.8, 4.78, 0.000, 0.000
3838, 600, 2.6, 3.0, 5.4, 2.2, 2.8, 4.4, 5.6, 7.4, 10.0, 1.0, 1.2, 3.0, 1.0, 1.4, 5.4, 1.2, 1.6, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1784, 923, 39475, 1458, 198, 61.6, 5.33, 0.000, 0.000
4158, 600, 2.4, 3.0, 5.4, 2.2, 3.0, 4.0, 4.8, 6.4, 8.2, 1.0, 1.4, 2.0, 1.0, 1.4, 4.4, 1.2, 1.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.0, 1744, 935, 38021, 993, 189, 57.6, 4.72, 0.000, 0.000
4478, 600, 3.4, 5.2, 9.4, 2.4, 3.6, 5.0, 4.8, 6.0, 9.2, 1.2, 1.6, 2.4, 1.8, 2.2, 7.4, 1.8, 2.2, 9.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1742, 937, 38312, 1090, 192, 58.0, 3.05, 0.000, 0.000
4798, 600, 2.4, 3.2, 4.2, 2.2, 2.8, 3.8, 4.6, 5.8, 8.6, 1.0, 1.4, 1.6, 1.0, 1.4, 3.0, 1.0, 1.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1758, 941, 38745, 1186, 195, 59.8, 2.00, 0.000, 0.000
5118, 600, 2.8, 4.8, 6.8, 2.2, 3.0, 5.0, 5.2, 6.8, 11.0, 1.2, 1.6, 2.2, 1.2, 1.4, 1.6, 1.2, 1.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1765, 950, 38966, 1246, 197, 58.0, 1.98, 0.000, 0.000
5438, 600, 2.2, 2.8, 6.6, 2.0, 2.4, 5.6, 5.2, 7.0, 9.2, 1.0, 1.4, 2.0, 1.0, 1.2, 5.0, 1.0, 1.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1771, 950, 39181, 1300, 201, 58.0, 3.40, 0.000, 0.000
5758, 600, 2.6, 3.0, 8.4, 2.2, 2.6, 6.0, 4.8, 6.6, 8.2, 1.2, 1.6, 2.2, 1.4, 1.6, 2.0, 1.2, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1769, 953, 39458, 1399, 203, 57.2, 1.65, 0.000, 0.000
6078, 600, 2.8, 3.8, 7.6, 2.6, 3.4, 5.2, 4.6, 6.2, 8.2, 1.2, 1.8, 2.8, 1.2, 1.6, 2.2, 1.2, 1.6, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1787, 953, 39720, 1506, 205, 57.6, 2.73, 0.000, 0.000
6398, 600, 2.4, 3.2, 3.8, 2.2, 2.8, 4.0, 4.6, 6.0, 7.8, 1.0, 1.2, 1.6, 1.0, 1.2, 1.6, 1.0, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30.0, 1750, 929, 38031, 927, 190, 58.4, 2.80, 0.000, 0.000
6718, 600, 2.4, 3.0, 7.0, 2.2, 2.8, 6.2, 4.6, 5.8, 8.2, 1.0, 1.4, 2.2, 1.0, 1.2, 4.0, 1.0, 1.0, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1730, 941, 38299, 976, 195, 57.0, 2.75, 0.000, 0.000
7038, 600, 2.6, 3.2, 5.0, 2.4, 3.0, 4.6, 5.0, 6.2, 8.2, 1.2, 1.8, 2.2, 1.2, 1.4, 5.0, 1.2, 1.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1738, 941, 38515, 1024, 197, 58.6, 2.50, 0.000, 0.000
7358, 600, 2.6, 3.2, 7.2, 2.2, 2.8, 6.0, 5.4, 6.6, 8.2, 1.2, 1.4, 2.0, 1.2, 1.6, 1.8, 1.2, 1.6, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1745, 944, 38722, 1086, 199, 57.0, 2.23, 0.000, 0.000
7678, 600, 3.0, 4.6, 8.2, 2.4, 3.2, 5.6, 5.2, 7.0, 7.8, 1.2, 1.6, 2.0, 1.4, 2.0, 3.6, 1.4, 2.0, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1753, 944, 38978, 1157, 200, 57.4, 2.55, 0.000, 0.000
7998, 600, 2.8, 3.4, 7.0, 2.2, 3.0, 6.2, 5.6, 7.2, 9.0, 1.0, 1.4, 2.0, 1.4, 2.0, 2.8, 1.2, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1763, 946, 39310, 1275, 202, 58.4, 2.40, 0.000, 0.000
8318, 600, 3.2, 4.0, 7.0, 3.0, 3.8, 5.4, 6.6, 9.2, 11.4, 1.4, 1.8, 2.4, 1.4, 1.6, 2.2, 1.2, 1.4, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1777, 946, 39538, 1417, 202, 63.4, 2.58, 0.000, 0.000
8639, 600, 2.8, 3.4, 5.4, 2.4, 3.2, 4.4, 5.4, 7.4, 9.4, 1.4, 1.8, 2.4, 1.4, 1.8, 2.6, 1.2, 1.4, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 954, 39987, 1591, 206, 56.0, 2.33, 0.000, 0.000
8958, 600, 2.8, 3.4, 7.0, 2.4, 3.2, 4.8, 5.0, 6.0, 7.6, 1.2, 1.6, 2.0, 1.2, 1.4, 4.2, 1.2, 1.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23.0, 1729, 936, 38292, 1019, 194, 58.8, 3.20, 0.000, 0.000
9279, 600, 3.0, 3.6, 7.2, 2.6, 3.4, 6.6, 4.6, 5.8, 6.6, 1.0, 1.4, 2.0, 1.0, 1.2, 4.2, 1.0, 1.0, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1732, 949, 38665, 1136, 202, 58.4, 2.98, 0.000, 0.000
9600, 600, 3.0, 3.8, 7.0, 2.8, 3.4, 5.2, 5.2, 6.8, 9.4, 1.4, 1.8, 2.2, 1.2, 1.6, 1.8, 1.2, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1742, 955, 38948, 1224, 207, 56.8, 2.35, 0.000, 0.000
9919, 600, 3.2, 4.0, 8.6, 3.0, 3.6, 5.0, 5.6, 7.2, 8.4, 1.6, 2.0, 2.2, 1.4, 2.0, 2.4, 1.2, 1.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1750, 962, 39157, 1284, 209, 58.6, 2.90, 0.000, 0.000
10239, 600, 2.6, 3.0, 8.4, 2.2, 2.8, 6.0, 5.4, 7.8, 10.4, 1.2, 1.6, 2.2, 1.0, 1.2, 1.6, 1.0, 1.0, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1758, 964, 39425, 1432, 211, 56.8, 3.05, 0.000, 0.000
10559, 600, 3.0, 3.8, 6.8, 2.6, 3.4, 5.0, 5.0, 6.2, 7.4, 1.2, 1.6, 2.2, 1.2, 1.6, 2.0, 1.2, 1.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1765, 969, 39724, 1547, 215, 57.8, 2.88, 0.000, 0.000
10879, 600, 2.8, 3.4, 7.6, 2.6, 3.2, 7.2, 4.4, 5.6, 6.8, 1.0, 1.2, 2.0, 1.0, 1.2, 2.2, 1.0, 1.2, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1764, 979, 40113, 1678, 221, 57.2, 2.92, 0.000, 0.000
11199, 600, 3.0, 4.0, 5.2, 2.6, 3.6, 4.4, 5.6, 7.0, 8.8, 1.4, 1.8, 2.4, 1.4, 1.6, 3.2, 1.2, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1780, 979, 40406, 1781, 223, 57.8, 3.08, 0.000, 0.000
11519, 600, 3.0, 3.6, 8.8, 2.6, 3.2, 6.4, 4.2, 6.0, 7.4, 1.0, 1.4, 2.0, 1.0, 1.2, 1.6, 1.0, 1.2, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.5, 1738, 946, 38218, 1024, 195, 57.2, 2.10, 0.000, 0.000
11839, 600, 2.6, 3.2, 7.8, 2.2, 3.0, 6.0, 4.4, 5.6, 7.6, 1.2, 1.6, 1.8, 1.0, 1.4, 5.0, 1.2, 1.6, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1749, 956, 38594, 1145, 202, 58.2, 3.48, 0.000, 0.000
12159, 600, 2.6, 3.2, 4.8, 2.4, 2.8, 4.4, 6.0, 9.0, 10.2, 1.2, 1.6, 2.0, 1.2, 1.4, 2.6, 1.0, 1.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1747, 960, 38971, 1310, 206, 57.2, 2.78, 0.000, 0.000
12479, 600, 2.8, 3.4, 5.2, 2.4, 3.0, 3.8, 5.4, 7.0, 7.8, 1.2, 1.4, 1.8, 1.2, 1.4, 5.0, 1.2, 1.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 960, 39212, 1387, 206, 58.0, 3.55, 0.000, 0.000
12799, 600, 2.6, 3.2, 4.6, 2.2, 2.6, 3.8, 4.8, 6.4, 7.8, 1.0, 1.4, 1.6, 1.0, 1.4, 4.6, 1.0, 1.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1759, 960, 39537, 1480, 211, 59.8, 3.65, 0.000, 0.000
