Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
575, 600, 17.6, 32.8, 62.4, 15.6, 32.8, 60.0, 20.6, 32.8, 200.0, 2.2, 3.2, 37.2, 4.0, 8.0, 9.4, 9.0, 10.8, 11.4, 0.0, 24, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 3, 42.0, 1731, 528, 74048, 3033, 335, 133.8, 8.88, 0.000, 0.000
895, 600, 9.4, 13.6, 34.8, 5.2, 13.4, 34.4, 22.2, 26.0, 30.2, 1.6, 1.8, 2.8, 6.2, 8.0, 9.0, 8.2, 9.2, 10.0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1746, 559, 74899, 3173, 343, 128.0, 4.05, 0.000, 0.000
1216, 600, 10.0, 12.0, 31.2, 4.6, 10.2, 26.2, 20.2, 25.4, 28.6, 1.6, 2.0, 3.0, 7.0, 9.0, 10.2, 8.8, 10.4, 11.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1755, 571, 75265, 3281, 352, 127.8, 4.40, 0.000, 0.000
1536, 600, 11.0, 20.2, 27.8, 6.4, 20.0, 26.6, 23.6, 27.6, 35.8, 1.8, 2.6, 5.8, 6.6, 9.2, 10.8, 9.2, 11.2, 12.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1767, 571, 75508, 3415, 354, 131.2, 5.30, 0.000, 0.000
1855, 600, 8.8, 13.4, 28.2, 4.6, 7.0, 18.2, 21.6, 25.2, 30.4, 1.4, 2.0, 3.0, 6.0, 7.8, 9.2, 7.8, 8.8, 9.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 590, 76169, 3523, 362, 128.2, 4.70, 0.000, 0.000
2177, 600, 12.0, 25.2, 34.0, 8.2, 24.0, 30.0, 23.4, 27.2, 30.2, 2.2, 3.0, 36.2, 6.0, 9.0, 11.4, 9.0, 10.8, 11.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 594, 76764, 3622, 371, 130.4, 6.30, 0.000, 0.000
2497, 600, 9.4, 10.8, 21.6, 4.8, 7.4, 21.2, 21.4, 25.0, 30.2, 1.8, 2.2, 3.6, 6.4, 8.2, 19.6, 8.4, 9.6, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1796, 616, 77404, 3747, 387, 126.4, 3.65, 0.000, 0.000
2816, 600, 10.6, 22.2, 33.4, 7.0, 20.6, 32.8, 23.0, 27.2, 30.4, 1.8, 2.4, 4.2, 6.2, 8.6, 10.6, 8.8, 10.0, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60.5, 1749, 549, 75767, 3166, 339, 128.8, 5.83, 0.002, 0.002
3136, 600, 8.4, 10.8, 30.4, 4.8, 7.8, 12.6, 19.6, 25.6, 29.0, 1.6, 2.2, 32.0, 5.8, 7.8, 9.0, 7.4, 9.6, 10.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1758, 565, 76951, 3318, 352, 128.2, 3.55, 0.000, 0.000
3456, 600, 11.6, 24.2, 37.6, 9.0, 23.4, 32.0, 24.0, 28.0, 33.0, 2.0, 2.8, 7.2, 5.2, 8.4, 10.2, 8.8, 10.4, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1762, 573, 77491, 3451, 364, 130.0, 6.05, 0.000, 0.000
3777, 600, 8.6, 10.6, 22.0, 4.6, 5.8, 10.4, 20.0, 25.2, 29.8, 1.6, 2.0, 3.0, 5.8, 7.2, 9.8, 7.8, 9.6, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1768, 573, 77887, 3552, 370, 129.0, 3.53, 0.000, 0.000
4097, 600, 9.8, 15.8, 29.6, 6.2, 14.4, 21.8, 22.8, 26.8, 33.4, 2.0, 2.6, 4.8, 6.2, 8.6, 9.6, 8.6, 10.0, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1769, 581, 78219, 3680, 377, 128.6, 4.55, 0.000, 0.000
