Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
33032, 600, 10.2, 15.2, 93.6, 9.8, 14.2, 92.8, 17.0, 25.2, 200.0, 2.8, 3.6, 6.4, 3.0, 3.8, 11.0, 2.6, 3.0, 3.6, 0.0, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 117.5, 2434, 473, 78865, 2976, 323, 60.6, 6.08, 0.039, 0.039
33352, 600, 9.6, 12.4, 36.4, 9.0, 12.0, 37.0, 12.8, 16.0, 25.6, 2.8, 3.4, 4.6, 3.0, 3.8, 4.8, 3.0, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2472, 476, 79202, 3025, 327, 57.8, 6.12, 0.046, 0.046
33672, 600, 9.6, 12.2, 119.2, 8.8, 12.4, 119.0, 11.8, 14.6, 21.0, 3.0, 4.8, 9.6, 3.2, 4.2, 5.4, 2.8, 3.6, 3.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2540, 490, 79579, 3117, 334, 59.6, 5.68, 0.022, 0.022
33993, 600, 9.8, 14.2, 45.0, 9.0, 12.8, 34.0, 10.6, 14.0, 31.2, 3.2, 4.6, 9.0, 3.2, 4.4, 6.8, 3.6, 4.0, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2673, 493, 79863, 3211, 345, 61.6, 6.45, 0.018, 0.018
34312, 600, 10.6, 13.6, 118.4, 9.8, 12.8, 117.0, 14.2, 17.8, 25.0, 3.4, 4.4, 8.2, 3.4, 4.8, 5.8, 3.6, 4.0, 5.2, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2544, 498, 80260, 3304, 349, 56.0, 5.53, 0.045, 0.045
34633, 600, 10.2, 15.2, 57.6, 9.2, 14.8, 57.8, 14.4, 18.8, 20.8, 3.4, 4.6, 7.4, 3.4, 4.6, 6.2, 3.8, 4.2, 5.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2596, 502, 80510, 3393, 356, 56.8, 8.07, 0.057, 0.057
34953, 600, 10.6, 16.8, 42.4, 10.0, 15.2, 40.6, 13.4, 17.4, 24.8, 3.2, 4.0, 5.6, 3.0, 4.2, 5.2, 3.2, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2525, 505, 80794, 3476, 360, 61.0, 11.75, 0.055, 0.055
35274, 600, 10.2, 14.0, 28.2, 9.6, 13.0, 27.4, 11.4, 14.4, 26.6, 3.0, 4.0, 9.6, 3.2, 4.2, 11.4, 2.8, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2534, 505, 80950, 3534, 363, 55.2, 5.03, 0.045, 0.045
35594, 600, 8.8, 11.0, 50.0, 7.8, 10.6, 51.6, 12.4, 14.4, 16.0, 2.8, 3.6, 5.6, 3.0, 4.0, 5.0, 3.2, 3.6, 9.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 131.0, 2506, 477, 79399, 3061, 334, 56.4, 4.65, 0.042, 0.042
35913, 600, 9.2, 13.2, 30.0, 8.4, 12.2, 29.0, 12.4, 14.4, 19.2, 3.0, 4.4, 9.2, 3.0, 4.0, 5.4, 3.2, 3.6, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2486, 483, 79704, 3163, 341, 58.8, 8.38, 0.045, 0.045
36233, 600, 12.8, 28.0, 71.0, 11.8, 25.2, 67.2, 18.6, 28.8, 52.2, 3.4, 6.0, 34.2, 3.2, 4.8, 18.0, 3.4, 4.4, 10.4, 0.0, 7, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 2492, 488, 80136, 3292, 350, 73.2, 13.65, 0.066, 0.066
36554, 600, 12.6, 20.0, 79.0, 10.2, 15.0, 79.4, 15.0, 19.8, 27.0, 3.8, 5.6, 13.4, 4.8, 8.4, 28.6, 4.0, 4.8, 13.8, 0.0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2512, 489, 80333, 3356, 353, 76.2, 6.10, 0.079, 0.079
36874, 600, 11.4, 16.6, 63.6, 9.0, 11.2, 40.0, 10.6, 13.8, 15.4, 4.0, 5.2, 13.2, 5.0, 8.0, 53.6, 4.0, 4.4, 14.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2571, 489, 80456, 3399, 357, 53.4, 4.95, 0.069, 0.069
37195, 600, 12.6, 18.8, 84.2, 9.8, 13.8, 40.4, 10.4, 14.6, 32.4, 4.0, 6.6, 19.8, 4.8, 7.8, 29.8, 4.2, 5.0, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2585, 492, 80606, 3439, 363, 55.0, 6.45, 0.057, 0.057
37515, 600, 12.4, 20.0, 97.4, 10.4, 18.6, 97.6, 15.0, 21.2, 28.2, 4.0, 6.6, 14.2, 4.2, 6.4, 14.0, 4.0, 4.6, 12.2, 0.0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2569, 492, 80713, 3474, 366, 56.8, 6.53, 0.058, 0.058
38157, 600, 11.8, 20.8, 72.0, 10.8, 20.4, 65.2, 15.2, 24.2, 36.2, 3.4, 5.2, 6.8, 3.6, 5.4, 16.6, 3.4, 4.6, 9.2, 0.0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 123.5, 2498, 489, 79857, 3234, 334, 81.4, 13.03, 0.059, 0.059
39058, 600, 5.8, 7.6, 13.8, 5.6, 7.2, 15.6, 7.6, 12.2, 200.0, 2.0, 2.6, 8.2, 1.8, 2.6, 3.6, 2.6, 3.4, 7.4, 0.0, 8, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 2, 277.5, 2498, 523, 75745, 2961, 323, 51.0, 2.10, 0.085, 0.085
