Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
24258, 600, 16.6, 17.0, 50.6, 6.6, 7.8, 20.4, 7.0, 15.0, 200.0, 3.2, 3.8, 7.0, 13.0, 13.6, 14.4, 5.4, 5.6, 6.8, 0.0, 4, 0, 2, 0, 0, 0, 1, 0, 1, 1, 1, 2, 7.5, 2606, 497, 78091, 3257, 334, 120.0, 5.03, 0.001, 0.001
24578, 480, 16.6, 17.4, 58.6, 8.0, 14.8, 39.8, 18.4, 24.0, 29.8, 2.8, 3.4, 5.0, 13.2, 14.6, 17.4, 5.0, 5.8, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30.5, 2527, 486, 77509, 3136, 332, 118.8, 7.55, 0.005, 0.005
24898, 480, 16.6, 17.2, 24.2, 8.8, 15.4, 22.0, 21.0, 25.0, 28.8, 3.2, 4.0, 8.6, 13.6, 14.6, 15.0, 5.0, 5.8, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2530, 526, 78062, 3415, 340, 148.2, 5.72, 0.035, 0.035
25220, 480, 16.6, 17.0, 50.2, 4.0, 5.6, 9.8, 14.0, 18.8, 22.8, 1.8, 2.4, 4.0, 14.0, 14.8, 15.4, 5.2, 6.0, 9.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2552, 526, 78450, 3534, 350, 154.0, 5.10, 0.007, 0.007
25539, 480, 16.6, 17.0, 33.4, 4.2, 5.8, 12.8, 15.6, 20.2, 24.6, 2.0, 2.2, 3.0, 14.0, 14.8, 15.2, 5.2, 6.0, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2556, 528, 78763, 3694, 354, 128.6, 5.30, 0.000, 0.000
25860, 480, 16.6, 17.0, 17.2, 4.0, 4.8, 7.8, 12.4, 16.8, 18.8, 1.8, 2.2, 2.8, 14.2, 14.8, 15.2, 4.8, 6.0, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2575, 539, 79122, 3793, 364, 136.6, 4.53, 0.004, 0.004
26180, 480, 16.6, 17.0, 50.2, 4.4, 7.4, 17.0, 16.4, 22.0, 25.4, 1.6, 2.0, 3.0, 14.2, 15.2, 15.6, 4.8, 5.6, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2566, 539, 79584, 4088, 368, 125.2, 5.35, 0.034, 0.034
26500, 480, 16.6, 17.0, 50.2, 4.2, 5.8, 23.8, 14.8, 18.6, 29.8, 1.6, 2.0, 3.0, 14.2, 15.0, 18.6, 5.0, 5.8, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2570, 542, 80001, 4195, 377, 147.6, 6.22, 0.023, 0.023
26820, 480, 16.6, 17.0, 50.4, 4.4, 6.8, 10.0, 16.6, 20.6, 23.0, 1.8, 2.2, 3.4, 14.0, 15.0, 17.8, 4.6, 5.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2589, 542, 80392, 4383, 381, 164.0, 5.33, 0.036, 0.036
27140, 480, 16.6, 17.0, 50.4, 4.0, 4.6, 18.6, 13.6, 16.8, 18.6, 1.8, 2.2, 2.8, 14.0, 14.8, 15.8, 5.0, 5.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83.5, 2546, 530, 77823, 3212, 340, 135.6, 4.60, 0.008, 0.008
27460, 480, 16.6, 17.0, 50.8, 4.0, 5.0, 16.0, 14.4, 17.8, 29.0, 2.0, 2.4, 3.8, 14.0, 14.6, 15.6, 5.0, 6.0, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2560, 532, 78260, 3380, 351, 132.4, 5.12, 0.023, 0.023
