Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
314, 600, 6.6, 7.2, 12.0, 3.2, 3.8, 8.2, 5.6, 9.8, 166.4, 2.0, 2.8, 14.8, 2.6, 3.4, 7.4, 5.4, 5.8, 6.2, 0.0, 5, 0, 2, 2, 0, 0, 1, 0, 3, 2, 6, 2, 78.0, 1461, 645, 34983, 570, 169, 133.0, 3.08, 0.000, 0.000
636, 600, 6.2, 6.4, 106.0, 3.2, 3.6, 103.0, 6.6, 9.6, 22.8, 1.8, 2.4, 21.2, 2.4, 3.0, 8.0, 4.8, 5.2, 5.2, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1518, 830, 35010, 575, 169, 124.2, 2.78, 0.000, 0.000
955, 600, 6.4, 7.0, 19.0, 3.0, 3.8, 7.0, 5.8, 8.8, 10.4, 2.0, 2.8, 7.4, 2.6, 3.2, 3.8, 5.2, 5.6, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1463, 846, 35067, 595, 169, 125.6, 3.28, 0.000, 0.000
1276, 600, 6.8, 8.0, 102.2, 3.2, 3.8, 5.8, 6.0, 9.8, 21.4, 2.0, 2.8, 9.0, 2.8, 4.4, 6.2, 5.4, 6.6, 7.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 13.5, 1545, 831, 34678, 591, 166, 125.0, 3.17, 0.000, 0.000
1596, 600, 5.8, 6.4, 18.2, 2.4, 3.2, 5.0, 4.2, 5.6, 8.8, 1.4, 1.6, 11.8, 3.2, 3.8, 5.4, 4.8, 5.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1451, 831, 34871, 630, 168, 126.0, 2.28, 0.000, 0.000
1916, 600, 6.0, 6.4, 7.4, 2.4, 3.0, 3.8, 3.2, 4.4, 5.4, 1.4, 1.6, 2.4, 3.4, 4.0, 4.8, 4.8, 5.4, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1456, 834, 34933, 641, 170, 124.2, 1.95, 0.000, 0.000
2235, 600, 6.6, 7.0, 20.4, 3.6, 4.2, 6.4, 5.4, 7.4, 28.2, 1.6, 2.0, 2.8, 3.6, 4.2, 5.4, 5.4, 5.8, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1480, 840, 35688, 765, 177, 124.4, 2.90, 0.000, 0.000
2557, 600, 6.8, 8.2, 9.2, 3.2, 3.8, 8.4, 6.6, 9.4, 12.8, 1.6, 2.0, 2.6, 4.2, 5.8, 7.0, 5.6, 7.2, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1477, 843, 35798, 782, 178, 125.2, 2.42, 0.000, 0.000
2876, 600, 6.8, 7.8, 18.4, 3.6, 4.4, 6.2, 7.6, 10.2, 31.6, 1.8, 2.2, 10.6, 4.0, 5.4, 8.6, 5.6, 6.6, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1502, 847, 36137, 860, 181, 126.4, 2.50, 0.000, 0.000
3196, 600, 6.8, 8.2, 22.2, 3.8, 4.6, 9.4, 7.6, 10.4, 15.4, 1.8, 2.2, 4.6, 3.6, 5.4, 6.0, 5.6, 7.0, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1511, 847, 36231, 902, 181, 124.8, 2.58, 0.000, 0.000
