Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
358, 600, 4.2, 4.8, 5.2, 1.8, 2.2, 3.2, 6.0, 6.8, 92.8, 1.0, 1.2, 2.0, 2.4, 3.0, 3.4, 3.8, 4.0, 4.6, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 60.0, 2130, 580, 71408, 2679, 307, 97.6, 25.73, 0.000, 0.000
678, 600, 4.2, 4.8, 11.6, 1.8, 2.2, 3.6, 5.4, 6.2, 6.8, 1.0, 1.2, 2.2, 2.4, 3.0, 4.0, 3.8, 4.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2145, 600, 71458, 2707, 309, 98.6, 1.85, 0.000, 0.000
998, 600, 3.4, 3.8, 4.0, 1.4, 1.8, 2.2, 5.8, 7.6, 22.6, 0.8, 1.0, 1.2, 2.0, 2.4, 2.6, 3.0, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2138, 604, 71682, 2732, 311, 107.4, 16.00, 0.000, 0.000
1317, 600, 3.8, 4.4, 5.0, 1.6, 2.2, 2.8, 5.0, 5.8, 9.6, 1.0, 1.4, 1.8, 2.0, 2.4, 2.8, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2141, 605, 71749, 2757, 314, 95.0, 2.28, 0.000, 0.000
1637, 600, 3.8, 4.2, 10.6, 1.6, 1.8, 8.0, 4.6, 5.2, 9.0, 1.0, 1.2, 3.8, 2.0, 2.4, 4.2, 3.4, 3.6, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2144, 605, 71924, 2785, 320, 94.4, 1.35, 0.000, 0.000
1958, 600, 4.6, 5.2, 5.4, 2.0, 2.4, 3.2, 5.4, 6.4, 7.4, 1.2, 1.4, 1.6, 2.6, 3.2, 3.6, 4.2, 4.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14.5, 2139, 581, 71471, 2708, 316, 94.8, 12.82, 0.000, 0.000
2278, 600, 3.8, 4.2, 4.4, 1.6, 2.0, 2.4, 5.2, 6.4, 8.8, 0.8, 1.0, 1.4, 2.2, 2.6, 2.8, 3.2, 3.4, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2146, 585, 71532, 2741, 318, 101.2, 1.43, 0.000, 0.000
2598, 600, 4.2, 4.6, 5.0, 1.8, 2.2, 3.2, 5.0, 6.0, 7.2, 1.0, 1.2, 1.8, 2.4, 2.8, 3.0, 3.8, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2147, 589, 71687, 2760, 322, 95.8, 2.88, 0.000, 0.000
2918, 600, 4.0, 4.6, 5.0, 1.8, 2.4, 2.8, 5.8, 7.0, 8.4, 1.0, 1.2, 1.8, 2.2, 2.8, 3.2, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2146, 593, 71778, 2780, 325, 95.0, 1.90, 0.000, 0.000
3238, 600, 3.8, 4.2, 7.8, 1.6, 2.2, 6.0, 5.6, 6.6, 8.0, 0.8, 1.2, 2.4, 2.4, 2.8, 3.0, 3.4, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2145, 593, 71828, 2799, 327, 95.0, 1.55, 0.000, 0.000
3558, 600, 4.2, 4.8, 5.2, 1.8, 2.6, 4.6, 5.2, 6.0, 7.4, 1.2, 1.4, 1.8, 2.2, 2.8, 3.2, 3.8, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2149, 593, 71872, 2817, 329, 95.2, 2.75, 0.000, 0.000
3878, 600, 3.2, 3.4, 4.0, 1.4, 1.8, 3.2, 4.4, 5.2, 8.0, 0.8, 0.8, 1.2, 1.8, 2.2, 2.4, 2.8, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2149, 594, 71923, 2832, 331, 94.6, 1.05, 0.000, 0.000
4198, 600, 4.0, 4.8, 11.2, 1.8, 2.0, 10.2, 4.2, 5.0, 5.8, 1.0, 1.2, 2.4, 2.2, 2.8, 3.2, 3.8, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16.0, 2139, 591, 71473, 2675, 309, 95.2, 16.08, 0.000, 0.000
4519, 600, 3.8, 4.4, 4.8, 1.8, 2.2, 3.2, 5.2, 6.0, 7.8, 1.0, 1.2, 1.6, 2.2, 2.6, 3.0, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2145, 591, 71545, 2690, 311, 95.6, 14.82, 0.000, 0.000
4839, 600, 4.0, 4.6, 5.0, 1.8, 2.2, 2.8, 5.4, 6.8, 10.2, 1.0, 1.2, 1.4, 2.2, 2.8, 3.2, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2150, 593, 71622, 2715, 315, 113.0, 4.65, 0.000, 0.000
5158, 600, 4.2, 4.6, 5.0, 1.8, 2.2, 3.2, 4.6, 5.8, 7.2, 1.0, 1.2, 1.6, 2.6, 3.0, 3.2, 3.6, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2149, 593, 71689, 2735, 319, 96.4, 9.03, 0.000, 0.000
