Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 2.8, 3.2, 4.8, 2.6, 3.2, 4.6, 9.0, 14.6, 127.6, 1.2, 1.4, 2.0, 1.0, 1.2, 1.4, 1.6, 2.0, 2.0, 0.0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 107.0, 903, 768, 36463, 704, 175, 108.4, 1.20, 0.000, 0.000
637, 600, 2.6, 3.0, 5.6, 2.4, 3.0, 4.8, 7.6, 9.0, 10.2, 1.2, 1.4, 2.2, 1.0, 1.2, 2.2, 1.4, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 927, 808, 36652, 738, 175, 109.0, 1.20, 0.000, 0.000
958, 600, 3.0, 3.6, 7.6, 2.8, 3.6, 5.4, 8.2, 12.8, 14.0, 1.4, 1.8, 2.0, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 913, 843, 36871, 805, 175, 111.0, 1.18, 0.000, 0.000
1278, 600, 3.4, 4.0, 7.2, 3.2, 3.8, 5.8, 10.8, 14.0, 15.4, 1.4, 1.6, 2.0, 1.0, 1.2, 1.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 909, 843, 37075, 918, 176, 109.4, 1.20, 0.000, 0.000
1598, 600, 2.8, 3.4, 4.2, 2.6, 3.2, 3.8, 6.0, 8.2, 10.2, 1.2, 1.6, 2.0, 1.0, 1.2, 1.6, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 907, 847, 37190, 937, 178, 109.8, 1.20, 0.000, 0.000
1918, 600, 2.8, 3.4, 4.2, 2.6, 3.2, 3.6, 8.6, 14.0, 16.4, 1.2, 1.4, 1.6, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 921, 861, 37393, 1024, 180, 109.6, 0.95, 0.000, 0.000
2238, 600, 2.8, 3.4, 4.0, 2.6, 3.2, 3.8, 7.0, 9.2, 10.0, 1.2, 1.4, 2.4, 1.0, 1.2, 3.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 922, 873, 37555, 1061, 184, 109.4, 0.95, 0.000, 0.000
2558, 600, 3.0, 3.6, 7.6, 2.8, 3.4, 5.0, 8.6, 11.6, 15.2, 1.2, 1.6, 1.8, 1.0, 1.2, 1.4, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 923, 881, 37707, 1102, 184, 109.2, 1.20, 0.000, 0.000
2879, 600, 3.0, 3.8, 6.2, 2.8, 3.4, 5.0, 11.8, 18.6, 23.2, 1.2, 1.6, 2.6, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23.0, 890, 876, 36763, 872, 178, 104.8, 1.30, 0.000, 0.000
3199, 600, 3.2, 3.8, 5.2, 2.8, 3.4, 5.0, 5.4, 8.8, 9.6, 1.2, 1.4, 1.8, 1.0, 1.2, 1.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 892, 912, 37434, 942, 186, 103.4, 1.25, 0.000, 0.000
3518, 600, 3.4, 4.0, 6.4, 3.2, 3.8, 5.4, 9.2, 15.2, 16.4, 1.4, 1.6, 2.0, 1.2, 1.4, 1.6, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 902, 912, 37561, 1005, 186, 107.4, 1.23, 0.000, 0.000
3838, 600, 3.2, 4.0, 7.0, 3.0, 3.8, 5.2, 9.2, 13.6, 16.8, 1.4, 1.6, 2.0, 1.2, 1.4, 1.6, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 922, 940, 37838, 1107, 187, 106.8, 1.23, 0.000, 0.000
4158, 600, 3.4, 4.0, 6.0, 3.0, 3.6, 4.8, 7.4, 13.0, 15.0, 1.4, 1.6, 2.0, 1.2, 1.4, 1.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 906, 951, 38045, 1205, 189, 108.4, 1.45, 0.000, 0.000
4478, 600, 3.2, 3.8, 5.2, 2.8, 3.4, 5.0, 6.8, 8.8, 11.0, 1.4, 1.6, 4.2, 1.2, 1.4, 6.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 939, 984, 38222, 1238, 191, 107.8, 1.27, 0.000, 0.000
4798, 600, 3.0, 3.6, 4.4, 2.6, 3.2, 4.0, 8.2, 10.0, 15.6, 1.2, 1.4, 2.0, 1.0, 1.2, 1.4, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 909, 985, 38389, 1269, 191, 109.2, 1.12, 0.000, 0.000
5119, 600, 3.2, 4.0, 7.0, 2.8, 3.6, 5.6, 8.2, 11.0, 13.8, 1.4, 1.6, 1.8, 1.0, 1.2, 1.8, 1.6, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21.5, 893, 948, 36822, 768, 176, 109.2, 1.35, 0.000, 0.000
5438, 600, 3.0, 3.8, 4.4, 2.8, 3.4, 3.8, 8.0, 13.6, 19.2, 1.2, 1.4, 1.8, 1.0, 1.4, 1.8, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 887, 952, 37048, 895, 179, 107.8, 1.10, 0.000, 0.000
5759, 600, 3.2, 3.8, 5.0, 3.0, 3.6, 4.8, 7.6, 9.8, 12.8, 1.2, 1.4, 2.0, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 892, 955, 37315, 941, 181, 107.4, 1.58, 0.000, 0.000
6078, 600, 3.0, 3.6, 6.2, 2.8, 3.4, 4.6, 6.4, 9.0, 12.2, 1.4, 1.6, 1.8, 1.0, 1.2, 1.6, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 899, 955, 37464, 986, 181, 106.4, 1.12, 0.000, 0.000
6399, 600, 3.4, 4.0, 7.0, 3.0, 3.8, 4.8, 8.6, 12.4, 16.4, 1.2, 1.4, 1.8, 1.0, 1.2, 1.6, 1.6, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 907, 955, 37642, 1076, 183, 106.2, 1.25, 0.000, 0.000
6720, 600, 3.0, 3.6, 4.0, 2.8, 3.4, 4.0, 9.0, 10.6, 12.4, 1.2, 1.6, 3.0, 1.0, 1.2, 1.4, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 906, 979, 37791, 1120, 185, 108.6, 1.18, 0.000, 0.000
7039, 600, 3.2, 3.8, 4.4, 2.8, 3.4, 4.2, 8.2, 11.4, 16.0, 1.2, 1.4, 1.8, 1.0, 1.2, 1.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 910, 979, 37916, 1170, 185, 107.4, 1.35, 0.000, 0.000
7359, 600, 3.2, 3.8, 4.8, 2.8, 3.6, 4.6, 9.0, 13.0, 15.6, 1.2, 1.4, 1.8, 1.0, 1.2, 1.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 917, 983, 38195, 1256, 187, 107.2, 1.15, 0.000, 0.000
7679, 600, 3.0, 3.8, 10.0, 2.8, 3.4, 8.8, 8.8, 12.2, 17.8, 1.2, 1.4, 2.8, 1.0, 1.2, 1.6, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21.0, 891, 980, 37064, 796, 179, 107.8, 1.12, 0.000, 0.000
7999, 600, 3.0, 3.6, 5.6, 2.8, 3.4, 5.0, 8.4, 11.4, 12.4, 1.4, 1.8, 3.0, 1.2, 1.4, 2.0, 1.8, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 898, 980, 37218, 845, 179, 106.2, 1.10, 0.000, 0.000
