Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
313, 600, 5.4, 9.0, 48.8, 4.4, 7.0, 47.0, 12.8, 15.6, 200.0, 1.8, 2.4, 4.0, 2.0, 2.4, 3.6, 1.6, 1.6, 2.2, 0.0, 6, 0, 1, 1, 0, 0, 2, 0, 0, 2, 2, 3, 24.5, 1296, 376, 35703, 565, 101, 125.2, 5.50, 0.000, 0.000
633, 600, 5.2, 7.8, 98.6, 4.4, 7.4, 16.4, 11.6, 15.0, 20.4, 1.8, 2.4, 8.2, 2.0, 2.6, 4.2, 1.6, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1281, 386, 35814, 579, 101, 122.8, 4.65, 0.000, 0.000
954, 600, 6.4, 14.6, 18.0, 5.6, 9.4, 17.2, 10.8, 15.2, 23.2, 2.2, 2.8, 7.8, 2.2, 2.8, 8.0, 1.6, 1.6, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1435, 409, 36031, 691, 101, 125.8, 4.15, 0.000, 0.000
1277, 600, 5.4, 8.4, 17.0, 4.6, 7.8, 11.6, 13.6, 23.8, 45.4, 1.8, 2.6, 3.2, 2.0, 2.4, 3.2, 1.6, 1.6, 1.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1289, 460, 36719, 750, 102, 126.8, 4.03, 0.000, 0.000
1597, 600, 3.6, 5.8, 10.6, 3.0, 5.4, 9.4, 8.2, 12.4, 16.2, 1.4, 1.8, 3.8, 1.4, 1.8, 4.0, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1268, 460, 36928, 789, 104, 118.8, 2.15, 0.000, 0.000
1918, 600, 3.4, 5.0, 6.6, 2.8, 4.2, 6.8, 8.6, 12.0, 16.8, 1.4, 1.8, 2.4, 1.4, 1.6, 2.4, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1284, 471, 37192, 863, 107, 118.6, 2.12, 0.000, 0.000
2238, 600, 3.6, 5.0, 7.2, 3.2, 4.4, 6.6, 9.0, 12.2, 27.2, 1.4, 1.8, 3.4, 1.4, 1.8, 2.2, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1277, 474, 37332, 890, 110, 120.8, 3.10, 0.001, 0.001
2558, 600, 4.0, 6.0, 12.6, 3.4, 5.6, 9.8, 9.8, 13.4, 18.0, 1.6, 2.2, 4.2, 1.4, 2.0, 3.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 27.5, 1272, 470, 36488, 599, 103, 121.4, 2.95, 0.000, 0.000
2878, 600, 3.8, 5.6, 8.4, 3.2, 5.4, 8.0, 8.4, 11.4, 19.2, 1.4, 2.0, 2.4, 1.4, 1.8, 2.4, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1284, 477, 36577, 673, 103, 117.4, 2.85, 0.000, 0.000
3199, 600, 3.8, 5.8, 7.6, 3.2, 5.6, 8.4, 8.4, 12.0, 15.6, 1.4, 1.8, 2.4, 1.4, 1.8, 2.8, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1274, 477, 36698, 757, 103, 118.2, 2.25, 0.000, 0.000
