Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
3331, 246, 32.6, 48.0, 114.2, 26.6, 42.2, 107.6, 14.0, 29.8, 86.6, 13.4, 23.2, 27.2, 6.6, 12.0, 19.4, 17.8, 20.0, 20.4, 0.0, 33, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1171, 396, 41445, 812, 115, 141.6, 22.15, 0.000, 0.000
3651, 215, 37.2, 53.2, 89.6, 32.2, 48.6, 95.0, 33.8, 49.2, 92.4, 12.0, 20.0, 28.8, 5.6, 10.4, 16.4, 15.4, 16.0, 16.2, 0.0, 88, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1199, 400, 41631, 864, 117, 110.0, 17.83, 0.002, 0.002
3971, 193, 41.8, 66.6, 93.2, 36.8, 65.0, 88.4, 38.6, 64.4, 88.8, 12.2, 20.4, 37.0, 6.0, 10.6, 16.4, 15.4, 15.6, 15.8, 0.0, 92, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0.0, 1231, 407, 41941, 916, 121, 119.4, 19.80, 0.003, 0.003
4294, 190, 42.2, 63.0, 82.0, 38.0, 58.6, 66.4, 40.0, 60.0, 75.8, 11.2, 19.0, 34.6, 5.8, 10.6, 13.8, 12.2, 15.4, 15.4, 0.0, 100, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0.0, 1247, 407, 42362, 1159, 124, 124.6, 18.93, 0.000, 0.000
4615, 253, 31.6, 46.8, 62.6, 26.6, 42.6, 56.6, 29.0, 43.0, 53.8, 11.6, 19.6, 24.6, 5.6, 10.8, 15.4, 10.4, 10.6, 11.0, 0.0, 43, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 592.5, 1223, 373, 40712, 725, 110, 120.6, 15.20, 0.000, 0.000
4933, 238, 33.8, 49.6, 79.2, 29.0, 44.0, 63.0, 30.6, 46.0, 58.2, 11.2, 20.4, 24.4, 5.4, 10.2, 20.0, 10.4, 11.0, 11.2, 0.0, 63, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1229, 380, 40944, 780, 114, 111.6, 16.30, 0.000, 0.000
5254, 265, 30.4, 42.2, 64.2, 25.8, 39.0, 58.4, 26.4, 37.8, 54.6, 10.4, 17.2, 22.6, 5.0, 9.4, 15.2, 9.6, 10.6, 11.4, 0.0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1229, 386, 41190, 880, 120, 124.6, 15.45, 0.000, 0.000
5575, 237, 33.8, 48.8, 67.0, 30.0, 45.2, 64.6, 31.8, 47.0, 65.8, 10.2, 15.8, 30.8, 5.6, 11.0, 16.8, 10.0, 10.8, 13.0, 0.0, 65, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1242, 413, 41325, 905, 121, 126.6, 18.05, 0.000, 0.000
5898, 287, 28.0, 40.2, 46.4, 21.8, 38.4, 42.4, 26.0, 38.0, 49.2, 7.2, 13.8, 24.2, 4.0, 10.2, 17.4, 10.0, 10.4, 10.4, 0.0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1243, 424, 41526, 978, 123, 132.6, 13.48, 0.000, 0.000
6218, 360, 22.2, 22.4, 67.0, 8.4, 10.0, 22.4, 13.8, 19.0, 32.0, 2.4, 2.8, 4.2, 1.8, 2.4, 4.0, 9.6, 10.2, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1243, 427, 41655, 999, 125, 113.8, 10.73, 0.000, 0.000
6539, 361, 22.2, 22.4, 22.8, 8.6, 9.8, 12.4, 13.8, 15.8, 17.6, 2.6, 3.2, 4.2, 2.0, 2.4, 4.0, 9.8, 10.2, 10.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1248, 431, 41704, 1027, 125, 104.2, 9.23, 0.000, 0.000
6859, 361, 22.2, 22.4, 22.6, 8.6, 10.0, 20.0, 13.4, 15.4, 24.8, 2.6, 3.0, 4.2, 1.8, 2.4, 4.0, 10.0, 10.2, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1250, 437, 41813, 1052, 129, 100.2, 9.20, 0.000, 0.000
7180, 361, 22.2, 22.4, 23.0, 8.8, 10.4, 17.2, 14.4, 17.4, 25.0, 2.6, 3.0, 5.2, 1.8, 2.4, 3.6, 10.2, 11.4, 13.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 156.5, 1235, 419, 40843, 714, 113, 106.4, 10.93, 0.000, 0.000
7500, 361, 22.2, 22.4, 29.0, 9.0, 10.0, 27.2, 14.6, 17.4, 27.4, 2.4, 3.0, 3.8, 1.8, 2.4, 4.2, 9.8, 10.2, 10.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1240, 419, 40958, 731, 113, 127.2, 9.68, 0.000, 0.000
7821, 356, 22.6, 22.6, 70.2, 8.6, 11.4, 26.4, 13.0, 15.6, 28.0, 2.8, 4.0, 8.0, 2.0, 3.0, 8.0, 9.8, 10.6, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 1274, 490, 41092, 759, 116, 101.6, 9.60, 0.000, 0.000
