Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
334, 600, 22.4, 41.8, 200.0, 14.6, 41.2, 200.0, 29.6, 48.6, 200.0, 3.8, 5.2, 34.6, 3.8, 6.0, 15.6, 2.8, 4.2, 9.4, 0.0, 66, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 310.5, 1600, 529, 38163, 745, 109, 48.8, 8.78, 0.000, 0.000
654, 459, 17.4, 27.0, 37.0, 14.0, 26.0, 35.8, 22.4, 29.6, 36.6, 4.6, 6.4, 9.6, 4.6, 6.2, 9.0, 2.8, 2.8, 5.0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1549, 572, 38363, 834, 111, 45.4, 6.80, 0.000, 0.000
974, 449, 17.8, 27.8, 50.0, 14.6, 27.2, 45.2, 23.8, 30.8, 45.8, 4.2, 6.2, 7.6, 4.2, 5.6, 8.6, 2.8, 2.8, 5.2, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1551, 572, 38505, 898, 112, 44.6, 7.55, 0.000, 0.000
1293, 440, 18.2, 28.0, 47.2, 14.0, 26.8, 37.8, 23.2, 30.2, 36.6, 4.6, 6.6, 9.0, 5.2, 9.2, 11.6, 3.0, 3.6, 5.8, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47.5, 1529, 544, 37827, 683, 107, 47.2, 6.93, 0.000, 0.000
1613, 448, 17.8, 27.6, 71.6, 14.2, 25.6, 66.8, 21.4, 28.4, 33.8, 4.6, 6.6, 11.4, 4.6, 6.4, 11.2, 2.6, 2.8, 5.2, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1552, 551, 38020, 820, 108, 44.2, 6.93, 0.000, 0.000
1935, 440, 18.2, 28.4, 39.6, 14.6, 27.4, 39.0, 23.0, 31.2, 41.4, 4.2, 5.6, 13.4, 4.6, 7.0, 14.0, 3.0, 4.0, 4.2, 0.0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1576, 634, 38118, 845, 109, 45.8, 6.83, 0.000, 0.000
2254, 405, 19.8, 31.6, 43.8, 16.8, 31.2, 44.0, 24.4, 33.4, 44.6, 4.0, 6.2, 8.4, 4.0, 5.8, 11.2, 2.8, 3.0, 4.0, 0.0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1564, 644, 38407, 1044, 109, 54.4, 10.07, 0.000, 0.000
2575, 473, 17.0, 23.0, 36.4, 11.6, 22.2, 38.6, 19.6, 28.2, 36.2, 5.0, 6.6, 14.8, 5.6, 8.8, 12.4, 3.0, 3.6, 4.8, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1546, 654, 38671, 1116, 113, 46.6, 4.62, 0.000, 0.000
2896, 451, 17.8, 28.0, 41.0, 14.2, 26.8, 39.8, 23.6, 31.4, 41.6, 4.2, 5.8, 8.0, 4.2, 5.8, 8.0, 2.8, 2.8, 5.0, 0.0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1550, 655, 38731, 1122, 113, 47.8, 6.55, 0.000, 0.000
3216, 452, 17.8, 27.4, 51.4, 13.8, 26.0, 47.8, 22.8, 30.2, 34.0, 4.6, 6.4, 8.4, 5.2, 8.2, 11.0, 3.2, 4.0, 4.2, 0.0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1556, 658, 38820, 1176, 113, 49.0, 6.95, 0.000, 0.000
