Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
13869, 600, 6.6, 9.2, 20.8, 6.0, 8.2, 13.0, 6.8, 17.6, 200.0, 2.6, 6.8, 19.4, 2.6, 3.8, 5.2, 3.0, 3.6, 5.2, 0.0, 7, 0, 3, 0, 0, 0, 4, 0, 2, 1, 3, 7, 149.5, 1531, 385, 36282, 580, 102, 109.0, 2.67, 0.000, 0.000
14190, 600, 7.2, 10.0, 32.6, 6.4, 9.2, 21.0, 10.0, 13.4, 20.6, 1.8, 2.2, 11.0, 2.4, 3.6, 5.4, 2.8, 3.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1544, 394, 36577, 633, 104, 112.4, 3.25, 0.000, 0.000
14510, 600, 7.6, 14.6, 111.6, 6.8, 11.6, 30.0, 12.0, 24.0, 30.6, 2.2, 3.8, 21.0, 2.4, 3.4, 5.0, 2.8, 3.4, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1521, 400, 36785, 689, 108, 114.2, 3.88, 0.000, 0.000
14830, 600, 7.2, 10.0, 195.0, 5.4, 7.2, 195.2, 12.2, 20.2, 200.0, 2.8, 9.0, 28.4, 2.8, 4.2, 8.0, 3.2, 4.6, 8.2, 0.0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1534, 400, 36934, 705, 108, 109.4, 4.00, 0.000, 0.000
15150, 600, 6.8, 8.8, 12.2, 6.2, 8.4, 11.8, 11.4, 13.6, 14.6, 2.6, 6.4, 12.8, 2.6, 3.6, 5.2, 2.8, 3.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1555, 406, 37092, 729, 111, 109.2, 2.70, 0.000, 0.000
15470, 600, 7.0, 9.8, 15.2, 6.2, 8.4, 11.8, 10.6, 12.8, 14.2, 2.4, 7.0, 16.8, 2.6, 3.8, 5.6, 2.8, 3.2, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1584, 465, 37153, 743, 112, 108.6, 2.58, 0.000, 0.000
15790, 600, 7.0, 9.6, 14.0, 6.6, 9.2, 14.2, 8.4, 9.8, 13.4, 2.0, 2.4, 8.4, 2.4, 3.4, 5.4, 2.8, 3.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1644, 465, 37206, 751, 112, 108.6, 2.70, 0.000, 0.000
16110, 600, 6.6, 8.6, 12.4, 6.0, 8.6, 11.2, 7.6, 8.8, 10.0, 2.0, 2.6, 8.0, 2.4, 3.6, 5.0, 2.8, 3.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41.0, 1568, 472, 36645, 572, 103, 108.2, 2.48, 0.000, 0.000
16430, 600, 6.4, 8.6, 15.0, 6.0, 8.0, 10.2, 7.6, 9.6, 11.0, 2.0, 2.4, 11.4, 2.4, 3.4, 5.2, 2.8, 3.2, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1545, 478, 36696, 582, 103, 108.6, 2.55, 0.000, 0.000
16750, 600, 6.8, 9.0, 29.6, 6.2, 8.6, 11.6, 8.2, 11.8, 12.8, 2.0, 2.8, 10.0, 2.4, 3.4, 7.0, 2.6, 3.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1553, 484, 36763, 594, 103, 110.0, 2.55, 0.000, 0.000
17071, 600, 8.8, 10.8, 39.0, 6.2, 8.6, 10.8, 8.2, 10.0, 12.2, 2.2, 3.0, 14.6, 5.2, 6.6, 36.0, 3.6, 4.8, 5.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1628, 485, 36826, 606, 103, 110.8, 3.05, 0.000, 0.000
17391, 600, 8.6, 10.6, 28.0, 6.2, 8.4, 12.0, 7.6, 11.0, 12.8, 2.4, 3.0, 17.8, 5.2, 6.6, 8.0, 3.6, 4.8, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1640, 485, 36872, 615, 103, 110.0, 2.60, 0.000, 0.000
17712, 600, 8.4, 10.0, 26.8, 5.8, 7.8, 11.2, 8.4, 10.0, 13.0, 2.2, 2.6, 25.6, 5.2, 6.4, 8.8, 3.6, 4.8, 5.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1595, 485, 36903, 621, 103, 110.2, 2.50, 0.000, 0.000
18031, 600, 5.6, 6.6, 7.8, 4.0, 5.0, 8.2, 6.4, 8.2, 11.0, 1.8, 2.2, 2.8, 3.0, 4.0, 4.8, 3.6, 5.0, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1589, 493, 36906, 623, 103, 109.6, 1.93, 0.000, 0.000
18351, 600, 5.6, 6.6, 9.6, 4.2, 5.8, 7.6, 7.2, 9.6, 12.8, 1.8, 2.2, 2.8, 3.0, 3.8, 7.6, 3.8, 4.8, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1570, 497, 36944, 631, 104, 108.8, 1.52, 0.000, 0.000
