Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
316, 600, 19.4, 23.4, 200.0, 13.2, 19.6, 200.0, 10.4, 13.4, 200.0, 5.0, 7.0, 45.8, 4.6, 6.6, 29.4, 16.2, 18.6, 26.2, 0.0, 7, 0, 1, 0, 0, 0, 3, 0, 1, 0, 5, 2, 86.0, 1610, 628, 35329, 640, 176, 57.6, 7.50, 0.000, 0.000
637, 376, 21.2, 38.4, 99.2, 16.8, 23.4, 81.6, 5.8, 8.8, 27.0, 5.4, 7.2, 10.4, 4.6, 6.2, 13.2, 17.6, 20.0, 23.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0.0, 1446, 631, 35450, 705, 177, 61.0, 10.07, 0.000, 0.000
957, 417, 19.2, 24.2, 42.4, 15.8, 21.6, 36.8, 9.4, 15.0, 17.2, 5.4, 7.2, 10.2, 4.6, 6.0, 17.8, 16.6, 17.8, 18.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 205.5, 1562, 637, 34975, 634, 174, 59.8, 7.03, 0.000, 0.000
1278, 387, 20.6, 29.0, 150.0, 17.0, 24.4, 143.4, 6.0, 8.4, 17.6, 5.4, 7.0, 9.8, 4.6, 6.0, 15.0, 17.2, 20.2, 28.8, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0.0, 1187, 648, 35911, 665, 175, 59.8, 9.07, 0.000, 0.000
1598, 411, 19.6, 24.0, 82.8, 17.2, 22.0, 45.6, 5.6, 8.2, 11.6, 5.6, 7.4, 10.2, 4.8, 6.2, 8.0, 16.8, 17.8, 22.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1185, 655, 36076, 705, 180, 59.6, 7.47, 0.000, 0.000
1907, 265, 31.0, 41.0, 200.0, 19.6, 24.6, 200.0, 8.6, 15.0, 46.6, 6.2, 8.6, 11.6, 5.0, 6.2, 20.2, 24.8, 34.4, 49.2, 0.0, 2, 0, 0, 0, 18, 0, 1, 0, 0, 0, 3, 0, 0.0, 1203, 746, 36471, 725, 181, 61.6, 12.38, 0.000, 0.000
3554, 600, 14.4, 17.2, 40.4, 9.2, 11.4, 30.4, 3.0, 3.8, 126.0, 3.4, 4.4, 18.6, 2.4, 3.0, 5.2, 12.2, 13.4, 14.4, 0.0, 4, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 6.5, 1558, 455, 36987, 812, 187, 57.0, 8.53, 0.000, 0.000
3875, 520, 15.4, 17.8, 23.4, 9.0, 11.2, 18.2, 5.6, 8.4, 18.4, 3.4, 4.4, 5.8, 2.6, 3.4, 7.8, 13.4, 14.2, 15.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1563, 469, 37121, 837, 189, 59.4, 6.88, 0.000, 0.000
4195, 493, 16.2, 19.8, 49.6, 10.4, 13.2, 29.4, 9.8, 13.2, 19.4, 3.8, 4.8, 16.2, 2.8, 3.6, 11.0, 13.8, 15.2, 15.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1595, 503, 37491, 953, 197, 54.2, 4.93, 0.000, 0.000
4514, 486, 16.4, 20.6, 51.4, 12.0, 15.6, 21.4, 11.6, 15.4, 19.6, 4.0, 5.2, 11.4, 3.0, 4.0, 5.8, 14.0, 15.4, 17.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1615, 522, 37768, 1042, 200, 55.2, 7.45, 0.000, 0.000
