Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
42616, 600, 4.2, 4.8, 6.0, 3.2, 4.0, 5.2, 3.0, 4.6, 152.4, 1.6, 1.8, 2.2, 1.6, 2.0, 2.6, 2.8, 3.0, 3.2, 0.0, 6, 0, 1, 0, 1, 0, 16, 0, 1, 2, 5, 7, 271.0, 1296, 448, 34919, 528, 101, 58.8, 1.30, 0.000, 0.000
42936, 600, 4.4, 5.2, 6.6, 3.6, 4.4, 6.2, 3.8, 4.8, 5.6, 1.6, 2.0, 2.8, 1.8, 2.2, 2.6, 2.6, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1285, 459, 34982, 547, 102, 59.8, 1.50, 0.000, 0.000
43256, 600, 4.6, 5.6, 78.8, 3.6, 4.6, 12.2, 3.8, 4.8, 8.0, 1.8, 2.2, 3.8, 1.8, 2.4, 5.4, 2.8, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1331, 558, 35093, 563, 103, 57.8, 11.35, 0.000, 0.000
43576, 600, 4.2, 5.0, 11.4, 3.6, 4.4, 7.4, 3.6, 4.8, 7.0, 1.6, 2.0, 3.0, 1.6, 2.2, 3.0, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1299, 558, 35300, 599, 105, 58.6, 1.45, 0.000, 0.000
43896, 600, 4.4, 5.2, 6.8, 3.8, 4.6, 6.6, 3.4, 5.0, 6.0, 1.6, 2.2, 3.2, 1.8, 2.2, 4.2, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1281, 558, 35346, 613, 107, 56.0, 1.48, 0.000, 0.000
44216, 600, 4.6, 5.2, 6.2, 3.8, 4.4, 5.6, 4.4, 5.6, 7.0, 1.6, 2.0, 3.2, 1.8, 2.2, 2.6, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.0, 1269, 530, 34697, 496, 98, 59.0, 1.80, 0.000, 0.000
44537, 600, 4.0, 4.8, 5.4, 3.2, 4.0, 5.0, 3.6, 4.6, 5.0, 1.4, 1.8, 2.4, 1.6, 1.8, 2.4, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1266, 530, 34701, 498, 98, 59.0, 1.88, 0.000, 0.000
44857, 600, 4.4, 5.4, 6.8, 3.6, 4.6, 6.2, 3.6, 4.6, 7.2, 1.6, 2.2, 3.2, 1.8, 2.4, 3.8, 3.0, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1273, 530, 34760, 517, 99, 57.4, 1.73, 0.001, 0.001
45177, 600, 4.4, 5.0, 6.4, 3.6, 4.4, 5.8, 4.0, 4.8, 5.8, 1.6, 1.8, 2.8, 1.8, 2.2, 3.0, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1276, 533, 34842, 534, 99, 60.8, 3.55, 0.000, 0.000
45497, 600, 4.8, 6.0, 21.0, 4.0, 5.0, 7.2, 4.0, 5.0, 6.6, 1.8, 2.6, 7.4, 2.0, 2.6, 17.6, 2.8, 3.2, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1382, 597, 34907, 568, 101, 58.0, 1.73, 0.000, 0.000
45817, 600, 4.4, 5.2, 6.2, 3.6, 4.4, 5.8, 4.0, 5.2, 6.2, 1.6, 2.0, 4.8, 1.8, 2.4, 3.0, 3.0, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1289, 601, 35003, 623, 102, 58.0, 1.60, 0.003, 0.003
46137, 600, 4.0, 4.4, 11.0, 3.2, 3.6, 9.0, 3.2, 4.0, 5.2, 1.4, 1.8, 2.2, 1.6, 2.0, 2.6, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1283, 601, 35080, 642, 105, 56.8, 1.35, 0.000, 0.000
46457, 600, 4.4, 5.2, 5.8, 3.8, 4.6, 5.8, 4.2, 5.4, 6.0, 1.6, 2.2, 2.8, 1.8, 2.2, 2.8, 2.8, 3.0, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1285, 601, 35143, 656, 105, 58.4, 1.58, 0.000, 0.000
