Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1027, 600, 2.2, 2.6, 8.0, 1.0, 1.4, 2.4, 2.0, 2.8, 84.6, 0.6, 0.8, 1.0, 0.6, 0.8, 7.2, 1.6, 1.8, 1.8, 0.0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 3.0, 1069, 835, 35351, 622, 173, 44.2, 1.08, 0.000, 0.000
1347, 600, 2.2, 2.4, 2.8, 1.0, 1.4, 2.2, 2.4, 3.2, 9.6, 0.6, 0.8, 1.2, 0.6, 0.8, 1.6, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1060, 844, 35466, 633, 175, 44.6, 0.98, 0.000, 0.000
1667, 600, 2.2, 2.4, 6.0, 1.2, 1.6, 2.4, 3.2, 4.2, 11.8, 0.6, 1.0, 2.6, 0.6, 0.8, 5.0, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1091, 877, 36613, 766, 180, 45.0, 1.05, 0.000, 0.000
1986, 600, 2.0, 2.4, 2.6, 1.2, 1.6, 2.4, 3.2, 4.4, 5.8, 0.6, 0.8, 1.2, 0.6, 0.8, 1.6, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1088, 885, 36714, 787, 181, 45.6, 1.18, 0.000, 0.000
2308, 600, 2.2, 2.6, 13.2, 1.4, 1.8, 10.0, 3.0, 4.0, 13.0, 0.8, 0.8, 3.0, 0.6, 0.8, 2.4, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1086, 903, 36795, 812, 184, 44.6, 1.70, 0.000, 0.000
2627, 600, 2.2, 2.6, 3.0, 1.2, 1.4, 1.8, 3.0, 3.8, 4.6, 0.6, 0.8, 1.4, 0.6, 0.8, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1089, 914, 36992, 857, 186, 44.8, 1.05, 0.000, 0.000
2948, 600, 2.4, 2.6, 5.4, 1.6, 2.0, 5.4, 2.8, 3.8, 4.8, 0.8, 1.0, 2.2, 0.6, 0.8, 1.6, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7.0, 1103, 955, 36933, 759, 183, 45.0, 0.95, 0.000, 0.000
3268, 600, 2.2, 2.6, 3.0, 1.6, 2.0, 2.6, 3.8, 6.6, 7.4, 0.8, 1.0, 1.6, 0.6, 1.0, 2.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1091, 964, 37054, 823, 185, 44.8, 1.18, 0.000, 0.000
3588, 600, 2.0, 2.4, 2.8, 1.2, 1.4, 2.2, 4.8, 6.8, 9.6, 0.6, 0.8, 1.0, 0.6, 0.8, 1.2, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1084, 972, 37328, 952, 187, 46.8, 0.82, 0.000, 0.000
3908, 600, 2.2, 2.4, 3.0, 1.2, 1.6, 2.2, 3.2, 4.0, 5.8, 0.6, 0.8, 1.2, 0.6, 0.8, 1.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1091, 972, 37450, 979, 190, 45.8, 1.18, 0.000, 0.000
4227, 600, 2.0, 2.4, 5.0, 1.2, 1.6, 4.0, 4.0, 5.2, 6.6, 0.8, 1.0, 1.6, 0.6, 0.8, 2.2, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1094, 972, 37594, 1020, 193, 45.8, 1.08, 0.000, 0.000
4547, 600, 2.2, 2.6, 6.6, 1.8, 2.2, 6.4, 3.6, 6.0, 7.8, 0.8, 0.8, 1.4, 0.6, 0.8, 1.0, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1100, 972, 38036, 1112, 198, 45.2, 1.05, 0.000, 0.000
4867, 600, 2.4, 2.6, 3.2, 1.4, 1.8, 2.8, 4.4, 6.6, 8.2, 0.6, 0.8, 1.2, 0.6, 1.0, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1108, 983, 38325, 1252, 200, 44.6, 1.15, 0.000, 0.000
5187, 600, 2.4, 2.8, 5.6, 1.4, 1.8, 4.8, 3.2, 4.4, 4.8, 0.8, 1.0, 1.4, 0.6, 1.0, 1.2, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13.0, 1086, 958, 36541, 757, 180, 45.4, 1.25, 0.000, 0.000
5508, 600, 2.4, 2.8, 3.0, 1.4, 1.8, 2.6, 4.0, 5.2, 5.6, 0.8, 1.0, 1.4, 0.6, 0.8, 1.2, 1.8, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1096, 964, 36656, 785, 180, 44.0, 1.02, 0.000, 0.000
5828, 600, 2.2, 2.6, 3.0, 1.4, 1.8, 2.6, 3.8, 5.0, 6.2, 0.8, 0.8, 1.2, 0.6, 1.0, 1.2, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1093, 964, 36791, 812, 182, 45.4, 1.18, 0.000, 0.000
6147, 600, 2.2, 2.4, 6.4, 1.4, 1.6, 4.8, 4.0, 5.4, 15.4, 0.8, 0.8, 1.2, 0.6, 1.0, 1.4, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1104, 979, 36916, 852, 185, 44.4, 1.20, 0.000, 0.000
6468, 600, 2.2, 2.6, 6.0, 1.6, 2.2, 3.8, 3.4, 4.6, 7.4, 0.8, 0.8, 2.2, 0.6, 1.0, 1.4, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1100, 983, 37173, 901, 189, 45.6, 1.23, 0.000, 0.000
6788, 600, 2.4, 2.6, 3.0, 1.6, 2.0, 2.4, 4.2, 7.0, 8.6, 0.8, 1.0, 1.4, 0.6, 1.0, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1095, 983, 37326, 975, 191, 46.6, 1.18, 0.000, 0.000
7108, 600, 2.4, 2.6, 7.4, 1.4, 1.8, 3.6, 3.4, 4.8, 11.0, 0.8, 1.0, 1.6, 0.8, 1.0, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1096, 986, 37451, 1028, 193, 44.6, 0.88, 0.000, 0.000
7428, 600, 2.4, 2.8, 3.6, 1.4, 1.8, 2.6, 3.6, 4.6, 5.6, 0.8, 1.0, 1.2, 0.8, 1.2, 1.6, 1.8, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1102, 990, 37622, 1087, 195, 47.2, 0.93, 0.000, 0.000
7747, 600, 2.4, 2.8, 3.8, 1.6, 2.0, 3.6, 3.0, 4.2, 4.8, 0.8, 1.0, 1.2, 0.8, 1.0, 1.6, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13.0, 1080, 964, 36437, 788, 182, 44.4, 0.90, 0.000, 0.000
8068, 600, 2.2, 2.4, 3.0, 1.4, 1.8, 2.8, 3.2, 4.2, 5.0, 0.8, 1.0, 1.4, 0.6, 1.0, 1.4, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1081, 964, 36545, 813, 184, 45.4, 1.02, 0.000, 0.000
8388, 600, 2.2, 2.8, 10.2, 2.0, 2.4, 4.6, 4.2, 6.0, 7.2, 0.8, 1.2, 4.6, 0.6, 1.0, 2.4, 1.6, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1088, 967, 36682, 892, 185, 45.0, 1.00, 0.000, 0.000
8708, 600, 2.2, 2.6, 12.0, 1.4, 2.0, 8.8, 3.4, 5.4, 6.8, 0.8, 1.0, 8.0, 0.6, 1.0, 3.8, 1.6, 1.8, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1091, 970, 36879, 953, 190, 45.0, 1.18, 0.000, 0.000
9029, 600, 2.4, 2.8, 3.2, 1.4, 1.8, 2.4, 4.8, 7.0, 9.6, 0.8, 1.0, 1.4, 0.6, 1.0, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1108, 979, 37061, 1044, 190, 46.4, 1.60, 0.000, 0.000
9349, 600, 2.4, 2.8, 3.6, 1.8, 2.2, 3.0, 3.8, 5.0, 7.0, 0.8, 0.8, 1.2, 0.6, 1.0, 1.4, 1.8, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1106, 979, 37198, 1097, 194, 44.0, 1.25, 0.000, 0.000
9669, 600, 2.2, 2.6, 3.4, 1.4, 1.8, 3.2, 4.4, 5.4, 8.2, 0.6, 0.8, 1.8, 0.6, 1.0, 1.2, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1098, 979, 37316, 1130, 194, 44.0, 1.05, 0.000, 0.000
9988, 600, 2.0, 2.4, 4.2, 1.2, 1.6, 4.0, 3.4, 4.8, 6.2, 0.6, 0.8, 1.8, 0.6, 0.8, 1.2, 1.6, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11.0, 1075, 972, 36357, 767, 179, 45.6, 0.90, 0.000, 0.000
