Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1598, 600, 5.0, 6.8, 16.4, 4.6, 6.6, 13.8, 5.2, 10.6, 26.2, 1.8, 2.4, 6.0, 1.6, 2.0, 2.8, 2.2, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2019, 442, 38100, 1177, 202, 56.0, 3.55, 0.000, 0.000
1918, 600, 4.4, 5.8, 13.6, 4.0, 5.2, 10.0, 11.4, 14.2, 18.4, 1.6, 2.2, 5.0, 1.4, 1.8, 2.4, 2.0, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2027, 536, 38367, 1256, 205, 34.0, 3.73, 0.000, 0.000
2238, 600, 4.2, 5.6, 9.8, 3.6, 5.0, 8.6, 10.4, 12.6, 15.0, 1.4, 2.0, 3.2, 1.4, 1.6, 2.4, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2036, 540, 38767, 1313, 209, 38.8, 3.62, 0.000, 0.000
2558, 600, 4.2, 5.8, 7.8, 3.8, 5.4, 8.2, 12.0, 14.4, 18.6, 1.6, 2.0, 3.2, 1.4, 1.6, 2.4, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 543, 39184, 1472, 211, 38.2, 2.80, 0.000, 0.000
2878, 600, 4.6, 6.8, 12.4, 4.2, 6.6, 14.6, 11.6, 14.0, 15.8, 1.4, 2.0, 3.2, 1.2, 1.6, 2.4, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58.5, 2004, 488, 36820, 819, 187, 32.8, 3.28, 0.000, 0.000
3198, 600, 4.6, 6.4, 9.2, 4.2, 5.8, 9.0, 10.8, 13.8, 19.4, 1.6, 2.2, 2.8, 1.4, 1.8, 2.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2021, 491, 37052, 923, 191, 36.4, 2.45, 0.004, 0.004
3520, 600, 5.4, 7.8, 16.2, 5.0, 7.6, 15.6, 12.2, 15.0, 18.6, 1.8, 2.2, 3.2, 1.4, 1.8, 19.2, 2.2, 2.6, 22.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2026, 501, 37406, 1015, 196, 29.0, 2.73, 0.000, 0.000
3839, 600, 5.0, 6.8, 12.2, 4.4, 6.2, 11.8, 11.0, 13.2, 16.8, 1.6, 2.2, 3.6, 1.4, 1.6, 2.2, 2.0, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2026, 503, 37727, 1113, 199, 30.8, 4.20, 0.000, 0.000
4159, 600, 5.2, 7.0, 23.8, 4.8, 6.8, 23.2, 12.4, 15.0, 20.4, 1.8, 2.2, 3.2, 1.4, 1.8, 2.4, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2029, 511, 38014, 1205, 202, 30.4, 4.40, 0.000, 0.000
4479, 600, 5.0, 6.4, 14.0, 4.6, 6.0, 12.6, 13.2, 16.4, 19.8, 1.8, 2.2, 4.4, 1.4, 1.8, 3.4, 2.2, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2049, 561, 38651, 1350, 209, 28.6, 3.60, 0.002, 0.002
4800, 600, 4.8, 6.4, 10.8, 4.4, 5.8, 9.0, 14.8, 17.4, 20.8, 1.6, 2.2, 3.2, 1.4, 1.8, 2.4, 2.0, 2.4, 2.8, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2047, 571, 38956, 1412, 211, 33.4, 3.12, 0.000, 0.000
5119, 600, 4.8, 6.4, 11.8, 4.4, 6.0, 10.6, 13.2, 16.2, 20.2, 1.6, 2.2, 3.0, 1.4, 1.8, 2.6, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2057, 571, 39176, 1499, 213, 29.4, 3.25, 0.000, 0.000
5439, 600, 4.8, 6.4, 24.0, 4.4, 6.0, 22.6, 10.6, 13.0, 26.8, 1.6, 2.0, 4.0, 1.4, 1.6, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52.5, 2023, 562, 37798, 906, 191, 30.4, 3.23, 0.000, 0.000
5759, 600, 5.0, 7.0, 11.6, 4.6, 6.8, 11.0, 11.8, 15.2, 19.6, 1.8, 2.4, 3.4, 1.4, 1.8, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2035, 572, 37967, 947, 193, 39.8, 4.00, 0.000, 0.000
6079, 600, 4.8, 6.8, 12.8, 4.4, 6.6, 12.2, 12.6, 15.4, 20.8, 1.6, 2.0, 3.4, 1.4, 1.6, 2.8, 2.2, 2.4, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2034, 580, 38252, 1063, 195, 34.0, 3.38, 0.000, 0.000
6399, 600, 5.0, 7.8, 14.2, 4.6, 7.0, 13.8, 13.0, 16.8, 21.0, 1.6, 2.0, 2.8, 1.2, 1.6, 2.0, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2036, 596, 38521, 1220, 198, 35.8, 3.53, 0.000, 0.000
6720, 600, 4.8, 7.0, 12.8, 4.2, 6.4, 14.2, 10.6, 13.0, 17.0, 1.6, 2.0, 3.4, 1.4, 1.6, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2040, 613, 38751, 1296, 202, 39.4, 3.28, 0.000, 0.000
7041, 600, 4.6, 6.4, 9.8, 4.2, 5.8, 9.2, 10.0, 13.2, 16.4, 1.8, 2.4, 3.6, 1.6, 2.0, 3.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 631, 39090, 1366, 208, 32.0, 2.95, 0.000, 0.000
7360, 600, 4.8, 6.6, 11.0, 4.4, 6.2, 11.0, 13.4, 16.6, 18.8, 1.6, 2.2, 2.8, 1.4, 1.8, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 685, 39351, 1499, 209, 35.8, 3.55, 0.000, 0.000
7680, 600, 4.6, 6.0, 8.4, 4.2, 5.6, 8.4, 11.2, 14.2, 19.0, 1.6, 2.0, 3.6, 1.4, 1.6, 2.8, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2055, 690, 39604, 1576, 216, 33.2, 3.38, 0.000, 0.000
8000, 600, 4.8, 6.6, 11.2, 4.4, 6.2, 10.0, 14.0, 16.6, 20.2, 1.6, 2.2, 3.0, 1.4, 1.8, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57.0, 2030, 669, 37811, 934, 191, 33.0, 3.10, 0.000, 0.000
8319, 600, 4.8, 6.6, 9.8, 4.4, 6.0, 8.0, 14.0, 18.6, 23.0, 1.8, 2.4, 3.6, 1.6, 2.0, 2.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2040, 674, 38085, 1011, 193, 37.0, 3.15, 0.000, 0.000
8640, 600, 4.8, 6.6, 11.4, 4.4, 6.0, 10.2, 15.8, 20.0, 25.8, 1.8, 2.2, 3.4, 1.4, 1.8, 2.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 681, 38434, 1099, 198, 47.4, 4.60, 0.000, 0.000
8960, 600, 5.0, 7.4, 12.8, 4.6, 7.6, 12.6, 16.0, 23.2, 28.2, 1.6, 2.0, 2.4, 1.4, 1.6, 2.2, 2.0, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2048, 689, 38707, 1197, 201, 55.6, 4.95, 0.000, 0.000
9281, 600, 4.8, 7.0, 11.8, 4.4, 6.2, 12.2, 14.6, 21.4, 27.8, 1.6, 2.0, 3.4, 1.4, 1.6, 2.0, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2051, 696, 39121, 1350, 205, 36.6, 3.28, 0.000, 0.000
9601, 600, 5.2, 7.4, 16.4, 4.8, 6.6, 18.2, 14.0, 17.2, 22.6, 2.0, 2.6, 3.6, 1.6, 2.0, 3.0, 2.4, 2.6, 20.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2060, 696, 39333, 1416, 207, 29.8, 3.17, 0.000, 0.000
9921, 600, 4.8, 6.4, 9.0, 4.4, 5.8, 9.6, 13.0, 15.6, 19.6, 1.8, 2.4, 3.2, 1.4, 1.8, 2.4, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2066, 696, 39557, 1477, 210, 32.4, 3.62, 0.003, 0.003
10241, 600, 4.4, 5.8, 11.8, 3.8, 5.2, 9.8, 11.2, 14.4, 16.2, 1.6, 2.2, 3.8, 1.4, 1.8, 2.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61.0, 2023, 677, 37735, 908, 192, 34.4, 3.50, 0.000, 0.000
10561, 600, 5.0, 7.2, 11.8, 4.6, 6.6, 11.2, 13.6, 18.6, 20.8, 1.6, 2.2, 2.8, 1.4, 1.8, 2.6, 2.2, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2041, 681, 38259, 1010, 194, 34.6, 3.12, 0.000, 0.000
10881, 600, 4.8, 6.4, 11.2, 4.4, 5.8, 11.2, 12.8, 16.0, 19.4, 1.6, 2.2, 2.8, 1.4, 1.6, 2.6, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 681, 38504, 1108, 198, 36.4, 3.83, 0.000, 0.000
11201, 600, 4.2, 5.4, 8.6, 3.6, 4.8, 11.0, 11.0, 13.2, 14.6, 1.6, 2.0, 3.2, 1.4, 1.8, 2.2, 2.2, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 690, 38767, 1170, 202, 35.2, 3.85, 0.000, 0.000
11522, 600, 5.0, 6.6, 11.2, 4.6, 6.2, 9.8, 13.2, 16.4, 21.0, 1.8, 2.4, 3.4, 1.6, 2.0, 2.4, 2.2, 2.6, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2046, 709, 39118, 1238, 207, 36.6, 3.85, 0.000, 0.000
11842, 600, 5.4, 8.4, 38.0, 4.6, 7.6, 40.2, 11.2, 14.2, 15.8, 1.8, 2.4, 5.0, 1.4, 2.0, 3.4, 2.2, 2.6, 3.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 713, 39383, 1377, 210, 35.4, 3.67, 0.002, 0.002
12162, 600, 5.2, 7.0, 19.4, 4.8, 6.4, 18.4, 12.4, 15.4, 26.2, 2.2, 3.0, 4.6, 1.8, 2.2, 3.0, 2.4, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2056, 716, 40133, 1470, 217, 33.6, 3.83, 0.000, 0.000
12482, 600, 4.8, 6.4, 9.8, 4.2, 5.8, 10.0, 13.0, 16.0, 17.6, 1.8, 2.4, 3.4, 1.6, 2.0, 2.6, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2058, 717, 40359, 1555, 218, 34.2, 3.15, 0.000, 0.000
12802, 600, 4.8, 6.8, 12.6, 4.4, 6.4, 12.6, 12.0, 14.6, 17.0, 1.8, 2.6, 5.4, 1.6, 2.0, 3.4, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94.0, 2016, 690, 37747, 903, 192, 33.0, 3.12, 0.000, 0.000
13122, 600, 5.2, 7.4, 15.4, 4.8, 6.6, 14.0, 13.2, 16.2, 19.6, 2.0, 3.0, 5.6, 1.8, 2.4, 3.4, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2039, 699, 38013, 973, 195, 34.8, 4.03, 0.000, 0.000
13442, 600, 4.6, 6.2, 9.6, 4.0, 5.6, 9.0, 12.0, 15.2, 19.8, 1.6, 2.2, 3.6, 1.4, 2.0, 2.4, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2042, 703, 38264, 1037, 200, 31.6, 3.03, 0.001, 0.001
13762, 600, 4.8, 6.2, 13.4, 4.2, 5.6, 12.8, 10.2, 13.6, 16.2, 1.6, 2.0, 3.6, 1.4, 1.8, 2.2, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2035, 710, 38553, 1119, 210, 35.2, 3.45, 0.003, 0.003
14082, 600, 4.2, 5.6, 8.2, 3.6, 4.8, 8.8, 13.0, 15.6, 20.8, 1.4, 2.0, 4.6, 1.2, 1.6, 2.2, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2044, 710, 38772, 1238, 213, 34.6, 2.78, 0.000, 0.000
14403, 600, 4.4, 5.6, 11.0, 3.8, 5.0, 10.2, 11.6, 13.4, 15.2, 1.6, 2.2, 3.4, 1.4, 1.6, 2.2, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2048, 713, 39012, 1304, 217, 37.2, 2.48, 0.000, 0.000
14722, 600, 4.4, 5.8, 7.8, 4.0, 5.2, 8.4, 13.6, 15.6, 20.0, 1.6, 2.0, 3.0, 1.4, 2.0, 2.8, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2059, 713, 39309, 1387, 218, 32.6, 3.25, 0.000, 0.000
