Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
336, 600, 22.6, 68.8, 200.0, 17.6, 67.4, 200.0, 65.8, 85.8, 200.0, 5.2, 6.2, 28.0, 4.4, 5.6, 9.6, 7.0, 17.8, 19.4, 0.0, 132, 0, 2, 0, 0, 0, 5, 0, 1, 1, 3, 4, 305.5, 2498, 511, 71478, 2644, 306, 53.0, 7.75, 0.000, 0.000
657, 250, 32.0, 42.4, 51.8, 30.8, 40.8, 50.2, 33.0, 42.2, 51.4, 4.8, 5.8, 13.8, 4.8, 5.8, 12.2, 10.4, 14.2, 14.6, 0.0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2540, 519, 72211, 2657, 309, 60.2, 14.78, 0.000, 0.000
978, 269, 29.8, 41.0, 123.4, 26.4, 39.6, 53.4, 31.2, 40.8, 54.8, 4.4, 5.2, 77.8, 4.2, 5.4, 12.8, 9.2, 12.2, 12.4, 0.0, 81, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 2403, 519, 72219, 2663, 311, 62.8, 13.78, 0.000, 0.000
1298, 480, 16.6, 17.2, 51.4, 2.6, 3.6, 14.2, 8.6, 10.4, 12.0, 1.6, 1.8, 20.8, 2.6, 3.2, 7.8, 5.8, 6.4, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2411, 586, 72227, 2669, 313, 53.6, 2.83, 0.000, 0.000
1617, 443, 18.0, 22.2, 98.8, 3.4, 5.2, 27.0, 8.4, 11.6, 23.4, 2.6, 9.0, 29.0, 2.8, 3.4, 4.2, 5.6, 6.4, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0.0, 2419, 615, 72239, 2678, 316, 49.2, 2.60, 0.000, 0.000
1938, 449, 17.8, 26.8, 77.6, 3.6, 15.8, 25.0, 9.0, 12.4, 20.6, 2.8, 18.0, 30.0, 3.6, 4.2, 4.6, 6.2, 6.6, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0.0, 2423, 635, 72251, 2687, 319, 54.0, 3.70, 0.000, 0.000
2259, 481, 16.6, 17.0, 50.2, 2.6, 3.6, 14.4, 8.2, 9.8, 11.2, 1.8, 2.4, 17.2, 3.0, 3.8, 4.8, 5.8, 6.8, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2444, 635, 72308, 2701, 322, 50.8, 2.55, 0.000, 0.000
2580, 481, 16.6, 17.2, 22.6, 2.8, 3.8, 18.0, 8.2, 10.2, 11.8, 1.8, 2.0, 13.4, 2.6, 3.4, 9.0, 4.4, 6.2, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.5, 2443, 648, 72176, 2652, 308, 50.0, 2.33, 0.000, 0.000
2900, 480, 16.6, 17.2, 17.4, 2.8, 4.0, 5.2, 8.2, 10.4, 12.6, 1.8, 2.2, 13.4, 3.0, 3.8, 5.0, 4.8, 6.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2446, 650, 72216, 2671, 312, 49.8, 2.38, 0.000, 0.000
3220, 481, 16.6, 17.2, 17.6, 2.8, 4.0, 5.0, 7.6, 9.0, 10.6, 2.0, 2.2, 13.2, 3.2, 3.8, 4.8, 5.6, 6.6, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2452, 656, 72255, 2685, 315, 51.0, 2.10, 0.000, 0.000
3540, 480, 16.6, 17.0, 17.4, 2.6, 3.6, 5.8, 7.8, 10.2, 12.2, 1.8, 2.0, 12.2, 3.2, 3.8, 4.2, 5.8, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2451, 661, 72292, 2694, 317, 49.4, 2.00, 0.000, 0.000
3861, 481, 16.6, 17.0, 17.6, 2.6, 3.4, 4.6, 7.2, 8.2, 10.4, 1.8, 2.2, 11.8, 3.0, 3.6, 4.2, 5.8, 6.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2447, 661, 72325, 2707, 319, 50.0, 2.12, 0.000, 0.000
4182, 481, 16.6, 17.0, 17.6, 2.8, 3.6, 5.2, 7.2, 8.8, 10.8, 1.8, 2.2, 12.6, 3.0, 3.6, 4.4, 5.4, 6.6, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2444, 665, 72366, 2719, 321, 49.6, 1.55, 0.000, 0.000
