Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
452959, 600, 16.6, 16.6, 16.8, 4.0, 5.0, 7.2, 7.2, 11.4, 200.0, 2.0, 2.8, 4.6, 2.0, 3.6, 9.8, 5.4, 6.4, 8.0, 0.0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 3, 158.0, 1720, 564, 35860, 742, 174, 44.2, 2.10, 0.000, 0.000
453280, 480, 16.6, 16.6, 16.8, 4.2, 5.4, 9.0, 5.2, 7.2, 11.0, 2.0, 2.6, 4.8, 1.6, 2.2, 3.4, 5.2, 6.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1654, 611, 36149, 845, 176, 44.6, 1.80, 0.000, 0.000
453599, 480, 16.6, 16.6, 16.6, 3.6, 4.6, 9.4, 4.2, 6.0, 7.4, 1.8, 2.2, 3.4, 1.4, 1.8, 2.4, 5.4, 6.2, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1649, 621, 36367, 908, 180, 44.8, 1.62, 0.000, 0.000
453919, 480, 16.6, 16.6, 16.6, 4.6, 6.2, 13.2, 7.0, 10.4, 13.6, 2.0, 2.6, 5.6, 1.6, 2.0, 3.4, 5.4, 6.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1661, 624, 36703, 1004, 186, 44.6, 2.58, 0.000, 0.000
454239, 480, 16.6, 16.6, 22.0, 4.6, 5.8, 21.8, 6.6, 8.2, 21.6, 2.0, 2.6, 3.0, 1.6, 2.0, 2.4, 5.2, 5.8, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1664, 624, 37337, 1159, 186, 45.0, 2.05, 0.000, 0.000
454559, 480, 16.6, 16.6, 16.8, 4.4, 5.4, 7.2, 5.8, 7.6, 9.4, 2.0, 2.4, 6.6, 1.6, 2.0, 5.8, 5.2, 6.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1744, 676, 37557, 1225, 187, 45.8, 2.35, 0.000, 0.000
454879, 480, 16.6, 16.6, 16.6, 4.4, 5.4, 10.2, 6.4, 7.8, 18.2, 2.0, 2.4, 3.4, 1.6, 2.0, 5.6, 5.2, 6.2, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1695, 726, 37771, 1368, 187, 44.2, 2.25, 0.000, 0.000
455199, 480, 16.6, 16.6, 16.6, 4.0, 5.4, 14.0, 5.4, 7.0, 13.8, 1.8, 2.4, 4.0, 1.6, 1.8, 3.0, 5.2, 6.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85.0, 1639, 720, 36434, 711, 175, 45.4, 1.75, 0.000, 0.000
455519, 480, 16.6, 16.6, 19.4, 4.4, 5.6, 16.8, 6.8, 10.0, 11.2, 2.0, 2.6, 3.6, 1.8, 3.2, 4.2, 5.4, 6.6, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1645, 729, 36773, 812, 182, 45.0, 1.90, 0.000, 0.000
455839, 480, 16.6, 16.6, 20.0, 5.4, 7.4, 17.6, 9.4, 12.4, 21.6, 2.2, 2.8, 5.8, 2.0, 3.8, 4.8, 5.0, 6.4, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1669, 750, 37148, 947, 188, 44.8, 3.03, 0.000, 0.000
