Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
316, 600, 5.6, 7.4, 38.6, 4.4, 6.2, 34.0, 10.2, 14.2, 143.4, 2.0, 3.0, 6.0, 2.4, 4.2, 6.4, 5.0, 6.6, 8.4, 0.0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 4, 80.5, 1854, 491, 72419, 2803, 319, 46.4, 2.28, 0.000, 0.000
637, 600, 5.6, 7.2, 19.4, 4.8, 6.0, 8.0, 10.4, 13.6, 24.8, 2.0, 2.8, 4.6, 2.4, 3.6, 15.2, 5.0, 6.8, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1871, 520, 72795, 2898, 327, 45.2, 2.33, 0.000, 0.000
957, 600, 5.6, 7.2, 32.0, 4.8, 5.8, 24.6, 10.6, 13.4, 34.8, 2.0, 2.8, 6.8, 2.4, 3.8, 5.8, 5.0, 6.6, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1877, 524, 73406, 2990, 332, 45.4, 2.55, 0.000, 0.000
1277, 600, 6.4, 7.8, 20.2, 5.2, 6.8, 10.0, 12.6, 17.4, 29.2, 2.2, 3.0, 4.8, 3.0, 4.4, 16.6, 5.4, 7.4, 23.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1893, 527, 73715, 3135, 336, 46.4, 2.33, 0.000, 0.000
1596, 600, 5.2, 6.6, 11.4, 4.8, 6.0, 10.8, 7.8, 10.4, 11.8, 2.0, 2.6, 9.6, 1.8, 2.2, 10.0, 3.4, 4.2, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1908, 533, 73839, 3203, 339, 45.2, 2.03, 0.000, 0.000
1916, 600, 6.4, 8.0, 11.0, 5.6, 6.8, 9.4, 8.8, 11.6, 14.4, 2.4, 3.2, 4.2, 2.8, 4.4, 6.4, 5.2, 7.4, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1924, 540, 74262, 3332, 347, 45.0, 2.20, 0.000, 0.000
2236, 600, 6.4, 8.0, 13.2, 6.0, 7.4, 12.8, 10.2, 13.2, 16.4, 2.8, 3.8, 5.2, 2.2, 2.8, 3.4, 5.2, 6.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1934, 547, 74487, 3400, 352, 44.8, 2.42, 0.000, 0.000
2557, 600, 5.8, 7.2, 20.0, 5.0, 6.2, 19.4, 7.6, 11.4, 12.6, 2.0, 2.8, 3.6, 2.2, 4.0, 10.2, 4.4, 6.2, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1925, 534, 73276, 2957, 326, 45.0, 2.03, 0.000, 0.000
2877, 600, 6.2, 8.0, 15.0, 5.2, 6.4, 8.0, 9.0, 11.2, 12.8, 2.2, 3.2, 11.0, 2.6, 4.4, 6.2, 5.0, 7.2, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46.0, 1900, 536, 73390, 2986, 330, 44.4, 2.23, 0.000, 0.000
3197, 600, 5.8, 7.2, 17.4, 5.4, 6.8, 8.2, 9.8, 12.8, 14.8, 2.2, 3.0, 4.2, 2.4, 4.2, 6.2, 4.4, 6.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1904, 540, 73550, 3068, 332, 45.6, 2.10, 0.000, 0.000
