Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
3609, 600, 10.0, 13.2, 37.2, 9.4, 12.6, 37.2, 10.2, 22.2, 200.0, 3.2, 4.0, 6.4, 3.0, 3.8, 5.0, 2.0, 2.0, 2.0, 0.0, 9, 0, 1, 2, 0, 0, 6, 0, 1, 2, 0, 6, 141.0, 2337, 572, 42302, 990, 197, 162.6, 4.05, 0.000, 0.000
3929, 600, 12.0, 22.2, 35.0, 11.2, 22.0, 33.2, 23.0, 27.4, 33.8, 3.2, 4.0, 5.8, 2.8, 3.6, 4.6, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1976, 574, 42644, 1075, 201, 159.4, 5.30, 0.000, 0.000
4249, 600, 11.2, 17.0, 31.0, 10.4, 16.2, 28.2, 19.8, 25.6, 30.0, 3.0, 3.8, 5.6, 2.6, 3.2, 5.4, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2185, 612, 43215, 1175, 210, 161.4, 5.00, 0.000, 0.000
4570, 584, 13.8, 27.2, 36.6, 13.0, 26.6, 31.8, 22.6, 28.2, 32.4, 3.0, 3.8, 5.6, 2.8, 3.4, 5.0, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2029, 617, 43509, 1226, 213, 165.8, 5.95, 0.000, 0.000
4889, 600, 12.4, 23.0, 31.0, 11.8, 22.4, 30.0, 23.6, 26.8, 28.8, 3.0, 3.6, 6.4, 2.6, 3.2, 4.0, 2.0, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2652, 633, 43789, 1276, 215, 161.0, 5.38, 0.000, 0.000
5211, 582, 13.8, 24.6, 36.2, 13.0, 23.8, 34.2, 24.2, 28.6, 32.2, 3.4, 4.4, 9.0, 3.0, 3.8, 11.0, 2.0, 2.2, 2.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2763, 739, 43979, 1346, 217, 163.8, 6.58, 0.000, 0.000
5531, 532, 15.0, 32.4, 44.2, 14.2, 31.0, 42.8, 24.2, 34.0, 40.2, 3.0, 4.0, 5.4, 2.6, 3.4, 5.2, 2.0, 2.0, 2.0, 0.0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 420.5, 2807, 732, 42337, 969, 195, 169.8, 7.43, 0.000, 0.000
5852, 557, 14.4, 28.8, 59.2, 13.6, 27.4, 42.4, 22.8, 29.4, 35.6, 3.2, 4.0, 8.8, 2.8, 3.6, 5.0, 2.0, 2.0, 2.2, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2459, 759, 42889, 1034, 201, 161.0, 6.70, 0.000, 0.000
6172, 467, 17.2, 31.2, 44.6, 16.4, 30.4, 37.4, 25.4, 31.4, 36.0, 3.2, 4.0, 5.4, 2.8, 3.4, 4.0, 2.0, 2.2, 2.2, 0.0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2513, 762, 43211, 1139, 205, 167.0, 7.93, 0.000, 0.000
6492, 600, 13.2, 26.4, 35.0, 12.6, 25.4, 35.0, 23.8, 28.8, 35.6, 3.2, 4.4, 7.6, 3.0, 4.0, 5.8, 2.0, 2.2, 2.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2152, 782, 43462, 1239, 208, 164.2, 5.60, 0.000, 0.000
