Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 4.0, 4.6, 11.2, 3.4, 4.0, 7.6, 18.4, 20.8, 159.0, 2.0, 2.4, 3.0, 1.6, 2.0, 3.2, 3.4, 3.6, 3.8, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 24.5, 2090, 544, 75172, 2990, 328, 77.0, 1.48, 0.000, 0.000
638, 600, 4.2, 4.8, 6.2, 3.4, 4.2, 5.8, 17.6, 20.4, 23.8, 2.0, 2.4, 3.2, 2.0, 2.2, 2.8, 3.6, 4.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2106, 556, 75385, 3112, 331, 77.6, 1.38, 0.000, 0.000
957, 600, 3.6, 4.4, 15.8, 3.2, 4.0, 15.2, 15.4, 21.2, 25.4, 1.6, 2.0, 2.6, 1.4, 1.8, 2.0, 2.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.5, 2087, 529, 74881, 3021, 326, 76.2, 1.43, 0.000, 0.000
1277, 600, 3.6, 4.4, 5.6, 3.2, 4.2, 5.4, 14.6, 18.4, 21.8, 1.4, 1.8, 2.2, 1.4, 1.8, 2.2, 3.0, 3.4, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2083, 542, 75257, 3098, 335, 76.2, 1.23, 0.000, 0.000
1597, 600, 3.6, 4.2, 10.2, 3.2, 3.8, 8.4, 15.4, 18.8, 22.0, 1.6, 2.0, 2.4, 1.2, 1.6, 1.8, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2087, 542, 75549, 3248, 339, 77.2, 1.48, 0.000, 0.000
1918, 600, 3.8, 4.6, 8.4, 3.4, 4.2, 6.8, 15.4, 21.6, 24.4, 1.6, 2.2, 2.8, 1.4, 1.8, 2.2, 2.6, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2104, 545, 75793, 3346, 346, 77.4, 1.30, 0.000, 0.000
2238, 600, 4.2, 5.0, 9.0, 3.8, 4.6, 7.8, 15.2, 19.8, 21.0, 2.0, 2.4, 3.0, 1.6, 2.0, 2.4, 3.0, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2113, 545, 76057, 3414, 351, 76.8, 1.30, 0.000, 0.000
2557, 600, 3.8, 4.4, 24.0, 3.4, 4.0, 12.4, 18.8, 21.8, 24.6, 1.8, 2.2, 2.6, 1.4, 1.8, 2.4, 3.0, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2118, 545, 76204, 3475, 355, 77.4, 1.65, 0.000, 0.000
2877, 600, 3.6, 4.2, 4.8, 3.2, 3.8, 4.6, 17.8, 21.2, 24.2, 1.6, 2.0, 2.4, 1.4, 1.8, 2.0, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2123, 546, 76719, 3585, 360, 77.8, 1.05, 0.000, 0.000
3198, 600, 4.0, 4.8, 11.6, 3.6, 4.6, 8.4, 17.2, 20.8, 22.2, 1.8, 2.2, 2.6, 1.6, 1.8, 2.4, 2.8, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2124, 550, 76940, 3676, 365, 77.2, 1.27, 0.000, 0.000
3518, 600, 3.8, 4.6, 5.4, 3.4, 4.2, 4.8, 15.0, 17.8, 19.2, 1.8, 2.4, 2.8, 1.6, 2.0, 2.2, 3.4, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50.0, 2088, 539, 75521, 3123, 332, 78.2, 1.35, 0.000, 0.000
3838, 600, 3.6, 4.2, 8.2, 3.2, 3.8, 7.2, 15.0, 18.0, 20.2, 1.4, 2.0, 2.6, 1.2, 1.6, 2.0, 2.4, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2094, 545, 75815, 3244, 338, 77.6, 1.43, 0.000, 0.000
4158, 600, 3.8, 4.6, 5.6, 3.4, 4.0, 5.2, 14.0, 17.0, 19.0, 2.0, 2.4, 3.0, 1.6, 2.0, 2.2, 3.0, 3.4, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2101, 545, 76051, 3313, 345, 77.0, 1.38, 0.000, 0.000
4478, 600, 3.8, 4.4, 5.6, 3.4, 4.2, 4.8, 15.4, 19.2, 20.6, 1.8, 2.2, 2.6, 1.6, 2.0, 2.4, 3.4, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2103, 550, 76257, 3403, 348, 78.4, 1.52, 0.000, 0.000
4798, 600, 3.4, 4.0, 9.0, 3.0, 3.6, 7.4, 13.0, 16.6, 21.0, 1.6, 1.8, 2.2, 1.4, 1.6, 2.0, 3.0, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2106, 550, 76461, 3526, 353, 77.2, 1.00, 0.000, 0.000
5119, 600, 3.8, 4.2, 10.8, 3.2, 3.8, 10.0, 14.4, 18.6, 21.0, 1.6, 2.0, 3.8, 1.4, 1.8, 2.4, 3.2, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2108, 554, 76757, 3609, 361, 76.6, 1.27, 0.000, 0.000
5439, 600, 3.6, 4.4, 8.8, 3.0, 4.0, 8.0, 11.4, 15.2, 18.0, 1.6, 2.0, 2.4, 1.4, 1.8, 2.2, 3.0, 3.4, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2108, 559, 76931, 3688, 367, 75.8, 1.30, 0.000, 0.000
5758, 600, 3.4, 4.0, 6.0, 3.0, 3.6, 5.4, 11.8, 13.8, 15.8, 1.4, 1.8, 2.4, 1.4, 1.6, 2.0, 3.0, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2112, 559, 77041, 3716, 369, 75.6, 1.35, 0.000, 0.000
6078, 600, 3.4, 3.8, 7.6, 2.4, 2.8, 6.8, 9.8, 12.8, 14.4, 1.4, 2.0, 2.4, 1.4, 2.0, 2.2, 3.0, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48.5, 2076, 555, 75008, 3034, 332, 76.8, 1.30, 0.000, 0.000
