Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
8344, 600, 3.4, 4.6, 10.0, 2.2, 3.0, 6.4, 4.2, 7.6, 10.8, 1.0, 1.4, 3.2, 0.8, 1.0, 4.4, 2.4, 3.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2316, 604, 75351, 3403, 338, 28.2, 1.48, 0.000, 0.000
8664, 600, 3.4, 4.4, 10.4, 2.2, 2.6, 6.2, 7.4, 9.8, 11.8, 0.8, 1.0, 2.0, 0.6, 0.8, 1.2, 2.4, 3.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2328, 628, 75751, 3570, 346, 28.0, 1.50, 0.000, 0.000
8985, 600, 3.4, 4.4, 7.0, 2.6, 3.2, 4.0, 8.2, 11.2, 14.0, 1.0, 1.2, 2.2, 0.8, 1.0, 1.2, 2.4, 3.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2337, 642, 76131, 3743, 350, 28.8, 1.43, 0.000, 0.000
9305, 600, 3.2, 4.2, 9.6, 2.0, 2.8, 3.8, 7.2, 9.0, 10.2, 1.0, 1.2, 1.6, 0.8, 1.0, 1.2, 2.2, 3.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2343, 642, 76373, 3864, 354, 26.4, 1.45, 0.000, 0.000
9625, 600, 2.8, 4.0, 9.2, 1.6, 2.0, 5.8, 5.2, 8.2, 11.0, 1.0, 1.2, 2.2, 0.8, 1.0, 1.6, 2.0, 3.0, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2352, 645, 76880, 4046, 365, 26.8, 1.65, 0.000, 0.000
9944, 600, 3.8, 4.8, 12.0, 2.2, 2.8, 6.0, 6.6, 8.8, 10.4, 1.2, 1.6, 2.2, 1.0, 1.4, 1.8, 2.8, 3.8, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30.5, 2344, 603, 75245, 3269, 340, 29.0, 1.85, 0.000, 0.000
10264, 600, 3.4, 4.6, 8.8, 1.8, 2.4, 3.4, 6.4, 9.0, 10.4, 1.0, 1.2, 1.6, 1.2, 1.6, 1.8, 2.2, 3.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2340, 631, 75773, 3405, 347, 28.2, 1.90, 0.000, 0.000
10584, 600, 3.6, 5.2, 14.8, 2.2, 3.0, 6.8, 6.4, 8.0, 9.2, 1.2, 1.4, 2.2, 1.0, 1.6, 2.4, 2.4, 3.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2357, 648, 76077, 3504, 356, 28.0, 2.40, 0.000, 0.000
10904, 600, 3.8, 4.8, 6.8, 2.0, 2.6, 5.8, 6.4, 8.8, 10.4, 1.0, 1.4, 1.8, 1.2, 1.6, 2.4, 2.6, 3.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2352, 656, 76345, 3615, 363, 28.4, 1.62, 0.000, 0.000
11224, 600, 3.0, 4.2, 5.8, 1.6, 2.0, 5.2, 6.0, 9.0, 12.0, 1.0, 1.2, 1.6, 0.8, 1.0, 1.8, 2.0, 3.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2351, 657, 76642, 3815, 368, 29.6, 1.58, 0.000, 0.000
11545, 600, 2.8, 4.0, 7.2, 2.0, 2.4, 3.6, 6.0, 7.8, 9.4, 1.0, 1.4, 2.2, 1.0, 1.2, 2.0, 1.8, 2.6, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2361, 661, 76942, 3912, 376, 27.8, 1.38, 0.000, 0.000
11865, 600, 3.4, 4.8, 11.8, 2.4, 3.2, 7.2, 6.2, 8.0, 9.2, 1.2, 1.6, 2.4, 1.0, 1.4, 1.8, 2.4, 3.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2368, 686, 77596, 4031, 386, 26.8, 1.83, 0.000, 0.000
12185, 600, 4.2, 4.8, 13.8, 2.2, 2.8, 12.4, 5.0, 6.8, 8.2, 1.2, 1.6, 2.6, 1.0, 1.6, 2.0, 3.0, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29.0, 2347, 640, 75194, 3156, 335, 28.4, 2.05, 0.000, 0.000
12504, 600, 3.0, 4.2, 6.0, 1.8, 2.4, 4.4, 5.4, 7.4, 11.8, 0.8, 1.0, 4.2, 0.6, 0.8, 2.4, 2.0, 3.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2354, 651, 75826, 3261, 344, 28.0, 1.52, 0.000, 0.000
12825, 600, 3.2, 4.4, 11.4, 2.0, 2.6, 3.8, 5.6, 7.2, 10.6, 0.8, 1.0, 1.4, 0.6, 0.8, 1.2, 2.2, 3.2, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2365, 651, 76018, 3335, 348, 28.4, 1.73, 0.000, 0.000
13146, 600, 3.8, 4.2, 11.2, 1.8, 2.2, 4.6, 5.8, 8.6, 10.8, 0.8, 0.8, 1.2, 0.6, 0.8, 1.4, 2.8, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2363, 654, 76349, 3515, 353, 27.4, 1.93, 0.000, 0.000
13465, 600, 4.4, 5.4, 16.4, 2.2, 2.8, 6.6, 4.6, 6.6, 8.0, 1.0, 1.4, 2.4, 0.8, 1.0, 1.4, 3.2, 3.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2375, 664, 76737, 3615, 364, 28.8, 2.00, 0.000, 0.000
13786, 600, 4.0, 4.6, 12.0, 1.8, 2.4, 4.2, 5.4, 7.6, 9.0, 0.8, 1.2, 1.6, 0.8, 0.8, 1.4, 2.8, 3.2, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2384, 671, 77049, 3806, 369, 28.6, 1.73, 0.000, 0.000
14105, 600, 3.8, 4.6, 12.6, 2.0, 2.4, 5.0, 5.0, 6.8, 8.4, 0.8, 1.0, 1.4, 0.6, 0.8, 1.0, 2.8, 3.2, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2377, 692, 77587, 3978, 378, 28.4, 1.98, 0.000, 0.000
14425, 600, 4.4, 5.0, 13.6, 2.2, 2.8, 4.8, 5.0, 6.6, 7.6, 1.0, 1.2, 2.0, 0.8, 1.0, 1.4, 3.2, 3.6, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2386, 699, 77970, 4141, 385, 28.6, 2.10, 0.000, 0.000
14745, 600, 4.2, 4.8, 12.2, 2.0, 2.8, 5.2, 4.8, 6.4, 7.8, 0.8, 1.0, 1.6, 0.8, 1.4, 1.8, 3.0, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.5, 2357, 651, 75704, 3151, 342, 29.4, 1.93, 0.000, 0.000
15066, 600, 4.2, 5.0, 12.6, 2.0, 2.6, 3.8, 4.8, 6.6, 15.4, 0.8, 1.0, 1.8, 0.8, 1.4, 1.8, 3.0, 3.8, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2358, 667, 76319, 3258, 350, 28.0, 1.88, 0.000, 0.000
