Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
571, 600, 5.4, 7.2, 15.4, 4.8, 6.6, 15.2, 17.0, 24.4, 158.2, 1.8, 2.4, 4.8, 2.2, 3.8, 5.4, 2.4, 3.0, 3.8, 0.0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 128.5, 2027, 501, 38133, 1023, 141, 76.8, 2.70, 0.000, 0.000
890, 600, 4.4, 5.4, 10.6, 4.0, 5.0, 10.0, 18.2, 23.6, 30.8, 1.4, 1.8, 4.2, 1.4, 1.8, 3.2, 2.2, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2042, 517, 38499, 1141, 146, 75.8, 1.48, 0.000, 0.000
1212, 600, 4.0, 5.0, 6.0, 3.4, 4.4, 5.6, 16.8, 21.4, 23.6, 1.2, 1.8, 3.2, 1.4, 1.8, 2.2, 2.0, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21.0, 2001, 485, 37599, 908, 125, 76.4, 1.73, 0.000, 0.000
1531, 600, 4.8, 6.2, 13.8, 4.4, 5.8, 11.2, 18.8, 24.2, 29.2, 1.6, 2.0, 3.4, 2.0, 3.4, 4.0, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1984, 538, 38683, 1061, 133, 76.6, 1.77, 0.000, 0.000
1851, 600, 4.2, 5.0, 10.8, 3.6, 4.6, 10.0, 16.2, 19.4, 23.6, 1.2, 1.4, 2.8, 1.2, 1.6, 2.6, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2000, 549, 39401, 1330, 139, 76.2, 1.95, 0.000, 0.000
2171, 600, 4.6, 5.8, 10.0, 4.0, 5.4, 9.0, 20.4, 26.8, 29.4, 1.2, 1.4, 2.2, 1.4, 1.8, 7.6, 2.0, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1994, 555, 40158, 1574, 144, 79.0, 1.73, 0.000, 0.000
2491, 600, 4.4, 5.4, 9.0, 3.8, 4.8, 8.8, 18.0, 23.6, 26.0, 1.2, 1.6, 2.4, 1.2, 1.6, 2.2, 2.2, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1992, 560, 40654, 1868, 153, 76.6, 1.40, 0.000, 0.000
2812, 600, 4.2, 5.2, 11.0, 3.6, 4.6, 8.0, 17.0, 22.2, 26.8, 1.2, 1.6, 2.6, 1.4, 1.8, 3.2, 2.0, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2052, 628, 41624, 2148, 158, 77.0, 1.62, 0.000, 0.000
3131, 600, 4.6, 5.6, 8.0, 4.0, 5.0, 7.8, 19.4, 23.6, 28.2, 1.4, 2.0, 3.4, 1.6, 1.8, 2.2, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2015, 628, 41903, 2249, 164, 76.4, 2.10, 0.000, 0.000
3451, 600, 3.8, 4.6, 10.4, 3.2, 4.0, 8.0, 16.2, 22.0, 25.0, 1.0, 1.4, 2.4, 1.2, 1.4, 2.4, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2022, 634, 42367, 2446, 173, 75.6, 1.52, 0.000, 0.000
