Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
319, 600, 19.6, 51.6, 200.0, 15.6, 50.8, 200.0, 22.8, 53.4, 200.0, 2.6, 3.8, 11.6, 2.2, 3.0, 8.4, 6.4, 8.4, 9.0, 0.0, 141, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4, 115.5, 1329, 571, 76254, 3055, 335, 113.4, 18.75, 0.000, 0.000
640, 280, 28.6, 36.4, 42.8, 28.0, 34.6, 41.2, 28.6, 34.4, 39.8, 3.0, 4.0, 6.4, 2.8, 3.4, 6.0, 5.0, 6.4, 7.4, 0.0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1339, 582, 76812, 3260, 345, 109.4, 13.12, 0.000, 0.000
960, 442, 18.2, 31.8, 44.8, 17.0, 30.6, 43.8, 26.2, 32.6, 42.4, 3.8, 5.4, 15.0, 3.2, 4.2, 14.2, 6.8, 9.6, 10.6, 0.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1384, 598, 77328, 3420, 359, 107.6, 9.53, 0.000, 0.000
1280, 346, 23.2, 31.8, 39.8, 22.4, 31.0, 39.0, 26.2, 32.2, 39.4, 3.0, 4.2, 7.0, 2.6, 3.6, 7.2, 5.0, 7.4, 9.2, 0.0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1376, 608, 77660, 3504, 370, 101.6, 13.62, 0.000, 0.000
1601, 455, 17.6, 32.8, 39.8, 16.4, 31.4, 38.6, 26.4, 33.2, 39.6, 3.0, 4.2, 5.4, 2.6, 3.6, 9.0, 4.6, 5.8, 8.2, 0.0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1373, 611, 77866, 3593, 375, 111.0, 11.10, 0.000, 0.000
1922, 373, 21.4, 33.8, 41.2, 20.6, 32.8, 40.4, 27.6, 33.4, 41.0, 2.8, 3.8, 5.4, 2.6, 3.4, 4.2, 5.0, 6.4, 7.0, 0.0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1382, 617, 78317, 3729, 384, 101.6, 10.18, 0.000, 0.000
2242, 326, 24.6, 32.4, 39.4, 23.8, 31.4, 37.8, 26.4, 32.0, 38.2, 3.4, 4.4, 7.8, 2.8, 3.8, 6.4, 4.8, 7.0, 11.4, 0.0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1403, 625, 78772, 3863, 391, 102.6, 11.50, 0.000, 0.000
2563, 361, 22.2, 29.4, 33.4, 21.2, 27.8, 31.0, 25.4, 29.2, 32.0, 3.4, 4.4, 6.2, 2.8, 3.6, 13.6, 5.4, 7.2, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1407, 629, 79045, 3978, 398, 104.6, 9.93, 0.000, 0.000
2883, 399, 20.0, 28.8, 46.8, 19.0, 27.4, 44.6, 25.2, 29.4, 34.6, 3.2, 4.8, 7.4, 2.8, 3.8, 5.0, 4.8, 6.4, 11.6, 0.0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 317.0, 1363, 594, 76781, 3130, 340, 111.6, 13.05, 0.000, 0.000
3203, 574, 14.0, 24.6, 34.2, 13.2, 23.6, 28.0, 24.0, 28.2, 32.6, 3.4, 4.8, 6.2, 3.0, 3.8, 4.8, 5.8, 8.2, 9.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1363, 594, 77029, 3224, 345, 101.2, 7.65, 0.000, 0.000
