Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 3.2, 4.0, 8.8, 3.0, 3.8, 5.6, 5.6, 7.6, 138.0, 1.4, 1.8, 2.8, 1.2, 1.6, 2.2, 2.0, 2.2, 2.2, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 32.0, 1614, 532, 36510, 681, 108, 25.0, 1.25, 0.000, 0.000
638, 600, 3.2, 3.8, 14.6, 2.8, 3.6, 13.4, 3.4, 4.8, 6.4, 1.4, 1.6, 3.2, 1.2, 1.6, 2.6, 2.2, 2.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1588, 536, 36907, 716, 113, 25.0, 1.40, 0.000, 0.000
957, 600, 3.4, 4.4, 8.6, 3.2, 4.0, 6.0, 4.6, 6.2, 7.8, 1.4, 1.8, 2.6, 1.4, 1.8, 2.2, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1609, 558, 37027, 735, 113, 26.8, 1.20, 0.000, 0.000
1278, 600, 3.4, 4.0, 9.4, 3.0, 3.8, 5.4, 4.4, 7.0, 11.0, 1.4, 1.8, 2.6, 1.2, 1.6, 2.0, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12.5, 1588, 543, 36470, 671, 106, 23.6, 1.23, 0.000, 0.000
1597, 600, 3.4, 4.0, 7.4, 3.0, 3.8, 7.6, 3.0, 4.6, 6.0, 1.4, 1.8, 2.8, 1.2, 1.4, 2.0, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1620, 616, 36676, 705, 111, 24.0, 1.35, 0.000, 0.000
1917, 600, 3.4, 4.4, 5.6, 3.0, 3.8, 4.6, 4.6, 6.4, 9.8, 1.4, 1.8, 3.0, 1.4, 2.6, 3.2, 2.2, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1592, 616, 36785, 732, 112, 24.2, 1.50, 0.000, 0.000
2238, 600, 3.4, 3.8, 11.2, 3.0, 3.6, 8.6, 3.6, 5.2, 6.8, 1.4, 1.6, 2.4, 1.4, 1.8, 2.0, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1599, 635, 36961, 802, 114, 24.6, 1.35, 0.000, 0.000
2558, 600, 3.4, 4.0, 5.6, 3.0, 3.6, 5.2, 5.0, 7.2, 9.4, 1.4, 1.8, 3.6, 1.2, 1.6, 2.2, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1596, 651, 37078, 853, 114, 25.2, 1.27, 0.000, 0.000
2877, 600, 3.0, 3.6, 9.0, 2.4, 3.0, 8.6, 3.6, 5.6, 6.6, 1.2, 1.4, 6.4, 1.2, 1.4, 2.0, 2.2, 2.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1667, 748, 37444, 931, 119, 23.8, 1.10, 0.000, 0.000
3197, 600, 3.4, 4.0, 5.4, 3.2, 3.8, 5.2, 4.2, 6.0, 6.8, 1.4, 1.8, 2.4, 1.2, 1.6, 2.2, 2.0, 2.2, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1601, 754, 37663, 968, 124, 23.8, 1.23, 0.000, 0.000
