Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
545, 600, 5.8, 8.6, 16.6, 5.0, 8.2, 16.0, 22.2, 27.2, 165.6, 1.6, 2.0, 4.8, 1.2, 1.6, 2.4, 2.6, 3.0, 3.2, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 43.5, 1183, 584, 38023, 984, 133, 120.2, 4.85, 0.000, 0.000
866, 600, 5.8, 6.4, 17.4, 4.8, 6.2, 10.4, 19.2, 24.0, 28.6, 1.6, 1.8, 4.0, 1.4, 1.6, 2.6, 2.6, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1180, 618, 38366, 1097, 138, 118.2, 4.28, 0.000, 0.000
1186, 600, 5.8, 7.2, 17.8, 4.4, 6.6, 14.4, 19.8, 24.2, 28.8, 1.6, 1.8, 3.2, 1.4, 1.8, 3.0, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1188, 626, 39533, 1333, 145, 118.8, 2.88, 0.000, 0.000
1506, 600, 5.8, 7.6, 17.2, 5.2, 7.4, 10.2, 20.4, 25.0, 31.8, 1.6, 1.8, 2.8, 1.4, 1.6, 2.0, 2.6, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32.5, 1174, 577, 38241, 919, 125, 120.0, 3.28, 0.000, 0.000
1826, 600, 6.0, 8.0, 17.2, 5.4, 7.6, 12.4, 18.4, 23.6, 31.4, 1.4, 1.8, 10.6, 1.2, 1.4, 2.6, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1176, 599, 39245, 1052, 131, 121.6, 4.15, 0.000, 0.000
2145, 600, 6.0, 7.4, 20.4, 4.4, 6.8, 20.0, 19.8, 25.4, 28.4, 1.4, 1.8, 5.0, 1.2, 1.6, 3.0, 2.6, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1187, 606, 39815, 1213, 135, 119.0, 2.67, 0.000, 0.000
2466, 600, 5.8, 7.8, 12.8, 5.0, 7.4, 11.6, 18.2, 22.6, 27.4, 1.4, 1.6, 2.8, 1.2, 1.4, 1.8, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1197, 614, 40674, 1345, 144, 120.6, 2.15, 0.000, 0.000
2786, 600, 6.0, 8.0, 16.8, 5.0, 7.8, 16.2, 21.0, 26.2, 30.0, 1.4, 1.6, 8.6, 1.2, 1.6, 5.2, 2.6, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1232, 688, 40995, 1432, 148, 118.4, 2.50, 0.000, 0.000
3107, 600, 6.0, 7.6, 11.2, 5.4, 7.0, 10.2, 17.8, 22.2, 26.4, 1.4, 1.8, 2.4, 1.2, 1.4, 2.2, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1205, 690, 41445, 1661, 154, 118.0, 2.25, 0.000, 0.000
3427, 600, 5.8, 7.0, 10.4, 4.8, 6.6, 10.2, 19.2, 23.4, 26.0, 1.4, 1.6, 1.8, 1.2, 1.4, 2.2, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1214, 694, 41692, 1723, 158, 119.6, 2.67, 0.000, 0.000
3747, 600, 6.0, 8.2, 17.2, 5.4, 7.6, 10.2, 18.6, 21.8, 27.0, 1.4, 1.6, 4.4, 1.2, 1.4, 4.2, 2.6, 2.8, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1242, 725, 41937, 1805, 159, 120.0, 3.48, 0.000, 0.000
4067, 600, 6.0, 8.8, 17.2, 5.0, 7.6, 12.8, 15.2, 19.6, 24.6, 1.2, 1.6, 2.8, 1.0, 1.4, 1.8, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58.5, 1184, 682, 39739, 1016, 129, 119.2, 3.78, 0.000, 0.000
4387, 600, 5.8, 7.0, 11.0, 4.2, 6.2, 10.6, 18.6, 23.8, 27.6, 1.4, 1.6, 2.8, 1.4, 2.4, 2.8, 2.8, 3.2, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1202, 691, 40375, 1144, 138, 119.4, 3.05, 0.000, 0.000
4708, 600, 6.4, 9.8, 27.2, 5.8, 9.2, 26.6, 20.8, 25.8, 32.0, 1.4, 1.6, 10.0, 1.2, 1.6, 2.8, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1212, 693, 40599, 1261, 140, 119.6, 3.28, 0.000, 0.000
5028, 600, 5.8, 8.0, 15.0, 5.0, 7.6, 14.6, 18.6, 24.6, 30.6, 1.4, 1.8, 9.2, 1.4, 2.2, 4.4, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1201, 701, 40980, 1416, 146, 117.8, 3.08, 0.000, 0.000
5348, 600, 5.8, 7.0, 22.0, 4.6, 6.6, 21.4, 18.0, 23.4, 31.8, 1.2, 1.4, 1.6, 1.0, 1.2, 1.6, 2.6, 2.8, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1207, 701, 41409, 1523, 152, 117.2, 3.23, 0.000, 0.000
5667, 600, 5.8, 7.2, 17.2, 4.2, 6.6, 14.0, 21.4, 26.6, 33.2, 1.2, 1.6, 3.6, 1.2, 1.6, 6.8, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1215, 712, 42241, 1715, 165, 119.4, 3.80, 0.000, 0.000
5987, 600, 10.6, 29.4, 40.0, 10.2, 29.2, 39.8, 24.6, 32.4, 40.0, 1.6, 2.0, 2.6, 1.8, 3.0, 4.2, 3.0, 3.2, 3.6, 0.0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1222, 712, 42852, 1873, 172, 126.8, 5.50, 0.000, 0.000
6308, 600, 12.0, 29.4, 41.0, 11.4, 28.8, 40.8, 25.4, 31.4, 39.8, 1.6, 1.8, 8.4, 1.6, 2.4, 3.8, 2.8, 3.2, 4.0, 0.0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 267.5, 1194, 682, 40559, 1103, 135, 124.0, 7.05, 0.000, 0.000
6629, 600, 11.8, 26.8, 36.2, 11.0, 26.4, 35.6, 25.0, 29.4, 36.4, 1.4, 1.6, 2.8, 1.2, 1.4, 2.8, 2.6, 2.8, 3.2, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1211, 690, 41113, 1224, 141, 126.0, 7.22, 0.000, 0.000
6949, 600, 10.2, 22.8, 30.8, 9.8, 22.4, 30.6, 24.8, 27.2, 30.6, 1.6, 1.8, 3.0, 1.4, 1.6, 2.0, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1215, 694, 41720, 1387, 144, 124.2, 6.58, 0.000, 0.000
7268, 600, 6.0, 8.6, 23.0, 4.4, 7.8, 22.2, 22.8, 27.6, 32.4, 1.2, 1.6, 3.6, 1.0, 1.4, 2.4, 2.8, 3.2, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1218, 701, 42202, 1611, 157, 123.8, 3.88, 0.000, 0.000
7566, 600, 9.0, 23.4, 78.8, 8.4, 23.0, 78.2, 25.4, 30.0, 78.8, 1.4, 1.8, 2.0, 1.2, 2.0, 3.4, 2.6, 3.0, 3.4, 0.0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1226, 701, 42633, 1807, 166, 123.6, 5.15, 0.000, 0.000
7877, 600, 7.4, 27.8, 200.0, 6.2, 27.4, 200.0, 29.6, 85.6, 200.0, 0.8, 1.0, 1.2, 1.4, 1.8, 2.0, 2.2, 2.6, 2.8, 0.0, 9, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0.0, 1234, 701, 56749, 1815, 170, 164.6, 7.00, 0.000, 0.000
8197, 600, 3.2, 3.8, 17.0, 2.4, 3.2, 16.6, 23.6, 27.4, 31.8, 0.8, 1.0, 1.4, 1.4, 1.8, 2.4, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1237, 701, 56840, 1815, 170, 117.4, 2.60, 0.000, 0.000
8518, 600, 3.4, 8.2, 17.4, 2.8, 7.6, 16.4, 23.6, 27.6, 34.0, 1.0, 1.2, 8.2, 1.2, 1.8, 8.0, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1242, 704, 57002, 1862, 174, 123.6, 3.95, 0.000, 0.000
8837, 600, 7.4, 24.0, 31.8, 6.8, 23.6, 33.2, 23.8, 27.4, 30.6, 1.2, 1.4, 2.0, 1.2, 1.6, 2.2, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77.0, 1183, 688, 50322, 651, 111, 124.8, 5.70, 0.000, 0.000
