Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
33025, 600, 7.0, 7.0, 11.4, 4.6, 5.8, 10.2, 6.8, 12.6, 176.6, 1.8, 2.2, 6.6, 1.0, 1.8, 7.8, 3.8, 4.2, 6.0, 0.0, 4, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 3, 76.5, 2555, 530, 77101, 3276, 341, 49.2, 2.92, 0.000, 0.000
33345, 600, 7.0, 7.0, 12.0, 4.2, 5.6, 9.8, 11.4, 14.4, 21.0, 1.6, 2.4, 6.2, 1.0, 1.6, 4.4, 3.6, 4.0, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2569, 550, 77565, 3415, 349, 47.0, 3.38, 0.000, 0.000
33664, 600, 7.0, 7.6, 18.4, 5.0, 7.0, 12.4, 14.2, 19.6, 24.4, 1.8, 2.8, 6.2, 1.2, 2.0, 7.2, 3.6, 4.0, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2584, 557, 77932, 3573, 357, 48.0, 3.73, 0.000, 0.000
33984, 600, 7.0, 7.0, 24.4, 4.8, 5.8, 22.6, 13.4, 21.6, 26.0, 1.6, 2.2, 2.8, 1.0, 1.2, 3.6, 3.4, 3.8, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2585, 567, 78301, 3725, 360, 48.6, 3.53, 0.000, 0.000
34306, 600, 7.0, 7.0, 11.2, 5.0, 6.4, 11.0, 11.4, 15.2, 17.4, 2.0, 2.6, 8.8, 1.4, 2.8, 5.8, 3.8, 4.8, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2591, 575, 78459, 3769, 363, 47.6, 4.08, 0.000, 0.000
34625, 600, 7.0, 7.0, 8.4, 4.4, 5.0, 7.0, 9.0, 12.4, 16.2, 1.6, 2.0, 2.8, 1.0, 1.4, 3.8, 3.6, 4.0, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2596, 577, 78627, 3811, 366, 48.0, 3.50, 0.000, 0.000
34945, 600, 7.0, 7.0, 10.0, 4.2, 5.0, 10.2, 8.6, 10.8, 15.8, 1.6, 2.0, 4.0, 0.8, 1.2, 3.2, 3.4, 3.4, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57.0, 2562, 544, 76524, 3080, 330, 48.4, 4.08, 0.000, 0.000
35266, 600, 7.0, 7.0, 10.8, 4.2, 5.0, 8.4, 8.0, 10.0, 14.8, 1.8, 2.2, 5.0, 1.0, 1.4, 4.4, 3.8, 4.0, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2566, 549, 76613, 3103, 332, 46.8, 3.55, 0.000, 0.000
35585, 600, 7.0, 7.0, 10.0, 4.2, 4.8, 9.2, 6.8, 9.0, 10.6, 1.6, 2.0, 2.4, 0.8, 1.2, 4.0, 3.8, 4.2, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2568, 552, 76725, 3156, 335, 48.2, 3.50, 0.000, 0.000
35906, 600, 7.0, 7.0, 11.0, 4.2, 4.8, 10.6, 7.4, 9.8, 13.4, 1.6, 2.2, 2.6, 0.8, 1.2, 3.8, 3.6, 3.8, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2569, 553, 76841, 3204, 339, 46.2, 2.75, 0.000, 0.000
