Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
392, 600, 4.0, 5.0, 15.6, 2.0, 2.6, 8.0, 6.0, 7.0, 101.0, 1.4, 2.0, 4.2, 1.6, 2.2, 2.8, 3.4, 4.4, 5.0, 0.0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 4.5, 1919, 535, 71045, 2629, 304, 123.4, 1.48, 0.000, 0.000
712, 600, 4.0, 4.8, 16.6, 1.8, 2.2, 3.4, 5.8, 6.8, 8.2, 1.4, 1.8, 2.4, 1.4, 2.0, 14.4, 3.4, 4.2, 16.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1918, 535, 71063, 2638, 307, 123.8, 1.40, 0.000, 0.000
1032, 600, 4.0, 5.0, 19.8, 1.8, 2.4, 3.8, 6.2, 7.4, 9.2, 1.4, 1.8, 3.4, 1.6, 2.0, 16.6, 3.6, 4.4, 19.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1920, 538, 71100, 2664, 310, 124.8, 1.48, 0.000, 0.000
1352, 600, 3.6, 4.6, 6.6, 1.6, 2.2, 3.8, 5.6, 7.2, 10.4, 1.2, 1.6, 2.6, 1.4, 2.0, 2.6, 3.2, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1903, 538, 71112, 2673, 313, 122.2, 1.15, 0.000, 0.000
1672, 600, 4.0, 5.0, 14.4, 1.8, 2.6, 13.6, 5.4, 7.0, 8.4, 1.4, 2.0, 3.6, 1.6, 2.2, 11.2, 3.6, 4.4, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16.5, 1895, 509, 70740, 2643, 307, 123.6, 1.68, 0.000, 0.000
1992, 600, 3.8, 4.8, 7.6, 1.8, 2.2, 5.2, 5.4, 6.4, 7.8, 1.4, 1.8, 2.6, 1.4, 2.0, 2.6, 3.4, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1903, 509, 70818, 2653, 309, 121.8, 1.35, 0.000, 0.000
2312, 600, 4.0, 4.8, 16.6, 1.8, 2.4, 12.0, 5.4, 6.4, 8.8, 1.4, 1.8, 4.6, 1.6, 2.2, 13.8, 3.4, 4.2, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1904, 509, 70886, 2659, 311, 123.4, 1.35, 0.000, 0.000
2632, 600, 3.6, 4.6, 5.2, 1.8, 2.4, 2.8, 5.4, 6.6, 8.4, 1.2, 1.6, 2.6, 1.4, 2.0, 2.6, 3.2, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1907, 510, 70898, 2668, 314, 124.2, 1.25, 0.000, 0.000
2952, 600, 3.8, 4.6, 10.2, 1.8, 2.4, 4.2, 5.8, 7.6, 9.2, 1.4, 1.8, 2.6, 1.4, 1.8, 7.0, 3.2, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1908, 511, 70923, 2681, 317, 123.0, 1.20, 0.000, 0.000
3272, 600, 3.2, 4.0, 16.6, 1.6, 2.2, 3.4, 5.6, 7.2, 8.6, 1.0, 1.4, 2.4, 1.4, 2.0, 14.4, 2.8, 3.4, 15.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1907, 511, 70961, 2709, 320, 121.6, 1.48, 0.000, 0.000
